id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233738,2019-08-01,+25,737,ясно,-,Ш,+16,735,ясно,-,Ш
233738,2019-08-02,+25,734,малооблачно,-,СЗ 3м/с,+19,736,ясно,-,СЗ 3м/с
233738,2019-08-03,+20,734,пасмурно,-,Ш,+14,740,пасмурно,-,Ш
233738,2019-08-04,,,-,-,,+10,735,пасмурно,-,Ш
233738,2019-08-05,+18,738,пасмурно,-,Ш,+13,739,ясно,-,Ш
233738,2019-08-06,+21,739,ясно,-,Ш,+17,739,пасмурно,-,Ш
233738,2019-08-07,+23,740,малооблачно,-,Ш,+7,743,ясно,-,Ш
233738,2019-08-08,+24,742,ясно,-,Ш,+16,741,ясно,-,Ш
233738,2019-08-09,+26,738,облачно,-,В 3м/с,+16,739,пасмурно,-,В 3м/с
233738,2019-08-10,+22,738,пасмурно,-,ЮВ 3м/с,+15,739,пасмурно,-,ЮВ 3м/с
233738,2019-08-11,+20,737,пасмурно,-,В 3м/с,+14,737,пасмурно,-,В 3м/с
233738,2019-08-12,+18,735,пасмурно,-,З 5м/с,+10,736,облачно,-,З 5м/с
233738,2019-08-13,+22,737,пасмурно,-,З 3м/с,+15,738,ясно,-,З 3м/с
233738,2019-08-14,+25,737,облачно,-,СВ 1м/с,+19,737,пасмурно,-,СВ 1м/с
233738,2019-08-15,+22,740,пасмурно,-,СВ 3м/с,-,-,-,-,-
233738,2019-08-16,+23,743,пасмурно,-,В 1м/с,+17,743,ясно,-,В 1м/с
233738,2019-08-17,+22,744,облачно,-,Ш,+15,744,пасмурно,-,Ш
233738,2019-08-18,+17,744,пасмурно,-,СВ 3м/с,+15,743,пасмурно,-,СВ 3м/с
233738,2019-08-19,+17,745,пасмурно,-,В 3м/с,+12,745,пасмурно,-,В 3м/с
233738,2019-08-20,+17,745,пасмурно,-,В 3м/с,+12,746,пасмурно,-,В 3м/с
233738,2019-08-21,+20,745,пасмурно,-,В 1м/с,+18,744,пасмурно,-,В 1м/с
233738,2019-08-22,+21,743,пасмурно,-,Ш,+15,743,пасмурно,-,Ш
233738,2019-08-23,+21,742,пасмурно,-,Ш,+14,742,ясно,-,Ш
233738,2019-08-24,+23,740,облачно,-,Ю 3м/с,+19,739,ясно,-,Ю 3м/с
233738,2019-08-25,+25,737,малооблачно,-,Ш,+19,736,ясно,-,Ш
233738,2019-08-26,+19,736,пасмурно,-,Ш,+15,738,малооблачно,-,Ш
233738,2019-08-27,+21,739,малооблачно,-,З 3м/с,+15,740,малооблачно,-,З 3м/с
233738,2019-08-28,+24,741,малооблачно,-,З 1м/с,+16,740,ясно,-,З 1м/с
233738,2019-08-29,+14,740,пасмурно,-,Ш,+12,741,малооблачно,-,Ш
233738,2019-08-30,+14,741,малооблачно,-,Ш,+13,742,пасмурно,-,Ш
233738,2019-08-31,+19,740,малооблачно,-,Ш,+11,741,облачно,-,Ш
