id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233949,2019-03-01,-3,758,малооблачно,-,З 4м/с,-8,759,ясно,-,З 4м/с
233949,2019-03-02,-4,757,малооблачно,-,ЮЗ 5м/с,-7,758,ясно,-,ЮЗ 5м/с
233949,2019-03-03,-4,760,малооблачно,-,СВ 1м/с,-13,761,ясно,-,СВ 1м/с
233949,2019-03-04,-2,761,ясно,-,З 3м/с,-5,761,пасмурно,-,З 3м/с
233949,2019-03-05,-3,762,облачно,-,ЮЗ 5м/с,-6,761,ясно,-,ЮЗ 5м/с
233949,2019-03-06,-3,761,ясно,-,ЮЗ 5м/с,-4,761,малооблачно,-,ЮЗ 5м/с
233949,2019-03-07,-1,758,ясно,-,ЮЗ 6м/с,-3,758,малооблачно,-,ЮЗ 6м/с
233949,2019-03-08,0,756,ясно,-,ЮЗ 4м/с,-2,757,малооблачно,-,ЮЗ 4м/с
233949,2019-03-10,+1,755,ясно,-,ЮЗ 5м/с,-3,756,ясно,-,ЮЗ 5м/с
233949,2019-03-11,-2,756,пасмурно,-,СВ 6м/с,-4,758,пасмурно,-,СВ 6м/с
233949,2019-03-12,-5,759,пасмурно,снег,В 6м/с,-5,761,малооблачно,снег,В 6м/с
233949,2019-03-13,-4,761,пасмурно,-,СВ 5м/с,-5,762,пасмурно,снег,СВ 5м/с
233949,2019-03-14,-4,761,ясно,-,В 1м/с,-13,761,ясно,-,В 1м/с
233949,2019-03-15,-1,758,малооблачно,-,ЮВ 3м/с,-11,758,ясно,-,ЮВ 3м/с
233949,2019-03-16,+1,755,малооблачно,-,ЮЗ 3м/с,-3,756,пасмурно,-,ЮЗ 3м/с
233949,2019-03-17,-8,755,пасмурно,снег,В 3м/с,-10,755,пасмурно,снег,В 3м/с
233949,2019-03-18,-10,756,пасмурно,снег,В 4м/с,-11,760,пасмурно,-,В 4м/с
233949,2019-03-19,-5,763,малооблачно,-,ЮЗ 3м/с,-17,764,ясно,-,ЮЗ 3м/с
233949,2019-03-20,-5,764,малооблачно,-,В 1м/с,-16,766,ясно,-,В 1м/с
233949,2019-03-21,-5,763,ясно,-,ЮВ 1м/с,-15,763,ясно,-,ЮВ 1м/с
233949,2019-03-22,-6,761,ясно,-,С 1м/с,-14,761,ясно,-,С 1м/с
233949,2019-03-23,-6,754,ясно,-,ЮЗ 5м/с,-9,753,ясно,-,ЮЗ 5м/с
233949,2019-03-24,-2,751,ясно,-,ЮЗ 5м/с,-9,753,ясно,-,ЮЗ 5м/с
233949,2019-03-25,+1,755,ясно,-,Ю 1м/с,-9,756,ясно,-,Ю 1м/с
233949,2019-03-26,-2,756,ясно,-,З 4м/с,-7,756,ясно,-,З 4м/с
233949,2019-03-27,-3,754,малооблачно,-,СЗ 5м/с,-8,756,ясно,-,СЗ 5м/с
233949,2019-03-28,-1,760,малооблачно,-,З 1м/с,-7,763,ясно,-,З 1м/с
233949,2019-03-29,-1,764,ясно,-,ЮЗ 3м/с,-4,763,пасмурно,-,ЮЗ 3м/с
233949,2019-03-30,+1,759,ясно,-,З 2м/с,-4,761,ясно,-,З 2м/с
233949,2019-03-31,+1,763,ясно,-,В 2м/с,-7,764,ясно,-,В 2м/с
