id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233918,2021-11-01,-11,746,ясно,-,С 1м/с,-21,745,ясно,-,С 1м/с
233918,2021-11-02,-10,744,ясно,-,СЗ 1м/с,-20,746,ясно,-,СЗ 1м/с
233918,2021-11-03,-11,743,пасмурно,снег,З 1м/с,-13,743,пасмурно,-,З 1м/с
233918,2021-11-04,-9,745,ясно,-,СЗ 2м/с,-17,746,ясно,-,СЗ 2м/с
233918,2021-11-05,-11,746,пасмурно,-,С 1м/с,-11,745,пасмурно,-,С 1м/с
233918,2021-11-06,-6,734,пасмурно,снег,СЗ 1м/с,-6,731,пасмурно,снег,СЗ 1м/с
233918,2021-11-07,-10,725,пасмурно,-,СЗ 7м/с,-11,728,пасмурно,снег,СЗ 7м/с
233918,2021-11-08,-10,740,ясно,-,СЗ 3м/с,-24,743,ясно,-,СЗ 3м/с
233918,2021-11-09,-17,746,малооблачно,-,З 1м/с,-25,746,ясно,-,З 1м/с
233918,2021-11-10,-14,746,пасмурно,-,З 3м/с,-11,746,пасмурно,снег,З 3м/с
233918,2021-11-11,-2,735,пасмурно,снег,С 5м/с,0,734,пасмурно,-,С 5м/с
233918,2021-11-12,0,726,пасмурно,снег,С 3м/с,0,727,пасмурно,снег,С 3м/с
233918,2021-11-13,0,728,пасмурно,снег,С 2м/с,-1,728,пасмурно,-,С 2м/с
233918,2021-11-14,-1,730,пасмурно,снег,СВ 2м/с,-2,731,-,-,СВ 2м/с
233918,2021-11-15,-2,731,пасмурно,снег,Ш,-3,731,пасмурно,снег,Ш
233918,2021-11-16,-8,733,ясно,-,З 2м/с,-18,733,ясно,-,З 2м/с
233918,2021-11-17,-2,730,облачно,-,С 4м/с,-3,732,облачно,-,С 4м/с
233918,2021-11-18,-4,737,облачно,-,С 3м/с,-5,740,облачно,-,С 3м/с
233918,2021-11-19,-5,745,пасмурно,-,С 3м/с,-10,746,малооблачно,-,С 3м/с
233918,2021-11-20,-16,749,ясно,-,СЗ 2м/с,-22,749,ясно,-,СЗ 2м/с
233918,2021-11-21,-17,749,малооблачно,-,З 1м/с,-23,749,малооблачно,-,З 1м/с
233918,2021-11-22,-16,752,ясно,-,З 2м/с,-26,753,ясно,-,З 2м/с
233918,2021-11-23,-19,752,ясно,-,З 2м/с,-22,751,ясно,-,З 2м/с
233918,2021-11-24,-13,749,малооблачно,-,СЗ 3м/с,-13,748,ясно,-,СЗ 3м/с
233918,2021-11-25,-17,746,ясно,-,З 2м/с,-23,746,ясно,-,З 2м/с
233918,2021-11-26,-20,746,малооблачно,-,З 2м/с,-29,746,ясно,-,З 2м/с
233918,2021-11-27,-26,743,ясно,-,СЗ 1м/с,-31,742,ясно,-,СЗ 1м/с
233918,2021-11-28,-13,737,ясно,-,СЗ 4м/с,-17,738,ясно,-,СЗ 4м/с
233918,2021-11-29,-29,736,ясно,-,В 1м/с,-35,737,ясно,-,В 1м/с
233918,2021-11-30,-33,739,ясно,-,Ш,-39,741,ясно,-,Ш
