id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233919,2016-12-01,-24,763,ясно,-,С 4м/с,-25,762,малооблачно,-,С 4м/с
233919,2016-12-02,-18,756,малооблачно,-,С 8м/с,-16,754,облачно,снег,С 8м/с
233919,2016-12-03,-11,749,облачно,-,С 4м/с,-11,749,малооблачно,-,С 4м/с
233919,2016-12-04,-15,751,малооблачно,-,С 4м/с,-16,751,облачно,-,С 4м/с
233919,2016-12-05,-11,746,пасмурно,-,С 6м/с,-11,746,пасмурно,снег,С 6м/с
233919,2016-12-06,-10,752,пасмурно,снег,Ю 7м/с,-15,755,пасмурно,-,Ю 7м/с
233919,2016-12-07,-19,751,ясно,-,С 4м/с,-18,747,ясно,-,С 4м/с
233919,2016-12-08,-12,734,пасмурно,снег,С 3м/с,-13,737,пасмурно,снег,С 3м/с
233919,2016-12-09,-16,754,пасмурно,снег,С 4м/с,-17,756,пасмурно,-,С 4м/с
233919,2016-12-10,-16,759,пасмурно,-,С 4м/с,-19,761,ясно,-,С 4м/с
233919,2016-12-11,-20,766,пасмурно,снег,С 5м/с,-21,767,облачно,-,С 5м/с
233919,2016-12-12,-20,763,ясно,-,С 4м/с,-20,762,ясно,-,С 4м/с
233919,2016-12-13,-15,761,малооблачно,-,С 5м/с,-15,762,пасмурно,-,С 5м/с
233919,2016-12-14,-17,761,ясно,-,С 4м/с,-19,760,ясно,-,С 4м/с
233919,2016-12-15,-14,750,малооблачно,-,С 3м/с,-14,749,облачно,-,С 3м/с
233919,2016-12-16,-13,747,малооблачно,-,С 2м/с,-18,747,малооблачно,-,С 2м/с
233919,2016-12-17,-18,745,ясно,-,С 4м/с,-19,744,ясно,-,С 4м/с
233919,2016-12-18,-17,746,малооблачно,-,С 5м/с,-18,748,ясно,-,С 5м/с
233919,2016-12-19,-17,752,ясно,-,С 5м/с,-19,755,ясно,-,С 5м/с
233919,2016-12-20,-18,758,малооблачно,-,С 4м/с,-17,758,пасмурно,-,С 4м/с
233919,2016-12-21,-18,760,облачно,-,С 4м/с,-19,761,малооблачно,-,С 4м/с
233919,2016-12-22,-18,763,малооблачно,-,С 4м/с,-19,764,малооблачно,-,С 4м/с
233919,2016-12-23,-19,766,ясно,-,С 4м/с,-20,766,малооблачно,-,С 4м/с
233919,2016-12-24,-20,763,ясно,-,С 4м/с,-20,762,ясно,-,С 4м/с
233919,2016-12-25,-19,761,малооблачно,-,С 4м/с,-19,762,малооблачно,-,С 4м/с
233919,2016-12-26,-22,761,ясно,-,С 4м/с,-22,760,ясно,-,С 4м/с
233919,2016-12-27,-23,758,ясно,-,С 4м/с,-24,758,ясно,-,С 4м/с
233919,2016-12-28,-25,755,ясно,-,С 5м/с,-25,753,ясно,-,С 5м/с
233919,2016-12-29,-23,746,ясно,-,С 5м/с,-24,745,ясно,-,С 5м/с
233919,2016-12-30,-22,745,ясно,-,С 4м/с,-23,746,малооблачно,-,С 4м/с
233919,2016-12-31,-21,753,ясно,-,С 4м/с,-23,754,малооблачно,-,С 4м/с
