id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
4843,2018-02-01,-18,772,ясно,-,ЮВ 2м/с,-27,773,ясно,-,ЮВ 2м/с
4843,2018-02-02,-23,773,ясно,-,Ю 2м/с,-28,773,ясно,-,Ю 2м/с
4843,2018-02-03,-21,771,ясно,-,Ш,-24,772,ясно,-,Ш
4843,2018-02-04,-20,770,ясно,-,С 7м/с,-23,770,ясно,-,С 7м/с
4843,2018-02-05,-17,765,ясно,-,С 5м/с,-19,765,ясно,-,С 5м/с
4843,2018-02-06,-18,761,ясно,-,С 6м/с,-18,760,ясно,-,С 6м/с
4843,2018-02-07,-14,753,малооблачно,-,С 4м/с,-24,752,ясно,-,С 4м/с
4843,2018-02-08,-16,752,ясно,-,Ю 4м/с,-22,754,ясно,-,Ю 4м/с
4843,2018-02-09,-15,758,ясно,-,Ю 1м/с,-23,757,ясно,-,Ю 1м/с
4843,2018-02-10,-15,752,ясно,-,С 4м/с,-18,754,-,снег,С 4м/с
4843,2018-02-11,-17,751,ясно,-,С 5м/с,-20,752,ясно,-,С 5м/с
4843,2018-02-12,-19,748,малооблачно,-,С 3м/с,-21,749,пасмурно,снег,С 3м/с
4843,2018-02-13,-19,747,ясно,-,Ю 3м/с,-26,748,ясно,-,Ю 3м/с
4843,2018-02-14,-19,748,ясно,-,Ю 3м/с,-25,749,малооблачно,-,Ю 3м/с
4843,2018-02-15,-16,750,ясно,-,Ю 1м/с,-22,752,ясно,-,Ю 1м/с
4843,2018-02-16,-15,752,пасмурно,снег,Ш,-16,754,пасмурно,снег,Ш
4843,2018-02-17,-15,755,пасмурно,снег,С 4м/с,-16,757,ясно,-,С 4м/с
4843,2018-02-18,-16,758,ясно,-,Ю 1м/с,-20,758,ясно,-,Ю 1м/с
4843,2018-02-19,-17,755,малооблачно,-,Ю 2м/с,-22,755,ясно,-,Ю 2м/с
4843,2018-02-20,-15,753,ясно,-,С 4м/с,-23,755,малооблачно,-,С 4м/с
4843,2018-02-21,-16,755,малооблачно,-,Ю 1м/с,-24,758,ясно,-,Ю 1м/с
4843,2018-02-22,-17,758,ясно,-,Ю 1м/с,-25,761,ясно,-,Ю 1м/с
4843,2018-02-23,-18,763,ясно,-,Ю 1м/с,-25,764,ясно,-,Ю 1м/с
4843,2018-02-24,-14,763,ясно,-,С 5м/с,-14,763,пасмурно,-,С 5м/с
4843,2018-02-25,-11,763,пасмурно,-,С 8м/с,-12,766,пасмурно,-,С 8м/с
4843,2018-02-26,-9,767,пасмурно,-,С 4м/с,-13,767,ясно,-,С 4м/с
4843,2018-02-27,-9,764,ясно,-,Ш,-18,764,ясно,-,Ш
4843,2018-02-28,-11,760,ясно,-,Ю 2м/с,-19,758,ясно,-,Ю 2м/с
