id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233955,2018-10-01,+8,749,облачно,-,С 7м/с,+5,748,ясно,-,С 7м/с
233955,2018-10-02,+15,748,малооблачно,-,З 4м/с,+8,749,малооблачно,-,З 4м/с
233955,2018-10-03,+13,754,пасмурно,-,С 4м/с,+10,758,малооблачно,-,С 4м/с
233955,2018-10-04,+17,762,ясно,-,ЮЗ 5м/с,+15,763,ясно,-,ЮЗ 5м/с
233955,2018-10-05,+22,760,ясно,-,ЮЗ 4м/с,+15,761,ясно,-,ЮЗ 4м/с
233955,2018-10-06,+16,761,ясно,-,Ю 2м/с,+8,761,ясно,-,Ю 2м/с
233955,2018-10-07,+12,758,малооблачно,-,ЮВ 3м/с,+9,759,пасмурно,-,ЮВ 3м/с
233955,2018-10-08,+10,755,пасмурно,-,З 1м/с,+8,755,пасмурно,-,З 1м/с
233955,2018-10-09,+10,755,малооблачно,-,З 4м/с,+6,755,ясно,-,З 4м/с
233955,2018-10-10,+10,759,пасмурно,-,СЗ 2м/с,+8,761,пасмурно,-,СЗ 2м/с
233955,2018-10-11,+10,758,малооблачно,-,СЗ 1м/с,+3,760,ясно,-,СЗ 1м/с
233955,2018-10-12,+12,758,малооблачно,-,Ю 1м/с,+5,759,ясно,-,Ю 1м/с
233955,2018-10-13,+14,760,малооблачно,-,ЮЗ 4м/с,+7,760,ясно,-,ЮЗ 4м/с
233955,2018-10-14,+15,758,малооблачно,-,ЮВ 2м/с,+9,758,малооблачно,-,ЮВ 2м/с
233955,2018-10-15,+9,759,пасмурно,-,СВ 6м/с,+8,759,пасмурно,-,СВ 6м/с
233955,2018-10-16,+6,755,пасмурно,-,С 10м/с,+5,756,пасмурно,-,С 10м/с
233955,2018-10-17,+3,754,пасмурно,-,СЗ 4м/с,+4,754,пасмурно,-,СЗ 4м/с
233955,2018-10-18,+9,758,малооблачно,-,З 4м/с,+4,759,ясно,-,З 4м/с
233955,2018-10-19,+6,760,пасмурно,-,З 2м/с,+4,761,пасмурно,-,З 2м/с
233955,2018-10-20,+7,759,облачно,-,С 2м/с,+2,761,ясно,-,С 2м/с
233955,2018-10-21,+6,764,пасмурно,-,С 4м/с,+1,765,малооблачно,-,С 4м/с
233955,2018-10-22,+9,764,ясно,-,З 2м/с,0,764,ясно,-,З 2м/с
233955,2018-10-23,+10,761,ясно,-,С 1м/с,+4,761,ясно,-,С 1м/с
233955,2018-10-24,+12,753,пасмурно,-,ЮВ 4м/с,+10,751,пасмурно,-,ЮВ 4м/с
233955,2018-10-25,+5,753,пасмурно,-,З 4м/с,+5,756,облачно,-,З 4м/с
233955,2018-10-26,+9,760,ясно,-,Ю 1м/с,+5,758,ясно,-,Ю 1м/с
233955,2018-10-27,+10,750,облачно,-,В 3м/с,+8,746,пасмурно,-,В 3м/с
233955,2018-10-28,+4,749,облачно,-,З 2м/с,+2,752,ясно,-,З 2м/с
233955,2018-10-29,+6,755,ясно,-,СВ 1м/с,-1,755,ясно,-,СВ 1м/с
233955,2018-10-30,+6,754,пасмурно,-,С 5м/с,+2,755,малооблачно,-,С 5м/с
233955,2018-10-31,+6,757,облачно,-,СЗ 4м/с,+3,758,ясно,-,СЗ 4м/с
