id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233920,2019-06-01,+5,759,пасмурно,-,ЮВ 5м/с,+6,759,облачно,-,ЮВ 5м/с
233920,2019-06-02,+6,757,облачно,-,Ю 5м/с,+5,757,пасмурно,-,Ю 5м/с
233920,2019-06-03,+6,758,пасмурно,-,ЮЗ 2м/с,+7,757,малооблачно,-,ЮЗ 2м/с
233920,2019-06-04,+8,758,пасмурно,-,ЮЗ 4м/с,+8,758,пасмурно,-,ЮЗ 4м/с
233920,2019-06-05,+10,759,малооблачно,-,Ю 4м/с,+9,759,малооблачно,-,Ю 4м/с
233920,2019-06-06,+7,760,пасмурно,-,Ю 5м/с,+6,759,пасмурно,-,Ю 5м/с
233920,2019-06-07,+5,759,пасмурно,-,ЮВ 4м/с,+6,761,пасмурно,-,ЮВ 4м/с
233920,2019-06-08,+11,761,пасмурно,-,З 4м/с,+9,762,пасмурно,-,З 4м/с
233920,2019-06-09,+10,763,пасмурно,-,Ю 3м/с,+9,764,облачно,-,Ю 3м/с
233920,2019-06-10,+12,764,пасмурно,-,Ю 5м/с,+9,763,пасмурно,-,Ю 5м/с
233920,2019-06-11,+8,764,пасмурно,-,ЮЗ 4м/с,+8,763,пасмурно,-,ЮЗ 4м/с
233920,2019-06-12,+8,764,малооблачно,-,ЮЗ 4м/с,+7,762,пасмурно,-,ЮЗ 4м/с
233920,2019-06-13,+7,764,пасмурно,-,ЮЗ 1м/с,+8,764,пасмурно,-,ЮЗ 1м/с
233920,2019-06-14,+8,764,пасмурно,-,ЮЗ 2м/с,+8,764,пасмурно,-,ЮЗ 2м/с
233920,2019-06-15,+6,766,пасмурно,-,ЮЗ 3м/с,+6,765,пасмурно,-,ЮЗ 3м/с
233920,2019-06-16,+7,761,пасмурно,-,ЮВ 5м/с,+7,759,пасмурно,-,ЮВ 5м/с
233920,2019-06-17,+7,761,облачно,-,ЮВ 9м/с,+6,761,пасмурно,-,ЮВ 9м/с
233920,2019-06-18,+13,755,пасмурно,-,СВ 4м/с,+13,754,пасмурно,-,СВ 4м/с
233920,2019-06-19,+15,756,облачно,-,С 2м/с,+12,757,облачно,-,С 2м/с
233920,2019-06-20,+9,758,пасмурно,-,ЮВ 6м/с,+9,758,пасмурно,-,ЮВ 6м/с
233920,2019-06-21,+8,761,пасмурно,-,ЮВ 7м/с,+7,763,пасмурно,-,ЮВ 7м/с
233920,2019-06-22,+10,764,пасмурно,-,Ю 3м/с,+8,764,пасмурно,-,Ю 3м/с
233920,2019-06-23,+8,763,пасмурно,-,Ю 4м/с,+8,763,пасмурно,-,Ю 4м/с
233920,2019-06-24,+9,764,пасмурно,-,ЮВ 4м/с,+8,764,пасмурно,-,ЮВ 4м/с
233920,2019-06-25,+9,763,пасмурно,-,Ю 4м/с,+8,764,пасмурно,-,Ю 4м/с
233920,2019-06-26,+11,758,пасмурно,-,ЮЗ 2м/с,+13,758,малооблачно,-,ЮЗ 2м/с
233920,2019-06-27,+26,751,облачно,-,С 4м/с,+21,749,облачно,-,С 4м/с
233920,2019-06-28,+14,752,облачно,-,ЮЗ 3м/с,+14,751,малооблачно,-,ЮЗ 3м/с
233920,2019-06-29,+14,751,малооблачно,-,ЮВ 3м/с,+13,752,малооблачно,-,ЮВ 3м/с
233920,2019-06-30,+14,755,пасмурно,-,ЮВ 5м/с,+12,755,малооблачно,-,ЮВ 5м/с
