id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233877,2020-04-01,+9,752,малооблачно,-,ЮЗ 6м/с,+6,754,ясно,-,ЮЗ 6м/с
233877,2020-04-02,+12,746,пасмурно,-,ЮЗ 8м/с,+2,749,ясно,-,ЮЗ 8м/с
233877,2020-04-03,+5,753,пасмурно,-,З 2м/с,-1,757,ясно,-,З 2м/с
233877,2020-04-04,+3,761,пасмурно,-,С 2м/с,0,763,малооблачно,-,С 2м/с
233877,2020-04-05,+7,759,ясно,-,С 1м/с,+1,759,облачно,-,С 1м/с
233877,2020-04-06,+8,755,облачно,-,Ю 1м/с,+3,755,ясно,-,Ю 1м/с
233877,2020-04-07,+1,758,пасмурно,-,С 2м/с,+1,759,облачно,-,С 2м/с
233877,2020-04-08,+6,763,ясно,-,С 1м/с,+1,764,облачно,-,С 1м/с
233877,2020-04-09,+8,761,ясно,-,СВ 3м/с,+3,761,ясно,-,СВ 3м/с
233877,2020-04-10,+8,761,малооблачно,-,С 1м/с,+1,763,ясно,-,С 1м/с
233877,2020-04-11,+8,761,ясно,-,СВ 1м/с,-1,760,ясно,-,СВ 1м/с
233877,2020-04-12,+10,758,ясно,-,СВ 2м/с,+2,758,ясно,-,СВ 2м/с
233877,2020-04-13,+15,754,ясно,-,СЗ 2м/с,+5,752,ясно,-,СЗ 2м/с
233877,2020-04-14,+5,755,облачно,-,С 2м/с,+1,758,ясно,-,С 2м/с
233877,2020-04-15,+10,760,пасмурно,-,С 1м/с,+3,761,ясно,-,С 1м/с
233877,2020-04-16,+14,758,малооблачно,-,С 1м/с,+10,758,ясно,-,С 1м/с
233877,2020-04-17,+17,757,ясно,-,ЮЗ 5м/с,+11,757,ясно,-,ЮЗ 5м/с
233877,2020-04-18,+18,758,ясно,-,З 8м/с,+6,760,ясно,-,З 8м/с
233877,2020-04-19,+17,744,малооблачно,-,Ю 2м/с,+8,757,ясно,-,Ю 2м/с
233877,2020-04-20,+4,755,ясно,-,С 1м/с,0,755,ясно,-,С 1м/с
233877,2020-04-21,0,747,малооблачно,снег,СВ 3м/с,-2,746,малооблачно,снег,СВ 3м/с
233877,2020-04-22,+1,746,ясно,-,СВ 6м/с,-2,749,ясно,-,СВ 6м/с
233877,2020-04-23,+2,750,пасмурно,-,СВ 2м/с,+1,752,облачно,-,СВ 2м/с
233877,2020-04-24,+4,749,малооблачно,-,В 1м/с,0,752,ясно,-,В 1м/с
233877,2020-04-25,+6,755,облачно,-,В 2м/с,+3,756,пасмурно,-,В 2м/с
233877,2020-04-26,+8,758,пасмурно,-,С 1м/с,+4,758,малооблачно,-,С 1м/с
233877,2020-04-27,+8,755,пасмурно,-,З 1м/с,+4,755,малооблачно,-,З 1м/с
233877,2020-04-28,+14,749,пасмурно,-,З 4м/с,+9,750,пасмурно,-,З 4м/с
233877,2020-04-29,+17,751,малооблачно,-,СЗ 3м/с,+11,751,ясно,-,СЗ 3м/с
233877,2020-04-30,+22,748,ясно,-,ЮЗ 6м/с,+16,749,ясно,-,ЮЗ 6м/с
