id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233878,2020-07-01,+22,746,малооблачно,-,СВ 3м/с,+17,749,облачно,-,СВ 3м/с
233878,2020-07-02,+20,752,малооблачно,-,СВ 4м/с,+12,751,ясно,-,СВ 4м/с
233878,2020-07-03,+26,747,ясно,-,ЮЗ 7м/с,+23,746,ясно,-,ЮЗ 7м/с
233878,2020-07-04,+26,740,пасмурно,-,ЮЗ 4м/с,+19,742,пасмурно,-,ЮЗ 4м/с
233878,2020-07-05,+28,739,малооблачно,-,ЮЗ 5м/с,+23,740,облачно,-,ЮЗ 5м/с
233878,2020-07-06,+20,742,пасмурно,-,СВ 2м/с,+18,743,пасмурно,-,СВ 2м/с
233878,2020-07-07,+23,741,облачно,-,С 1м/с,+17,743,пасмурно,-,С 1м/с
233878,2020-07-08,+14,743,пасмурно,-,С 1м/с,+13,743,пасмурно,-,С 1м/с
233878,2020-07-09,+15,746,пасмурно,-,С 1м/с,+14,749,пасмурно,-,С 1м/с
233878,2020-07-10,+22,752,облачно,-,С 1м/с,+16,752,ясно,-,С 1м/с
233878,2020-07-11,+25,751,малооблачно,-,Ш,+20,751,ясно,-,Ш
233878,2020-07-12,+25,750,малооблачно,-,В 2м/с,+19,750,малооблачно,-,В 2м/с
233878,2020-07-13,+28,749,малооблачно,-,С 1м/с,+20,748,ясно,-,С 1м/с
233878,2020-07-14,+26,746,ясно,-,СВ 2м/с,+20,746,ясно,-,СВ 2м/с
233878,2020-07-15,+27,743,пасмурно,-,ЮЗ 3м/с,+22,743,ясно,-,ЮЗ 3м/с
233878,2020-07-16,+27,743,пасмурно,-,Ю 2м/с,+24,743,пасмурно,-,Ю 2м/с
233878,2020-07-17,+25,746,малооблачно,-,ЮЗ 4м/с,+21,746,пасмурно,гроза,ЮЗ 4м/с
233878,2020-07-18,+28,749,пасмурно,-,ЮЗ 1м/с,+24,749,малооблачно,-,ЮЗ 1м/с
233878,2020-07-19,+30,748,малооблачно,-,В 1м/с,+25,749,ясно,-,В 1м/с
233878,2020-07-20,+30,746,малооблачно,-,СВ 1м/с,+21,746,пасмурно,-,СВ 1м/с
233878,2020-07-21,+25,747,пасмурно,-,ЮЗ 3м/с,+21,748,облачно,-,ЮЗ 3м/с
233878,2020-07-22,+28,749,малооблачно,-,С 1м/с,+22,750,пасмурно,-,С 1м/с
233878,2020-07-23,+27,751,облачно,-,Ш,+21,752,пасмурно,-,Ш
233878,2020-07-24,+26,751,малооблачно,-,СВ 1м/с,+21,752,ясно,-,СВ 1м/с
233878,2020-07-25,+27,752,малооблачно,-,Ш,+22,752,пасмурно,-,Ш
233878,2020-07-26,+26,752,малооблачно,-,СЗ 1м/с,+21,752,пасмурно,-,СЗ 1м/с
233878,2020-07-27,+27,752,малооблачно,-,В 2м/с,+22,752,ясно,-,В 2м/с
233878,2020-07-28,+26,752,малооблачно,-,СЗ 1м/с,+21,751,ясно,-,СЗ 1м/с
233878,2020-07-29,+31,749,малооблачно,-,ЮЗ 4м/с,+27,749,ясно,-,ЮЗ 4м/с
233878,2020-07-30,+31,748,ясно,-,ЮЗ 5м/с,+25,748,ясно,-,ЮЗ 5м/с
233878,2020-07-31,+31,749,малооблачно,-,Ш,+22,749,облачно,-,Ш
