id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233921,2021-12-01,-23,763,ясно,-,С 4м/с,-26,763,ясно,-,С 4м/с
233921,2021-12-02,-13,737,пасмурно,-,СЗ 10м/с,-13,733,пасмурно,снег,СЗ 10м/с
233921,2021-12-03,-17,742,малооблачно,-,СЗ 5м/с,-20,749,малооблачно,-,СЗ 5м/с
233921,2021-12-04,-24,755,ясно,-,С 5м/с,-27,754,ясно,-,С 5м/с
233921,2021-12-05,-27,749,малооблачно,-,С 5м/с,-26,750,малооблачно,-,С 5м/с
233921,2021-12-06,-24,752,ясно,-,СЗ 3м/с,-21,752,малооблачно,-,СЗ 3м/с
233921,2021-12-07,-18,751,ясно,-,СЗ 8м/с,-20,752,ясно,-,СЗ 8м/с
233921,2021-12-08,-22,758,ясно,-,СЗ 5м/с,-24,761,ясно,-,СЗ 5м/с
233921,2021-12-09,-26,764,малооблачно,-,СЗ 5м/с,-24,764,облачно,-,СЗ 5м/с
233921,2021-12-10,-17,765,пасмурно,снег,С 5м/с,-20,767,ясно,-,С 5м/с
233921,2021-12-11,-20,770,малооблачно,-,С 5м/с,-22,770,малооблачно,-,С 5м/с
233921,2021-12-12,-17,765,пасмурно,-,С 6м/с,-18,762,облачно,-,С 6м/с
233921,2021-12-13,-16,752,малооблачно,-,С 6м/с,-16,750,ясно,-,С 6м/с
233921,2021-12-14,-14,746,облачно,-,С 3м/с,-15,747,облачно,-,С 3м/с
233921,2021-12-15,-20,749,малооблачно,-,С 5м/с,-22,749,малооблачно,-,С 5м/с
233921,2021-12-16,-25,749,малооблачно,-,С 5м/с,-25,748,малооблачно,-,С 5м/с
233921,2021-12-17,-25,749,ясно,-,СЗ 5м/с,-25,749,малооблачно,-,СЗ 5м/с
233921,2021-12-18,-21,748,малооблачно,-,С 4м/с,-21,749,облачно,-,С 4м/с
233921,2021-12-19,-20,746,облачно,снег,С 5м/с,-20,747,пасмурно,снег,С 5м/с
233921,2021-12-20,-19,749,малооблачно,-,СЗ 5м/с,-18,751,пасмурно,снег,СЗ 5м/с
233921,2021-12-21,-17,764,пасмурно,снег,З 3м/с,-22,768,облачно,-,З 3м/с
233921,2021-12-22,-19,768,малооблачно,-,С 7м/с,-20,766,малооблачно,-,С 7м/с
233921,2021-12-23,-15,764,малооблачно,-,С 2м/с,-18,766,ясно,-,С 2м/с
233921,2021-12-24,-22,767,ясно,-,С 5м/с,-25,767,ясно,-,С 5м/с
233921,2021-12-25,-26,766,облачно,-,С 4м/с,-27,765,малооблачно,-,С 4м/с
233921,2021-12-26,-27,762,малооблачно,-,С 4м/с,-27,761,малооблачно,-,С 4м/с
233921,2021-12-27,-25,756,ясно,-,С 3м/с,-25,755,ясно,-,С 3м/с
233921,2021-12-28,-24,756,малооблачно,-,С 4м/с,-24,757,малооблачно,-,С 4м/с
233921,2021-12-29,-23,758,облачно,-,СЗ 4м/с,-24,760,малооблачно,-,СЗ 4м/с
233921,2021-12-30,-23,763,облачно,-,СЗ 4м/с,-21,765,пасмурно,снег,СЗ 4м/с
233921,2021-12-31,-26,767,ясно,-,СЗ 4м/с,-27,766,ясно,-,СЗ 4м/с
