id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233738,2016-01-01,-29,746,ясно,-,Ш,-33,746,пасмурно,снег,Ш
233738,2016-01-02,-33,743,ясно,-,Ш,-34,741,пасмурно,снег,Ш
233738,2016-01-03,-32,735,ясно,-,Ш,-35,736,пасмурно,снег,Ш
233738,2016-01-04,-34,737,малооблачно,-,Ш,-39,737,ясно,-,Ш
233738,2016-01-05,-38,740,ясно,-,Ш,-40,741,пасмурно,-,Ш
233738,2016-01-06,-35,735,пасмурно,снег,Ш,-33,734,пасмурно,снег,Ш
233738,2016-01-07,-35,737,малооблачно,-,Ш,-37,739,пасмурно,снег,Ш
233738,2016-01-08,-38,740,малооблачно,-,Ш,-41,740,малооблачно,-,Ш
233738,2016-01-09,-36,741,пасмурно,-,Ш,-38,743,пасмурно,-,Ш
233738,2016-01-10,-38,748,ясно,-,Ш,-42,749,ясно,-,Ш
233738,2016-01-11,-36,748,малооблачно,-,Ш,-36,746,пасмурно,снег,Ш
233738,2016-01-12,-30,741,пасмурно,снег,Ш,-31,743,пасмурно,снег,Ш
233738,2016-01-13,-31,746,облачно,снег,Ш,-37,749,ясно,-,Ш
233738,2016-01-14,-31,753,пасмурно,-,Ш,-36,756,ясно,-,Ш
233738,2016-01-15,-36,757,пасмурно,-,Ш,-35,755,пасмурно,-,Ш
233738,2016-01-16,-30,748,пасмурно,-,Ш,-36,749,ясно,-,Ш
233738,2016-01-17,-34,752,ясно,-,Ш,-40,754,ясно,-,Ш
233738,2016-01-18,-37,755,ясно,-,Ш,-42,758,ясно,-,Ш
233738,2016-01-19,-36,761,ясно,-,Ш,-42,761,ясно,-,Ш
233738,2016-01-20,-38,760,пасмурно,-,Ш,-40,761,ясно,-,Ш
233738,2016-01-21,-38,764,ясно,-,Ш,-41,766,ясно,-,Ш
233738,2016-01-22,-35,766,пасмурно,-,Ш,-39,764,ясно,-,Ш
233738,2016-01-23,-35,752,ясно,-,Ш,-39,751,ясно,-,Ш
233738,2016-01-24,-32,741,пасмурно,-,Ш,-34,738,облачно,снег,Ш
233738,2016-01-25,-29,736,пасмурно,снег,Ш,-33,737,ясно,-,Ш
233738,2016-01-26,-33,737,ясно,-,Ш,-37,739,ясно,-,Ш
233738,2016-01-27,-35,743,ясно,-,Ш,-36,746,пасмурно,снег,Ш
233738,2016-01-28,-34,751,пасмурно,снег,Ш,-36,753,пасмурно,снег,Ш
233738,2016-01-29,-31,752,пасмурно,снег,Ш,-35,752,облачно,снег,Ш
233738,2016-01-30,-37,749,ясно,-,Ш,-41,749,ясно,-,Ш
233738,2016-01-31,-36,746,ясно,-,Ш,-37,745,пасмурно,снег,Ш
233738,2016-02-01,-30,740,малооблачно,-,Ш,-33,742,ясно,-,Ш
233738,2016-02-02,-31,741,ясно,-,Ш,-34,741,ясно,-,Ш
233738,2016-02-03,-29,739,пасмурно,-,ЮВ 1м/с,-33,739,малооблачно,-,ЮВ 1м/с
233738,2016-02-04,,,-,-,,-40,749,ясно,-,Ш
233738,2016-02-05,-37,751,ясно,-,Ш,-48,751,ясно,-,Ш
233738,2016-02-06,-40,751,ясно,-,Ш,-46,751,ясно,-,Ш
233738,2016-02-07,-39,744,ясно,-,ЮВ 1м/с,-43,742,ясно,-,ЮВ 1м/с
233738,2016-02-08,-33,739,малооблачно,-,Ш,-41,739,ясно,-,Ш
233738,2016-02-09,-32,742,ясно,-,Ш,-39,743,ясно,-,Ш
233738,2016-02-10,-32,746,ясно,-,ЮВ 1м/с,-38,746,ясно,-,ЮВ 1м/с
233738,2016-02-11,-30,747,ясно,-,ЮВ 1м/с,-35,749,ясно,-,ЮВ 1м/с
233738,2016-02-12,-30,747,пасмурно,-,Ш,-30,748,пасмурно,снег,Ш
233738,2016-02-13,-27,752,малооблачно,-,Ш,-34,752,облачно,-,Ш
233738,2016-02-14,-30,743,ясно,-,Ш,-36,740,ясно,-,Ш
233738,2016-02-15,-31,731,пасмурно,-,ЮВ 1м/с,-33,733,малооблачно,-,ЮВ 1м/с
233738,2016-02-16,-29,736,малооблачно,-,З 1м/с,-32,736,ясно,-,З 1м/с
233738,2016-02-17,-31,735,ясно,-,Ш,-34,737,ясно,-,Ш
233738,2016-02-18,-28,740,малооблачно,-,СЗ 3м/с,-33,742,пасмурно,-,СЗ 3м/с
233738,2016-02-19,-26,743,пасмурно,-,С 1м/с,-28,743,пасмурно,снег,С 1м/с
233738,2016-02-20,-26,745,пасмурно,-,Ш,-30,748,малооблачно,-,Ш
233738,2016-02-21,-28,750,ясно,-,Ш,-33,751,пасмурно,снег,Ш
233738,2016-02-22,-23,749,ясно,-,Ш,-26,750,ясно,-,Ш
233738,2016-02-23,-21,750,малооблачно,-,Ш,-26,751,пасмурно,снег,Ш
233738,2016-02-24,-22,752,ясно,-,Ш,-26,752,малооблачно,-,Ш
233738,2016-02-25,-20,749,малооблачно,-,З 1м/с,-31,748,ясно,-,З 1м/с
233738,2016-02-26,-21,746,пасмурно,-,Ш,-23,746,пасмурно,-,Ш
233738,2016-02-27,-19,749,ясно,-,Ш,-24,751,пасмурно,-,Ш
233738,2016-02-28,-19,753,малооблачно,-,З 1м/с,-26,753,ясно,-,З 1м/с
233738,2016-02-29,-20,746,малооблачно,-,Ю 1м/с,-21,743,ясно,-,Ю 1м/с
233738,2016-03-01,-14,740,ясно,-,В 5м/с,-23,740,ясно,-,В 5м/с
233738,2016-03-02,-12,740,ясно,-,Ю 1м/с,-18,743,ясно,-,Ю 1м/с
233738,2016-03-03,-10,746,ясно,-,В 1м/с,-20,748,ясно,-,В 1м/с
233738,2016-03-04,-8,752,малооблачно,-,ЮВ 1м/с,-17,753,ясно,-,ЮВ 1м/с
233738,2016-03-05,-10,753,ясно,-,Ш,-18,752,ясно,-,Ш
233738,2016-03-06,-6,743,пасмурно,-,В 3м/с,-8,743,пасмурно,-,В 3м/с
233738,2016-03-07,-8,741,малооблачно,-,С 1м/с,-14,742,пасмурно,снег,С 1м/с
233738,2016-03-08,-12,743,малооблачно,-,З 3м/с,-21,743,облачно,-,З 3м/с
233738,2016-03-09,-13,740,малооблачно,-,Ш,-19,740,малооблачно,снег,Ш
233738,2016-03-10,-10,737,облачно,-,СЗ 1м/с,-20,738,ясно,-,СЗ 1м/с
233738,2016-03-11,-11,735,малооблачно,-,ЮВ 3м/с,-20,736,ясно,-,ЮВ 3м/с
233738,2016-03-12,-8,737,малооблачно,-,Ю 1м/с,-12,740,ясно,-,Ю 1м/с
233738,2016-03-13,-11,739,облачно,-,З 1м/с,-13,740,пасмурно,-,З 1м/с
233738,2016-03-14,-8,739,малооблачно,-,ЮВ 1м/с,-12,740,ясно,-,ЮВ 1м/с
233738,2016-03-15,-10,737,облачно,-,З 3м/с,-16,737,ясно,-,З 3м/с
233738,2016-03-16,-9,737,пасмурно,-,Ш,-20,737,ясно,-,Ш
233738,2016-03-17,-8,741,ясно,-,ЮВ 1м/с,-17,743,ясно,-,ЮВ 1м/с
233738,2016-03-18,-5,744,ясно,-,З 1м/с,-15,745,ясно,-,З 1м/с
233738,2016-03-19,-6,747,ясно,-,З 3м/с,-16,749,ясно,-,З 3м/с
233738,2016-03-20,-5,747,ясно,-,В 1м/с,-15,747,ясно,-,В 1м/с
233738,2016-03-21,-3,747,ясно,-,СЗ 3м/с,-18,749,ясно,-,СЗ 3м/с
