id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233959,2019-06-01,+11,747,пасмурно,-,В 2м/с,+9,749,пасмурно,-,В 2м/с
233959,2019-06-02,+9,752,пасмурно,-,С 1м/с,+7,753,пасмурно,-,С 1м/с
233959,2019-06-03,+13,754,пасмурно,-,С 2м/с,+9,755,облачно,-,С 2м/с
233959,2019-06-04,+15,755,пасмурно,-,СВ 2м/с,+11,756,пасмурно,-,СВ 2м/с
233959,2019-06-05,+14,758,облачно,-,Ю 3м/с,+9,758,малооблачно,-,Ю 3м/с
233959,2019-06-06,+19,757,ясно,-,Ю 4м/с,+12,758,ясно,-,Ю 4м/с
233959,2019-06-07,+21,755,ясно,-,ЮВ 4м/с,+13,755,пасмурно,-,ЮВ 4м/с
233959,2019-06-08,+12,758,пасмурно,-,ЮВ 2м/с,+11,759,пасмурно,-,ЮВ 2м/с
233959,2019-06-09,+17,759,облачно,-,СЗ 3м/с,+11,759,ясно,-,СЗ 3м/с
233959,2019-06-10,+16,757,пасмурно,-,В 2м/с,+11,758,ясно,-,В 2м/с
233959,2019-06-11,+14,760,пасмурно,-,СВ 4м/с,+10,761,пасмурно,-,СВ 4м/с
233959,2019-06-12,+15,758,пасмурно,-,ЮВ 2м/с,+10,758,малооблачно,-,ЮВ 2м/с
233959,2019-06-13,+16,756,пасмурно,-,В 4м/с,+10,758,ясно,-,В 4м/с
233959,2019-06-14,+11,758,пасмурно,-,СВ 6м/с,+7,760,пасмурно,-,СВ 6м/с
233959,2019-06-15,+10,761,пасмурно,-,СЗ 4м/с,+8,761,пасмурно,-,СЗ 4м/с
233959,2019-06-16,+15,758,ясно,-,Ю 3м/с,+11,758,малооблачно,-,Ю 3м/с
233959,2019-06-17,+15,755,облачно,-,С 5м/с,+9,755,ясно,-,С 5м/с
233959,2019-06-18,+13,751,облачно,-,С 3м/с,+9,752,пасмурно,-,С 3м/с
233959,2019-06-19,+17,752,малооблачно,-,СВ 4м/с,+10,755,малооблачно,-,СВ 4м/с
233959,2019-06-20,+15,757,пасмурно,-,СВ 2м/с,+11,758,пасмурно,-,СВ 2м/с
233959,2019-06-21,+19,757,малооблачно,-,Ю 3м/с,+12,758,ясно,-,Ю 3м/с
233959,2019-06-22,+23,756,малооблачно,-,Ю 3м/с,+16,757,пасмурно,-,Ю 3м/с
233959,2019-06-23,+15,758,пасмурно,-,Ю 2м/с,+13,758,пасмурно,-,Ю 2м/с
233959,2019-06-24,+19,757,облачно,-,ЮВ 2м/с,+13,756,пасмурно,-,ЮВ 2м/с
233959,2019-06-25,+14,750,пасмурно,-,СВ 2м/с,+10,753,пасмурно,-,СВ 2м/с
233959,2019-06-26,+13,756,облачно,-,СЗ 3м/с,+10,756,малооблачно,-,СЗ 3м/с
233959,2019-06-27,+19,755,облачно,-,СЗ 2м/с,+12,755,ясно,-,СЗ 2м/с
233959,2019-06-28,+24,751,ясно,-,ЮЗ 1м/с,+15,751,ясно,-,ЮЗ 1м/с
233959,2019-06-29,+25,750,ясно,-,ЮВ 3м/с,+15,752,малооблачно,-,ЮВ 3м/с
233959,2019-06-30,+24,752,ясно,-,ЮВ 4м/с,+16,752,ясно,-,ЮВ 4м/с
