id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233739,2020-11-01,-13,737,пасмурно,снег,С 2м/с,-15,738,пасмурно,снег,С 2м/с
233739,2020-11-02,-16,737,пасмурно,снег,С 2м/с,-16,736,пасмурно,-,С 2м/с
233739,2020-11-03,-18,728,пасмурно,снег,СВ 2м/с,-19,728,пасмурно,-,СВ 2м/с
233739,2020-11-04,-13,720,пасмурно,-,С 1м/с,-14,721,пасмурно,-,С 1м/с
233739,2020-11-05,-7,719,пасмурно,-,СВ 1м/с,-9,720,облачно,-,СВ 1м/с
233739,2020-11-06,-8,723,облачно,-,С 2м/с,-11,725,малооблачно,-,С 2м/с
233739,2020-11-07,-12,729,пасмурно,-,С 2м/с,-15,731,пасмурно,-,С 2м/с
233739,2020-11-08,-17,733,облачно,-,С 2м/с,-18,734,пасмурно,-,С 2м/с
233739,2020-11-09,-18,734,малооблачно,-,С 1м/с,-25,735,пасмурно,-,С 1м/с
233739,2020-11-10,-18,732,ясно,-,ЮЗ 2м/с,-26,732,ясно,-,ЮЗ 2м/с
233739,2020-11-11,-14,731,пасмурно,-,Ю 2м/с,-13,733,пасмурно,снег,Ю 2м/с
233739,2020-11-12,-8,733,облачно,-,С 2м/с,-9,733,пасмурно,-,С 2м/с
233739,2020-11-13,-7,734,ясно,-,Ю 1м/с,-10,734,облачно,-,Ю 1м/с
233739,2020-11-14,-9,729,пасмурно,снег,С 1м/с,-10,728,пасмурно,-,С 1м/с
233739,2020-11-15,-7,730,малооблачно,-,С 1м/с,-9,731,пасмурно,-,С 1м/с
233739,2020-11-16,-11,731,пасмурно,-,С 1м/с,-13,732,пасмурно,-,С 1м/с
233739,2020-11-17,-14,734,малооблачно,-,Ш,-18,734,пасмурно,-,Ш
233739,2020-11-18,-17,737,ясно,-,Ш,-22,737,ясно,-,Ш
233739,2020-11-19,-12,735,малооблачно,-,В 1м/с,-18,736,ясно,-,В 1м/с
233739,2020-11-20,-17,737,малооблачно,-,ЮЗ 1м/с,-21,737,ясно,-,ЮЗ 1м/с
233739,2020-11-21,-20,734,ясно,-,З 1м/с,-28,733,ясно,-,З 1м/с
233739,2020-11-22,-22,727,малооблачно,-,ЮЗ 2м/с,-23,725,ясно,-,ЮЗ 2м/с
233739,2020-11-23,-20,722,пасмурно,-,ЮЗ 2м/с,-22,723,ясно,-,ЮЗ 2м/с
233739,2020-11-24,-18,728,малооблачно,-,З 1м/с,-19,729,пасмурно,-,З 1м/с
233739,2020-11-25,-17,730,облачно,-,С 1м/с,-20,731,пасмурно,-,С 1м/с
233739,2020-11-26,-19,733,пасмурно,-,В 1м/с,-19,733,пасмурно,-,В 1м/с
233739,2020-11-27,-17,733,облачно,-,Ю 1м/с,-18,734,пасмурно,-,Ю 1м/с
233739,2020-11-28,-18,734,малооблачно,-,Ш,-21,736,ясно,-,Ш
233739,2020-11-29,-20,737,пасмурно,-,Ш,-25,738,ясно,-,Ш
233739,2020-11-30,-25,737,малооблачно,-,ЮЗ 2м/с,-28,737,облачно,-,ЮЗ 2м/с
