id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233810,2020-04-01,+9,745,малооблачно,-,З 4м/с,-2,746,ясно,-,З 4м/с
233810,2020-04-02,+12,738,ясно,-,Ю 6м/с,+2,742,ясно,-,Ю 6м/с
233810,2020-04-03,+5,743,пасмурно,-,ЮЗ 4м/с,+1,743,пасмурно,-,ЮЗ 4м/с
233810,2020-04-04,+1,744,малооблачно,-,С 5м/с,0,747,ясно,-,С 5м/с
233810,2020-04-05,+6,746,малооблачно,-,С 4м/с,+2,746,малооблачно,-,С 4м/с
233810,2020-04-06,+11,743,малооблачно,-,С 5м/с,+4,743,малооблачно,-,С 5м/с
233810,2020-04-07,+2,744,пасмурно,снег,С 4м/с,+1,745,пасмурно,-,С 4м/с
233810,2020-04-08,+5,749,пасмурно,-,С 4м/с,+4,751,облачно,-,С 4м/с
233810,2020-04-09,+11,749,малооблачно,-,С 2м/с,-1,750,ясно,-,С 2м/с
233810,2020-04-10,+14,749,малооблачно,-,С 3м/с,+7,751,пасмурно,-,С 3м/с
233810,2020-04-11,+9,749,ясно,-,С 4м/с,-2,749,ясно,-,С 4м/с
233810,2020-04-12,+15,747,ясно,-,СЗ 2м/с,+1,747,ясно,-,СЗ 2м/с
233810,2020-04-13,+18,743,ясно,-,С 1м/с,+3,742,ясно,-,С 1м/с
233810,2020-04-14,+7,743,пасмурно,-,С 6м/с,+3,746,ясно,-,С 6м/с
233810,2020-04-15,+11,749,малооблачно,-,С 5м/с,-1,749,ясно,-,С 5м/с
233810,2020-04-16,+15,749,малооблачно,-,З 4м/с,+1,749,ясно,-,З 4м/с
233810,2020-04-17,+17,747,малооблачно,-,ЮВ 2м/с,+4,747,ясно,-,ЮВ 2м/с
233810,2020-04-18,+16,747,малооблачно,-,Ю 3м/с,+4,749,ясно,-,Ю 3м/с
233810,2020-04-19,+20,747,ясно,-,Ю 4м/с,+8,746,ясно,-,Ю 4м/с
233810,2020-04-20,+16,740,облачно,-,ЮВ 2м/с,+7,740,пасмурно,-,ЮВ 2м/с
233810,2020-04-21,+3,733,пасмурно,-,С 4м/с,-1,733,пасмурно,снег,С 4м/с
233810,2020-04-22,-1,734,пасмурно,снег,С 4м/с,-2,738,пасмурно,снег,С 4м/с
233810,2020-04-23,+4,740,пасмурно,-,СЗ 4м/с,-2,740,ясно,-,СЗ 4м/с
233810,2020-04-24,+7,738,пасмурно,-,ЮЗ 4м/с,0,740,облачно,-,ЮЗ 4м/с
233810,2020-04-25,+9,742,малооблачно,-,С 3м/с,+1,744,ясно,-,С 3м/с
233810,2020-04-26,+10,746,пасмурно,-,С 2м/с,+1,747,пасмурно,-,С 2м/с
233810,2020-04-27,+6,745,пасмурно,-,СЗ 5м/с,+1,744,ясно,-,СЗ 5м/с
233810,2020-04-28,+13,740,малооблачно,-,Ю 4м/с,+7,740,пасмурно,-,Ю 4м/с
233810,2020-04-29,+17,742,малооблачно,-,З 4м/с,+11,743,ясно,-,З 4м/с
233810,2020-04-30,+22,740,облачно,-,ЮЗ 3м/с,+8,740,ясно,-,ЮЗ 3м/с
