id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233818,2016-10-01,+19,743,ясно,-,ЮЗ 2м/с,+7,742,ясно,-,ЮЗ 2м/с
233818,2016-10-02,+18,743,ясно,-,З 3м/с,+2,744,ясно,-,З 3м/с
233818,2016-10-03,+11,734,малооблачно,-,С 1м/с,+5,734,пасмурно,-,С 1м/с
233818,2016-10-04,+5,746,пасмурно,-,ЮЗ 2м/с,-1,749,ясно,-,ЮЗ 2м/с
233818,2016-10-05,+10,743,малооблачно,-,З 2м/с,+3,743,пасмурно,-,З 2м/с
233818,2016-10-06,+3,744,пасмурно,-,З 3м/с,+1,746,пасмурно,-,З 3м/с
233818,2016-10-07,+10,746,пасмурно,-,З 5м/с,-2,747,ясно,-,З 5м/с
233818,2016-10-08,+3,737,малооблачно,-,СВ 1м/с,+1,736,пасмурно,-,СВ 1м/с
233818,2016-10-09,+6,740,пасмурно,-,З 2м/с,+2,742,пасмурно,-,З 2м/с
233818,2016-10-10,+4,743,облачно,-,ЮЗ 3м/с,-1,744,пасмурно,-,ЮЗ 3м/с
233818,2016-10-11,+5,743,облачно,-,З 1м/с,+3,744,пасмурно,-,З 1м/с
233818,2016-10-12,+8,744,малооблачно,-,З 3м/с,-4,746,ясно,-,З 3м/с
233818,2016-10-13,+8,746,ясно,-,ЮЗ 3м/с,-2,747,пасмурно,-,ЮЗ 3м/с
233818,2016-10-14,+10,749,ясно,-,З 3м/с,-3,750,ясно,-,З 3м/с
233818,2016-10-15,+15,744,пасмурно,-,Ю 3м/с,+7,746,ясно,-,Ю 3м/с
233818,2016-10-16,+20,744,ясно,-,Ю 3м/с,+9,744,пасмурно,-,Ю 3м/с
233818,2016-10-17,+11,737,пасмурно,-,Ю 2м/с,+4,744,пасмурно,-,Ю 2м/с
233818,2016-10-18,+7,746,ясно,-,З 2м/с,0,747,пасмурно,-,З 2м/с
233818,2016-10-19,0,744,пасмурно,-,Ю 2м/с,-1,743,пасмурно,-,Ю 2м/с
233818,2016-10-20,-1,746,облачно,-,З 6м/с,-2,748,малооблачно,-,З 6м/с
233818,2016-10-21,+1,751,ясно,-,Ю 2м/с,-,-,-,-,-
233818,2016-10-22,+2,745,малооблачно,-,З 3м/с,-2,746,малооблачно,-,З 3м/с
233818,2016-10-23,+1,741,облачно,-,ЮЗ 6м/с,-3,743,ясно,-,ЮЗ 6м/с
233818,2016-10-24,+1,742,малооблачно,-,З 4м/с,-2,745,ясно,-,З 4м/с
233818,2016-10-25,0,739,пасмурно,снег,ЮЗ 2м/с,+1,737,облачно,-,ЮЗ 2м/с
233818,2016-10-26,-2,740,пасмурно,-,З 3м/с,-2,745,пасмурно,-,З 3м/с
233818,2016-10-27,+1,746,пасмурно,-,З 5м/с,-2,747,ясно,-,З 5м/с
233818,2016-10-28,0,743,ясно,-,З 4м/с,-4,744,ясно,-,З 4м/с
233818,2016-10-29,-2,745,малооблачно,-,З 5м/с,-6,748,ясно,-,З 5м/с
233818,2016-10-30,-1,747,малооблачно,-,З 4м/с,-4,748,малооблачно,-,З 4м/с
233818,2016-10-31,-8,749,облачно,-,З 4м/с,-12,750,ясно,-,З 4м/с
