id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233962,2021-07-01,+21,761,ясно,-,ЮВ 4м/с,+14,761,ясно,-,ЮВ 4м/с
233962,2021-07-02,+25,758,ясно,-,В 3м/с,+17,759,ясно,-,В 3м/с
233962,2021-07-03,+26,758,ясно,-,ЮЗ 3м/с,+20,758,ясно,-,ЮЗ 3м/с
233962,2021-07-04,+27,756,ясно,-,В 3м/с,+18,756,ясно,-,В 3м/с
233962,2021-07-05,+25,753,ясно,-,В 4м/с,+18,753,ясно,-,В 4м/с
233962,2021-07-06,+27,752,ясно,-,В 5м/с,+21,754,ясно,-,В 5м/с
233962,2021-07-07,+24,755,ясно,-,ЮВ 6м/с,+16,756,ясно,-,ЮВ 6м/с
233962,2021-07-08,+26,755,ясно,-,ЮВ 4м/с,+17,755,ясно,-,ЮВ 4м/с
233962,2021-07-09,+25,752,ясно,-,ЮВ 3м/с,+16,753,ясно,-,ЮВ 3м/с
233962,2021-07-10,+27,751,пасмурно,гроза,ЮВ 4м/с,+20,752,малооблачно,-,ЮВ 4м/с
233962,2021-07-11,+27,751,облачно,-,Ю 2м/с,+20,752,пасмурно,-,Ю 2м/с
233962,2021-07-12,+23,753,облачно,-,Ю 3м/с,+20,755,малооблачно,-,Ю 3м/с
233962,2021-07-13,+30,755,ясно,-,В 3м/с,+21,755,малооблачно,-,В 3м/с
233962,2021-07-14,+27,755,пасмурно,-,С 4м/с,+20,758,пасмурно,-,С 4м/с
233962,2021-07-16,+27,754,пасмурно,-,Ю 3м/с,+22,752,малооблачно,-,Ю 3м/с
233962,2021-07-17,+31,749,ясно,-,ЮЗ 4м/с,+26,752,пасмурно,-,ЮЗ 4м/с
233962,2021-07-18,+28,755,ясно,-,С 3м/с,+20,756,ясно,-,С 3м/с
233962,2021-07-19,+27,758,ясно,-,З 1м/с,+21,758,ясно,-,З 1м/с
233962,2021-07-20,+29,759,ясно,-,ЮВ 2м/с,+21,760,ясно,-,ЮВ 2м/с
233962,2021-07-21,+27,756,малооблачно,-,Ю 2м/с,+19,755,малооблачно,-,Ю 2м/с
233962,2021-07-22,+31,752,малооблачно,-,ЮЗ 1м/с,+25,753,облачно,-,ЮЗ 1м/с
233962,2021-07-23,+29,752,малооблачно,-,Ю 2м/с,+24,753,ясно,-,Ю 2м/с
233962,2021-07-24,+25,753,пасмурно,гроза,С 6м/с,+21,752,ясно,-,С 6м/с
233962,2021-07-25,+33,751,малооблачно,-,ЮВ 1м/с,+25,752,облачно,-,ЮВ 1м/с
233962,2021-07-26,+28,752,пасмурно,-,Ю 1м/с,+22,751,пасмурно,-,Ю 1м/с
233962,2021-07-27,+25,752,пасмурно,-,В 2м/с,+21,752,пасмурно,-,В 2м/с
233962,2021-07-28,+26,750,пасмурно,-,С 2м/с,+23,750,пасмурно,-,С 2м/с
233962,2021-07-29,+25,747,облачно,-,Ю 2м/с,+21,747,пасмурно,-,Ю 2м/с
233962,2021-07-30,+23,751,пасмурно,-,С 4м/с,+20,754,пасмурно,-,С 4м/с
233962,2021-07-31,+19,758,пасмурно,-,В 2м/с,+16,758,пасмурно,-,В 2м/с
