id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233845,2020-12-01,-16,764,ясно,-,Ш,-18,764,ясно,-,Ш
233845,2020-12-02,-12,760,ясно,-,СЗ 3м/с,-15,759,малооблачно,-,СЗ 3м/с
233845,2020-12-03,-11,755,ясно,-,З 4м/с,-23,755,ясно,-,З 4м/с
233845,2020-12-04,-10,755,ясно,-,В 1м/с,-18,755,ясно,-,В 1м/с
233845,2020-12-05,-10,757,ясно,-,Ш,-21,760,ясно,-,Ш
233845,2020-12-06,-9,760,малооблачно,-,З 3м/с,-22,759,ясно,-,З 3м/с
233845,2020-12-07,-13,756,ясно,-,В 1м/с,-23,755,малооблачно,-,В 1м/с
233845,2020-12-08,-12,758,ясно,-,З 1м/с,-24,758,ясно,-,З 1м/с
233845,2020-12-09,-12,758,ясно,-,В 1м/с,-22,758,ясно,-,В 1м/с
233845,2020-12-10,-14,758,малооблачно,-,Ш,-20,761,облачно,-,Ш
233845,2020-12-11,-13,758,облачно,-,Ш,-15,759,пасмурно,снег,Ш
233845,2020-12-12,-13,758,пасмурно,снег,З 3м/с,-15,757,пасмурно,снег,З 3м/с
233845,2020-12-13,-12,753,пасмурно,снег,З 6м/с,-14,755,пасмурно,-,З 6м/с
233845,2020-12-14,-13,754,пасмурно,-,СЗ 6м/с,-13,756,пасмурно,-,СЗ 6м/с
233845,2020-12-15,-15,756,пасмурно,-,З 5м/с,-17,756,малооблачно,-,З 5м/с
233845,2020-12-16,-15,754,малооблачно,-,З 4м/с,-16,755,малооблачно,-,З 4м/с
233845,2020-12-17,-16,755,ясно,-,З 2м/с,-20,757,ясно,-,З 2м/с
233845,2020-12-18,-19,758,малооблачно,-,З 2м/с,-26,758,малооблачно,-,З 2м/с
233845,2020-12-19,-20,760,ясно,-,З 2м/с,-31,761,ясно,-,З 2м/с
233845,2020-12-20,-19,758,ясно,-,З 2м/с,-31,757,ясно,-,З 2м/с
233845,2020-12-21,-19,755,малооблачно,-,Ш,-24,758,малооблачно,-,Ш
233845,2020-12-22,-21,758,ясно,-,Ш,-32,759,ясно,-,Ш
233845,2020-12-23,-24,759,ясно,-,Ш,-34,759,ясно,-,Ш
233845,2020-12-24,-26,757,ясно,-,З 1м/с,-36,758,ясно,-,З 1м/с
233845,2020-12-25,-28,756,ясно,-,Ш,-33,757,ясно,-,Ш
233845,2020-12-26,-28,758,ясно,-,Ш,-36,761,ясно,-,Ш
233845,2020-12-27,-25,764,малооблачно,-,З 2м/с,-30,766,ясно,-,З 2м/с
233845,2020-12-28,-24,764,ясно,-,З 2м/с,-,-,-,-,-
233845,2020-12-29,-25,761,ясно,-,ЮЗ 1м/с,-36,761,ясно,-,ЮЗ 1м/с
233845,2020-12-30,-27,758,малооблачно,-,Ю 1м/с,-34,759,ясно,-,Ю 1м/с
233845,2020-12-31,-26,757,ясно,-,Ш,-37,757,ясно,-,Ш
