id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
234001,2017-03-01,-3,753,пасмурно,-,З 4м/с,-10,754,малооблачно,-,З 4м/с
234001,2017-03-02,-12,755,ясно,-,З 8м/с,-15,755,малооблачно,-,З 8м/с
234001,2017-03-03,-12,755,ясно,-,З 7м/с,-14,754,ясно,-,З 7м/с
234001,2017-03-04,-11,752,ясно,-,З 10м/с,-14,753,ясно,-,З 10м/с
234001,2017-03-05,-11,755,малооблачно,-,З 8м/с,-11,755,облачно,снег,З 8м/с
234001,2017-03-06,-9,750,малооблачно,снег,З 4м/с,-12,750,малооблачно,снег,З 4м/с
234001,2017-03-07,-5,746,малооблачно,снег,З 4м/с,-7,745,малооблачно,снег,З 4м/с
234001,2017-03-08,-6,741,облачно,снег,СВ 3м/с,-7,743,малооблачно,-,СВ 3м/с
234001,2017-03-09,-3,746,малооблачно,-,З 3м/с,-7,747,малооблачно,-,З 3м/с
234001,2017-03-10,-2,750,малооблачно,-,З 7м/с,-3,753,ясно,-,З 7м/с
234001,2017-03-11,-1,758,ясно,-,СВ 3м/с,-4,760,ясно,-,СВ 3м/с
234001,2017-03-12,+1,759,ясно,-,СВ 5м/с,-5,759,облачно,-,СВ 5м/с
234001,2017-03-13,0,758,малооблачно,-,СВ 6м/с,-2,759,малооблачно,-,СВ 6м/с
234001,2017-03-14,0,759,ясно,-,С 3м/с,-4,760,ясно,-,С 3м/с
234001,2017-03-15,+2,758,ясно,-,ЮВ 1м/с,-2,758,ясно,-,ЮВ 1м/с
234001,2017-03-16,+2,758,облачно,-,СВ 3м/с,-4,758,ясно,-,СВ 3м/с
234001,2017-03-17,+3,758,малооблачно,-,В 2м/с,-3,759,малооблачно,-,В 2м/с
234001,2017-03-18,+5,759,ясно,-,СЗ 2м/с,-2,759,ясно,-,СЗ 2м/с
234001,2017-03-19,+4,760,ясно,-,ЮВ 2м/с,0,760,ясно,-,ЮВ 2м/с
234001,2017-03-20,+6,755,ясно,-,СВ 3м/с,0,755,ясно,-,СВ 3м/с
234001,2017-03-21,+3,751,ясно,-,СВ 5м/с,-2,751,ясно,-,СВ 5м/с
234001,2017-03-22,0,753,малооблачно,-,СВ 6м/с,-2,755,пасмурно,-,СВ 6м/с
234001,2017-03-23,+2,757,малооблачно,-,СЗ 4м/с,-1,758,облачно,-,СЗ 4м/с
234001,2017-03-24,+4,758,малооблачно,-,С 3м/с,0,758,облачно,-,С 3м/с
234001,2017-03-25,+6,756,малооблачно,-,З 4м/с,0,757,ясно,-,З 4м/с
234001,2017-03-26,+3,756,малооблачно,-,ЮВ 3м/с,-2,757,облачно,-,ЮВ 3м/с
234001,2017-03-27,+5,755,малооблачно,-,С 3м/с,-2,755,малооблачно,-,С 3м/с
234001,2017-03-28,+7,752,облачно,-,СЗ 4м/с,+2,753,ясно,-,СЗ 4м/с
234001,2017-03-29,+7,755,малооблачно,-,В 5м/с,0,758,малооблачно,-,В 5м/с
234001,2017-03-30,+6,759,малооблачно,-,СВ 3м/с,+1,760,малооблачно,-,СВ 3м/с
234001,2017-03-31,+6,757,облачно,-,В 2м/с,+2,756,облачно,-,В 2м/с
