id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233902,2018-06-01,+23,749,ясно,-,З 8м/с,+14,750,пасмурно,-,З 8м/с
233902,2018-06-02,+18,752,ясно,-,Ю 6м/с,+12,749,малооблачно,-,Ю 6м/с
233902,2018-06-03,+13,754,пасмурно,-,В 2м/с,+10,757,пасмурно,-,В 2м/с
233902,2018-06-04,+13,758,малооблачно,-,В 2м/с,+12,758,пасмурно,-,В 2м/с
233902,2018-06-05,+12,758,пасмурно,гроза,С 2м/с,+8,759,пасмурно,-,С 2м/с
233902,2018-06-06,+8,761,пасмурно,-,С 6м/с,+9,763,пасмурно,-,С 6м/с
233902,2018-06-07,+14,764,малооблачно,-,СВ 6м/с,+11,764,малооблачно,-,СВ 6м/с
233902,2018-06-08,+14,761,малооблачно,-,С 4м/с,+8,761,ясно,-,С 4м/с
233902,2018-06-09,+16,755,малооблачно,-,Ю 2м/с,+13,753,пасмурно,-,Ю 2м/с
233902,2018-06-10,+11,755,пасмурно,-,С 2м/с,+10,757,пасмурно,-,С 2м/с
233902,2018-06-11,+11,759,пасмурно,-,С 2м/с,+10,760,малооблачно,-,С 2м/с
233902,2018-06-12,+14,760,облачно,-,В 2м/с,-,-,-,-,-
233902,2018-06-13,+14,761,облачно,-,В 2м/с,+8,763,малооблачно,-,В 2м/с
233902,2018-06-14,+16,764,ясно,-,В 2м/с,+11,764,малооблачно,-,В 2м/с
233902,2018-06-15,+17,762,пасмурно,-,Ю 6м/с,+13,761,пасмурно,-,Ю 6м/с
233902,2018-06-16,+13,758,пасмурно,-,Ю 6м/с,+11,758,пасмурно,-,Ю 6м/с
233902,2018-06-17,+11,755,пасмурно,-,Ю 6м/с,+10,755,пасмурно,-,Ю 6м/с
233902,2018-06-18,+11,753,пасмурно,-,Ю 6м/с,+10,755,пасмурно,-,Ю 6м/с
233902,2018-06-19,+12,751,пасмурно,-,Ю 8м/с,+11,752,пасмурно,-,Ю 8м/с
233902,2018-06-20,+12,752,пасмурно,-,Ю 2м/с,+12,752,пасмурно,-,Ю 2м/с
233902,2018-06-21,,,-,-,,+10,749,пасмурно,-,Ш
233902,2018-06-22,+10,746,пасмурно,-,С 6м/с,+7,746,пасмурно,-,С 6м/с
233902,2018-06-23,+8,748,пасмурно,-,С 12м/с,+8,750,пасмурно,-,С 12м/с
233902,2018-06-24,+11,757,пасмурно,-,С 6м/с,+10,758,пасмурно,-,С 6м/с
233902,2018-06-25,+17,757,малооблачно,-,ЮВ 2м/с,+12,755,малооблачно,-,ЮВ 2м/с
233902,2018-06-26,+14,753,малооблачно,-,Ю 6м/с,+12,752,малооблачно,-,Ю 6м/с
233902,2018-06-27,+13,749,пасмурно,-,Ю 2м/с,+13,749,пасмурно,-,Ю 2м/с
233902,2018-06-28,+14,750,пасмурно,-,Ш,+12,752,пасмурно,-,Ш
233902,2018-06-29,+12,754,пасмурно,-,Ю 2м/с,+12,755,пасмурно,-,Ю 2м/с
233902,2018-06-30,+13,757,пасмурно,-,Ю 2м/с,+13,758,пасмурно,-,Ю 2м/с
