id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233797,2021-10-01,+16,748,малооблачно,-,З 2м/с,+2,749,ясно,-,З 2м/с
233797,2021-10-02,+12,749,пасмурно,-,СЗ 3м/с,+3,751,ясно,-,СЗ 3м/с
233797,2021-10-03,+10,749,малооблачно,-,В 2м/с,+8,747,пасмурно,-,В 2м/с
233797,2021-10-04,+10,756,пасмурно,-,ЮЗ 1м/с,+4,758,ясно,-,ЮЗ 1м/с
233797,2021-10-05,+12,758,малооблачно,-,ЮЗ 3м/с,-1,758,ясно,-,ЮЗ 3м/с
233797,2021-10-06,+14,756,малооблачно,-,СЗ 4м/с,0,756,ясно,-,СЗ 4м/с
233797,2021-10-07,+12,754,малооблачно,-,СЗ 2м/с,0,754,ясно,-,СЗ 2м/с
233797,2021-10-08,+15,755,малооблачно,-,З 4м/с,0,758,ясно,-,З 4м/с
233797,2021-10-09,+19,758,ясно,-,Ю 5м/с,+8,754,ясно,-,Ю 5м/с
233797,2021-10-10,+14,740,пасмурно,-,ЮЗ 2м/с,+12,743,пасмурно,-,ЮЗ 2м/с
233797,2021-10-11,+13,752,ясно,-,З 5м/с,+8,757,ясно,-,З 5м/с
233797,2021-10-12,+17,762,ясно,-,ЮЗ 2м/с,+1,763,ясно,-,ЮЗ 2м/с
233797,2021-10-13,+19,758,ясно,-,Ю 4м/с,+5,756,ясно,-,Ю 4м/с
233797,2021-10-14,+11,748,облачно,-,Ю 4м/с,+8,749,пасмурно,-,Ю 4м/с
233797,2021-10-15,+4,756,пасмурно,-,З 2м/с,-4,756,ясно,-,З 2м/с
233797,2021-10-16,+2,751,пасмурно,снег,З 3м/с,-2,751,малооблачно,-,З 3м/с
233797,2021-10-17,+1,752,пасмурно,-,З 4м/с,-1,755,ясно,-,З 4м/с
233797,2021-10-18,+2,756,облачно,-,З 2м/с,-2,756,пасмурно,-,З 2м/с
233797,2021-10-19,+2,757,ясно,-,З 2м/с,-8,758,ясно,-,З 2м/с
233797,2021-10-20,+4,754,ясно,-,СЗ 2м/с,-7,755,ясно,-,СЗ 2м/с
233797,2021-10-21,+6,754,малооблачно,-,З 3м/с,-5,755,малооблачно,-,З 3м/с
233797,2021-10-24,+14,755,ясно,-,ЮЗ 4м/с,-2,755,ясно,-,ЮЗ 4м/с
233797,2021-10-25,+16,753,ясно,-,З 2м/с,-1,755,ясно,-,З 2м/с
233797,2021-10-26,+16,750,ясно,-,Ю 4м/с,+5,749,ясно,-,Ю 4м/с
233797,2021-10-27,+10,747,облачно,-,ЮВ 3м/с,+2,749,ясно,-,ЮВ 3м/с
233797,2021-10-28,+6,756,пасмурно,-,З 1м/с,-2,759,ясно,-,З 1м/с
233797,2021-10-29,+11,759,ясно,-,Ю 2м/с,-2,759,ясно,-,Ю 2м/с
233797,2021-10-30,+13,757,ясно,-,Ю 1м/с,+1,758,ясно,-,Ю 1м/с
233797,2021-10-31,+7,760,ясно,-,С 3м/с,-4,761,ясно,-,С 3м/с
