id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233924,2016-04-01,-2,770,пасмурно,снег,ЮВ 5м/с,-2,770,пасмурно,-,ЮВ 5м/с
233924,2016-04-02,-3,764,пасмурно,снег,ЮВ 7м/с,-3,762,пасмурно,снег,ЮВ 7м/с
233924,2016-04-03,-2,757,пасмурно,снег,В 7м/с,-2,754,пасмурно,снег,В 7м/с
233924,2016-04-04,-1,743,пасмурно,снег,С 6м/с,-2,742,пасмурно,снег,С 6м/с
233924,2016-04-05,-1,743,малооблачно,-,ЮЗ 1м/с,-2,744,облачно,снег,ЮЗ 1м/с
233924,2016-04-06,0,748,малооблачно,-,Ю 2м/с,-4,751,малооблачно,-,Ю 2м/с
233924,2016-04-07,-1,760,ясно,-,Ю 1м/с,-5,760,ясно,-,Ю 1м/с
233924,2016-04-08,+3,761,ясно,-,Ю 1м/с,-1,761,ясно,-,Ю 1м/с
233924,2016-04-09,+2,761,ясно,-,СЗ 2м/с,-1,761,ясно,-,СЗ 2м/с
233924,2016-04-10,-2,760,ясно,-,ЮВ 2м/с,-2,759,ясно,-,ЮВ 2м/с
233924,2016-04-11,0,758,малооблачно,-,Ю 2м/с,-3,757,ясно,-,Ю 2м/с
233924,2016-04-12,-2,757,малооблачно,-,ЮВ 5м/с,-4,757,ясно,-,ЮВ 5м/с
233924,2016-04-13,-6,760,пасмурно,-,Ю 3м/с,-7,760,пасмурно,-,Ю 3м/с
233924,2016-04-14,-5,764,пасмурно,снег,ЮВ 2м/с,-5,764,пасмурно,снег,ЮВ 2м/с
233924,2016-04-15,-4,765,пасмурно,снег,ЮВ 2м/с,-5,765,пасмурно,снег,ЮВ 2м/с
233924,2016-04-16,-4,761,малооблачно,-,Ю 2м/с,-6,760,ясно,-,Ю 2м/с
233924,2016-04-17,-5,758,пасмурно,-,Ю 2м/с,-6,758,пасмурно,-,Ю 2м/с
233924,2016-04-18,-4,759,ясно,-,ЮЗ 3м/с,-5,758,малооблачно,-,ЮЗ 3м/с
233924,2016-04-19,+1,758,ясно,-,СЗ 3м/с,-2,756,малооблачно,-,СЗ 3м/с
233924,2016-04-20,0,757,ясно,-,Ю 2м/с,-2,758,малооблачно,-,Ю 2м/с
233924,2016-04-21,0,761,ясно,-,Ю 2м/с,-2,762,ясно,-,Ю 2м/с
233924,2016-04-22,+1,764,ясно,-,ЮЗ 3м/с,-1,764,ясно,-,ЮЗ 3м/с
233924,2016-04-23,+2,765,малооблачно,-,Ю 2м/с,0,765,малооблачно,-,Ю 2м/с
233924,2016-04-24,+4,767,ясно,-,Ю 1м/с,+1,767,ясно,-,Ю 1м/с
233924,2016-04-25,+4,768,ясно,-,ЮЗ 2м/с,+1,767,ясно,-,ЮЗ 2м/с
233924,2016-04-26,0,758,малооблачно,-,ЮВ 3м/с,+2,758,малооблачно,-,ЮВ 3м/с
233924,2016-04-27,+1,760,облачно,-,Ю 2м/с,-1,761,малооблачно,-,Ю 2м/с
233924,2016-04-28,+3,763,малооблачно,-,Ю 3м/с,0,763,ясно,-,Ю 3м/с
233924,2016-04-29,0,765,ясно,-,Ю 2м/с,-1,765,ясно,-,Ю 2м/с
233924,2016-04-30,-2,764,пасмурно,-,ЮЗ 2м/с,-3,761,пасмурно,-,ЮЗ 2м/с
