id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233740,2018-10-01,+6,721,пасмурно,-,С 3м/с,+3,720,малооблачно,-,С 3м/с
233740,2018-10-02,+6,720,облачно,-,С 3м/с,+5,722,пасмурно,-,С 3м/с
233740,2018-10-03,+7,728,облачно,-,С 2м/с,+3,729,малооблачно,-,С 2м/с
233740,2018-10-04,+7,731,облачно,-,СВ 1м/с,+5,734,пасмурно,-,СВ 1м/с
233740,2018-10-05,+7,737,пасмурно,-,С 2м/с,+4,738,малооблачно,-,С 2м/с
233740,2018-10-06,+6,736,малооблачно,-,СВ 2м/с,0,736,ясно,-,СВ 2м/с
233740,2018-10-07,0,735,пасмурно,снег,С 2м/с,0,735,пасмурно,-,С 2м/с
233740,2018-10-08,+2,734,малооблачно,-,С 2м/с,-2,734,ясно,-,С 2м/с
233740,2018-10-09,-1,734,пасмурно,-,С 1м/с,-2,733,пасмурно,-,С 1м/с
233740,2018-10-10,+1,728,облачно,-,ЮЗ 2м/с,-1,728,пасмурно,-,ЮЗ 2м/с
233740,2018-10-11,+1,731,пасмурно,-,З 1м/с,-2,731,пасмурно,-,З 1м/с
233740,2018-10-12,+4,730,пасмурно,-,ЮЗ 1м/с,+1,730,пасмурно,-,ЮЗ 1м/с
233740,2018-10-13,+4,731,облачно,-,С 2м/с,+2,733,ясно,-,С 2м/с
233740,2018-10-14,0,738,пасмурно,-,С 3м/с,-1,740,пасмурно,-,С 3м/с
233740,2018-10-15,-3,742,малооблачно,-,С 3м/с,-4,742,пасмурно,снег,С 3м/с
233740,2018-10-16,-5,738,пасмурно,-,С 2м/с,-6,738,пасмурно,-,С 2м/с
233740,2018-10-17,-1,737,малооблачно,-,Ю 2м/с,-8,736,ясно,-,Ю 2м/с
233740,2018-10-18,-2,733,пасмурно,-,Ю 1м/с,-2,733,облачно,-,Ю 1м/с
233740,2018-10-19,-1,733,малооблачно,-,С 2м/с,-5,732,малооблачно,-,С 2м/с
233740,2018-10-20,-2,734,малооблачно,-,С 2м/с,-3,735,пасмурно,-,С 2м/с
233740,2018-10-21,-1,736,пасмурно,-,С 1м/с,-3,737,пасмурно,-,С 1м/с
233740,2018-10-22,-1,734,ясно,-,Ш,-5,735,малооблачно,-,Ш
233740,2018-10-23,-4,732,ясно,-,С 1м/с,-6,731,ясно,-,С 1м/с
233740,2018-10-24,+1,726,пасмурно,-,СЗ 1м/с,+2,726,облачно,-,СЗ 1м/с
233740,2018-10-25,-5,730,пасмурно,снег,С 2м/с,-6,731,пасмурно,снег,С 2м/с
233740,2018-10-26,-6,734,пасмурно,-,С 2м/с,-7,734,пасмурно,-,С 2м/с
233740,2018-10-27,-6,731,малооблачно,-,СВ 3м/с,-10,731,малооблачно,-,СВ 3м/с
233740,2018-10-28,-2,733,пасмурно,-,СВ 3м/с,-3,735,малооблачно,-,СВ 3м/с
233740,2018-10-29,-2,737,ясно,-,Ю 2м/с,-10,737,пасмурно,-,Ю 2м/с
233740,2018-10-30,-1,732,пасмурно,-,Ш,-3,733,пасмурно,-,Ш
233740,2018-10-31,-2,732,пасмурно,-,С 1м/с,-3,731,пасмурно,-,С 1м/с
