id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233908,2016-07-01,+16,755,ясно,-,ЮВ 5м/с,+14,756,ясно,-,ЮВ 5м/с
233908,2016-07-02,+18,757,пасмурно,-,С 1м/с,+13,758,пасмурно,-,С 1м/с
233908,2016-07-03,+18,760,пасмурно,-,СВ 2м/с,+15,761,малооблачно,-,СВ 2м/с
233908,2016-07-04,+22,762,облачно,-,Ю 4м/с,+16,762,ясно,-,Ю 4м/с
233908,2016-07-05,+17,758,ясно,-,Ю 6м/с,+14,758,ясно,-,Ю 6м/с
233908,2016-07-06,+17,753,ясно,-,Ю 7м/с,+14,753,пасмурно,-,Ю 7м/с
233908,2016-07-07,+15,750,пасмурно,-,ЮЗ 2м/с,+15,752,пасмурно,-,ЮЗ 2м/с
233908,2016-07-08,+17,754,пасмурно,-,С 8м/с,+15,755,пасмурно,-,С 8м/с
233908,2016-07-09,+22,754,ясно,-,С 2м/с,+17,755,пасмурно,-,С 2м/с
233908,2016-07-10,+15,754,облачно,-,В 1м/с,+14,753,малооблачно,-,В 1м/с
233908,2016-07-11,+17,750,пасмурно,-,Ю 5м/с,+15,749,пасмурно,-,Ю 5м/с
233908,2016-07-12,+17,748,пасмурно,-,Ю 6м/с,+15,751,пасмурно,-,Ю 6м/с
233908,2016-07-13,+18,752,пасмурно,-,Ю 3м/с,+16,754,пасмурно,-,Ю 3м/с
233908,2016-07-14,+15,757,пасмурно,-,С 4м/с,+13,759,пасмурно,-,С 4м/с
233908,2016-07-15,+17,758,пасмурно,-,С 3м/с,+14,758,пасмурно,-,С 3м/с
233908,2016-07-16,+16,757,пасмурно,-,В 1м/с,+15,758,пасмурно,-,В 1м/с
233908,2016-07-17,+17,758,пасмурно,-,С 4м/с,+17,758,пасмурно,-,С 4м/с
233908,2016-07-18,+21,757,пасмурно,-,ЮВ 2м/с,+14,758,ясно,-,ЮВ 2м/с
233908,2016-07-19,+24,758,малооблачно,-,В 3м/с,+15,759,ясно,-,В 3м/с
233908,2016-07-20,+26,759,малооблачно,-,Ю 4м/с,+19,760,ясно,-,Ю 4м/с
233908,2016-07-21,+21,758,ясно,-,Ю 6м/с,+18,757,ясно,-,Ю 6м/с
233908,2016-07-22,+19,758,пасмурно,-,Ю 2м/с,+18,759,пасмурно,-,Ю 2м/с
233908,2016-07-23,+20,758,ясно,-,Ю 6м/с,+17,759,ясно,-,Ю 6м/с
233908,2016-07-24,+20,758,облачно,-,Ю 7м/с,+17,758,малооблачно,-,Ю 7м/с
233908,2016-07-25,+20,758,пасмурно,-,Ю 6м/с,+18,758,пасмурно,-,Ю 6м/с
233908,2016-07-26,+24,757,ясно,-,Ю 5м/с,+17,758,пасмурно,-,Ю 5м/с
233908,2016-07-27,+21,757,ясно,-,Ю 6м/с,+17,758,облачно,-,Ю 6м/с
233908,2016-07-28,+24,755,ясно,-,Ю 4м/с,+18,755,ясно,-,Ю 4м/с
233908,2016-07-29,+21,755,ясно,-,Ю 5м/с,+17,756,пасмурно,-,Ю 5м/с
233908,2016-07-30,+21,756,облачно,-,ЮВ 2м/с,+19,757,пасмурно,-,ЮВ 2м/с
233908,2016-07-31,+18,758,пасмурно,-,С 5м/с,+17,759,пасмурно,-,С 5м/с
