id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233861,2017-08-01,+28,752,малооблачно,-,СВ 2м/с,+21,752,ясно,-,СВ 2м/с
233861,2017-08-02,+30,751,ясно,-,СВ 1м/с,+23,751,ясно,-,СВ 1м/с
233861,2017-08-03,+29,751,ясно,-,С 2м/с,+20,752,ясно,-,С 2м/с
233861,2017-08-04,+27,749,ясно,-,С 3м/с,+18,749,малооблачно,-,С 3м/с
233861,2017-08-05,+22,748,пасмурно,-,В 2м/с,+18,749,пасмурно,-,В 2м/с
233861,2017-08-06,+23,750,малооблачно,-,СВ 2м/с,+19,751,пасмурно,-,СВ 2м/с
233861,2017-08-07,+23,750,пасмурно,-,В 3м/с,+18,751,облачно,-,В 3м/с
233861,2017-08-08,+22,750,облачно,-,С 2м/с,+19,750,малооблачно,-,С 2м/с
233861,2017-08-09,+22,751,облачно,-,СВ 1м/с,+18,752,облачно,-,СВ 1м/с
233861,2017-08-10,+25,753,малооблачно,-,С 2м/с,+21,754,малооблачно,-,С 2м/с
233861,2017-08-11,+25,755,малооблачно,-,С 1м/с,+20,756,ясно,-,С 1м/с
233861,2017-08-12,+27,755,ясно,-,С 2м/с,+17,755,ясно,-,С 2м/с
233861,2017-08-13,+27,754,ясно,-,СВ 1м/с,+19,754,ясно,-,СВ 1м/с
233861,2017-08-14,+28,752,малооблачно,-,С 1м/с,+24,752,ясно,-,С 1м/с
233861,2017-08-15,+21,755,пасмурно,-,В 1м/с,+16,757,пасмурно,-,В 1м/с
233861,2017-08-16,+16,758,пасмурно,-,СВ 2м/с,+15,758,пасмурно,-,СВ 2м/с
233861,2017-08-17,+20,756,малооблачно,-,СВ 2м/с,+16,756,пасмурно,-,СВ 2м/с
233861,2017-08-18,+21,755,малооблачно,-,С 2м/с,+16,755,пасмурно,-,С 2м/с
233861,2017-08-19,+20,753,малооблачно,-,СЗ 1м/с,+19,753,пасмурно,-,СЗ 1м/с
233861,2017-08-20,+27,749,малооблачно,-,З 3м/с,+17,752,пасмурно,-,З 3м/с
233861,2017-08-21,+24,751,ясно,-,С 1м/с,+18,750,ясно,-,С 1м/с
233861,2017-08-22,+23,747,облачно,-,СВ 1м/с,+19,746,пасмурно,-,СВ 1м/с
233861,2017-08-23,+15,748,пасмурно,-,С 1м/с,+14,749,пасмурно,-,С 1м/с
233861,2017-08-24,+19,747,малооблачно,-,СВ 2м/с,+13,746,малооблачно,-,СВ 2м/с
233861,2017-08-25,+14,742,пасмурно,-,СВ 2м/с,+14,743,пасмурно,-,СВ 2м/с
233861,2017-08-26,+20,743,малооблачно,-,З 2м/с,+16,745,пасмурно,-,З 2м/с
233861,2017-08-27,+22,749,малооблачно,-,З 4м/с,+16,751,малооблачно,-,З 4м/с
233861,2017-08-28,+23,749,малооблачно,-,СВ 2м/с,+17,746,пасмурно,-,СВ 2м/с
233861,2017-08-29,+8,744,пасмурно,-,ЮЗ 2м/с,+6,746,малооблачно,-,ЮЗ 2м/с
233861,2017-08-30,+13,744,пасмурно,-,З 2м/с,+9,746,пасмурно,-,З 2м/с
233861,2017-08-31,+14,749,облачно,-,ЮЗ 3м/с,+10,752,ясно,-,ЮЗ 3м/с
