id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233926,2016-03-01,-13,764,малооблачно,-,С 1м/с,-17,763,малооблачно,-,С 1м/с
233926,2016-03-02,-17,763,ясно,-,С 3м/с,-16,763,ясно,-,С 3м/с
233926,2016-03-03,-15,764,ясно,-,С 5м/с,-15,764,ясно,-,С 5м/с
233926,2016-03-04,-11,767,ясно,-,С 4м/с,-13,767,ясно,-,С 4м/с
233926,2016-03-05,-9,770,ясно,-,С 3м/с,-10,770,ясно,-,С 3м/с
233926,2016-03-06,-12,771,ясно,-,С 3м/с,-12,770,малооблачно,-,С 3м/с
233926,2016-03-07,-11,764,малооблачно,снег,СЗ 3м/с,-12,761,малооблачно,-,СЗ 3м/с
233926,2016-03-08,-12,755,малооблачно,-,С 3м/с,-10,754,ясно,-,С 3м/с
233926,2016-03-09,-10,755,малооблачно,-,СЗ 2м/с,-11,754,облачно,-,СЗ 2м/с
233926,2016-03-10,-11,754,ясно,-,СЗ 2м/с,-11,755,малооблачно,-,СЗ 2м/с
233926,2016-03-11,-13,755,ясно,-,С 2м/с,-12,756,ясно,-,С 2м/с
233926,2016-03-12,-13,759,ясно,-,С 2м/с,-12,761,ясно,-,С 2м/с
233926,2016-03-13,-13,764,малооблачно,-,С 2м/с,-11,764,ясно,-,С 2м/с
233926,2016-03-14,-11,764,малооблачно,-,В 3м/с,-12,763,пасмурно,-,В 3м/с
233926,2016-03-15,-6,755,пасмурно,снег,В 8м/с,-8,756,пасмурно,снег,В 8м/с
233926,2016-03-16,-7,758,пасмурно,снег,В 4м/с,-7,755,пасмурно,снег,В 4м/с
233926,2016-03-17,-5,755,малооблачно,-,СЗ 3м/с,-5,756,малооблачно,-,СЗ 3м/с
233926,2016-03-18,-5,760,ясно,-,С 3м/с,-7,761,ясно,-,С 3м/с
233926,2016-03-19,-4,764,малооблачно,-,СЗ 3м/с,-3,764,пасмурно,-,СЗ 3м/с
233926,2016-03-20,-1,765,малооблачно,-,СЗ 3м/с,-3,764,малооблачно,-,СЗ 3м/с
233926,2016-03-21,-2,761,малооблачно,-,С 4м/с,-1,762,облачно,-,С 4м/с
233926,2016-03-22,+1,765,малооблачно,-,СЗ 5м/с,-1,765,малооблачно,-,СЗ 5м/с
233926,2016-03-23,0,767,ясно,-,СЗ 3м/с,0,767,ясно,-,СЗ 3м/с
233926,2016-03-24,-1,764,ясно,-,ЮВ 2м/с,-2,764,ясно,-,ЮВ 2м/с
233926,2016-03-25,-1,764,ясно,-,ЮВ 2м/с,-3,763,ясно,-,ЮВ 2м/с
233926,2016-03-26,-5,760,пасмурно,-,Ш,-5,760,пасмурно,-,Ш
233926,2016-03-27,-2,761,малооблачно,-,С 2м/с,-4,761,малооблачно,-,С 2м/с
233926,2016-03-28,-4,763,пасмурно,снег,Ш,-7,763,пасмурно,-,Ш
233926,2016-03-29,-6,765,малооблачно,-,Ю 2м/с,-7,765,малооблачно,-,Ю 2м/с
233926,2016-03-30,-6,768,облачно,снег,ЮВ 6м/с,-6,768,пасмурно,-,ЮВ 6м/с
233926,2016-03-31,-2,769,пасмурно,снег,В 9м/с,-3,769,пасмурно,снег,В 9м/с
