id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233927,2018-04-01,-4,759,ясно,-,С 5м/с,-3,759,ясно,-,С 5м/с
233927,2018-04-02,0,759,малооблачно,-,С 3м/с,-1,758,пасмурно,снег,С 3м/с
233927,2018-04-03,-3,758,пасмурно,-,В 9м/с,-3,757,пасмурно,-,В 9м/с
233927,2018-04-04,0,752,пасмурно,снег,В 4м/с,0,755,пасмурно,снег,В 4м/с
233927,2018-04-05,0,756,облачно,снег,ЮВ 4м/с,+1,757,пасмурно,снег,ЮВ 4м/с
233927,2018-04-06,+1,759,пасмурно,-,ЮЗ 2м/с,-1,758,облачно,-,ЮЗ 2м/с
233927,2018-04-07,0,757,ясно,-,Ю 2м/с,-2,755,малооблачно,-,Ю 2м/с
233927,2018-04-08,-3,752,облачно,снег,ЮЗ 2м/с,-4,752,облачно,-,ЮЗ 2м/с
233927,2018-04-09,-2,752,ясно,-,ЮЗ 2м/с,-4,754,малооблачно,-,ЮЗ 2м/с
233927,2018-04-10,-2,759,ясно,-,Ю 2м/с,-5,760,ясно,-,Ю 2м/с
233927,2018-04-11,+1,761,ясно,-,СВ 2м/с,-3,761,ясно,-,СВ 2м/с
233927,2018-04-12,-3,764,ясно,-,Ю 3м/с,-4,763,малооблачно,-,Ю 3м/с
233927,2018-04-13,-4,759,пасмурно,снег,Ю 2м/с,-5,760,пасмурно,-,Ю 2м/с
233927,2018-04-14,-2,760,малооблачно,-,Ю 4м/с,-3,760,малооблачно,-,Ю 4м/с
233927,2018-04-15,-5,757,пасмурно,-,Ю 2м/с,-5,755,пасмурно,-,Ю 2м/с
233927,2018-04-16,-4,751,малооблачно,-,ЮЗ 5м/с,-4,749,пасмурно,-,ЮЗ 5м/с
233927,2018-04-17,-5,747,пасмурно,-,Ю 3м/с,-6,746,-,-,Ю 3м/с
233927,2018-04-18,-5,750,пасмурно,-,Ю 2м/с,-5,752,пасмурно,-,Ю 2м/с
233927,2018-04-19,-4,755,пасмурно,-,Ю 3м/с,-5,756,пасмурно,-,Ю 3м/с
233927,2018-04-20,-4,758,пасмурно,-,Ю 3м/с,-5,758,пасмурно,-,Ю 3м/с
233927,2018-04-21,-4,760,пасмурно,-,ЮЗ 3м/с,-4,760,пасмурно,-,ЮЗ 3м/с
233927,2018-04-22,0,758,облачно,-,З 4м/с,0,758,малооблачно,-,З 4м/с
233927,2018-04-23,+6,761,ясно,-,СЗ 3м/с,+1,762,малооблачно,-,СЗ 3м/с
233927,2018-04-24,0,758,ясно,-,Ю 4м/с,-1,755,малооблачно,-,Ю 4м/с
233927,2018-04-25,+1,750,облачно,-,ЮЗ 3м/с,-,-,-,-,-
233927,2018-04-26,+3,752,ясно,-,С 4м/с,+1,752,ясно,-,С 4м/с
233927,2018-04-27,+2,750,малооблачно,-,Ю 4м/с,+1,749,малооблачно,-,Ю 4м/с
233927,2018-04-28,+2,746,ясно,-,Ю 4м/с,+1,746,малооблачно,-,Ю 4м/с
233927,2018-04-29,+3,746,малооблачно,-,ЮЗ 2м/с,0,748,малооблачно,-,ЮЗ 2м/с
233927,2018-04-30,+2,755,малооблачно,-,Ю 3м/с,+1,757,малооблачно,-,Ю 3м/с
