id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233863,2018-10-01,+11,744,пасмурно,-,Ш,+1,745,ясно,-,Ш
233863,2018-10-02,+15,743,ясно,-,З 4м/с,+11,746,пасмурно,-,З 4м/с
233863,2018-10-03,+14,751,малооблачно,-,З 5м/с,+10,754,малооблачно,-,З 5м/с
233863,2018-10-04,+18,759,ясно,-,З 5м/с,+13,760,ясно,-,З 5м/с
233863,2018-10-05,+23,757,ясно,-,З 3м/с,+16,758,ясно,-,З 3м/с
233863,2018-10-06,+16,757,ясно,-,СВ 2м/с,+8,756,малооблачно,-,СВ 2м/с
233863,2018-10-07,+12,752,облачно,-,СВ 2м/с,+9,754,пасмурно,-,СВ 2м/с
233863,2018-10-08,+10,752,пасмурно,-,ЮВ 1м/с,+6,752,малооблачно,-,ЮВ 1м/с
233863,2018-10-09,+9,751,облачно,-,З 3м/с,+4,752,малооблачно,-,З 3м/с
233863,2018-10-10,+10,755,пасмурно,-,З 4м/с,+6,756,облачно,-,З 4м/с
233863,2018-10-11,+11,755,облачно,-,ЮЗ 1м/с,+5,756,ясно,-,ЮЗ 1м/с
233863,2018-10-12,+13,755,малооблачно,-,З 2м/с,+6,755,ясно,-,З 2м/с
233863,2018-10-13,+15,756,ясно,-,З 5м/с,+6,755,ясно,-,З 5м/с
233863,2018-10-14,+17,753,ясно,-,З 4м/с,+10,755,пасмурно,-,З 4м/с
233863,2018-10-15,+7,755,пасмурно,-,СВ 4м/с,+6,754,пасмурно,-,СВ 4м/с
233863,2018-10-16,+4,752,пасмурно,-,С 5м/с,+4,754,облачно,-,С 5м/с
233863,2018-10-17,+1,752,пасмурно,снег,З 4м/с,0,752,пасмурно,снег,З 4м/с
233863,2018-10-18,+8,755,ясно,-,ЮЗ 5м/с,+5,755,ясно,-,ЮЗ 5м/с
233863,2018-10-19,+5,756,малооблачно,-,ЮЗ 3м/с,+3,757,малооблачно,-,ЮЗ 3м/с
233863,2018-10-20,+7,755,малооблачно,-,СЗ 4м/с,+3,758,ясно,-,СЗ 4м/с
233863,2018-10-21,+8,760,облачно,-,З 3м/с,+2,761,малооблачно,-,З 3м/с
233863,2018-10-22,+10,760,ясно,-,З 2м/с,+2,760,ясно,-,З 2м/с
233863,2018-10-23,+11,756,малооблачно,-,СВ 1м/с,+4,756,ясно,-,СВ 1м/с
233863,2018-10-24,+3,749,облачно,-,ЮВ 1м/с,+5,747,пасмурно,-,ЮВ 1м/с
233863,2018-10-25,+7,750,малооблачно,-,З 7м/с,+5,752,малооблачно,-,З 7м/с
233863,2018-10-26,+9,755,ясно,-,СЗ 2м/с,+2,754,ясно,-,СЗ 2м/с
233863,2018-10-27,+10,744,пасмурно,-,В 5м/с,+8,740,пасмурно,-,В 5м/с
233863,2018-10-28,+5,746,ясно,-,З 5м/с,0,749,ясно,-,З 5м/с
233863,2018-10-29,+6,751,ясно,-,СВ 1м/с,-1,755,облачно,-,СВ 1м/с
233863,2018-10-30,+2,750,малооблачно,-,ЮЗ 2м/с,+1,752,малооблачно,-,ЮЗ 2м/с
233863,2018-10-31,+4,753,малооблачно,-,ЮЗ 3м/с,+3,754,малооблачно,-,ЮЗ 3м/с
