id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233909,2020-08-01,+14,759,пасмурно,-,В 13м/с,-,-,-,-,-
233909,2020-08-02,+13,757,пасмурно,-,СВ 6м/с,+12,761,пасмурно,-,СВ 6м/с
233909,2020-08-03,+14,764,пасмурно,-,СВ 8м/с,+14,764,малооблачно,-,СВ 8м/с
233909,2020-08-04,+17,763,ясно,-,ЮВ 5м/с,+13,764,пасмурно,-,ЮВ 5м/с
233909,2020-08-05,+16,764,ясно,-,СВ 4м/с,+13,765,ясно,-,СВ 4м/с
233909,2020-08-06,+15,764,ясно,-,С 4м/с,+13,764,пасмурно,-,С 4м/с
233909,2020-08-07,+15,761,ясно,-,СВ 6м/с,+13,759,ясно,-,СВ 6м/с
233909,2020-08-09,+20,754,ясно,-,Ю 9м/с,+17,755,облачно,-,Ю 9м/с
233909,2020-08-10,+18,753,пасмурно,-,Ю 12м/с,+18,752,пасмурно,-,Ю 12м/с
233909,2020-08-11,+20,749,пасмурно,-,С 8м/с,+14,751,пасмурно,-,С 8м/с
233909,2020-08-12,+16,752,ясно,-,С 3м/с,+14,753,пасмурно,-,С 3м/с
233909,2020-08-13,+18,755,ясно,-,С 5м/с,+14,756,ясно,-,С 5м/с
233909,2020-08-14,+20,753,пасмурно,-,Ю 11м/с,+18,754,пасмурно,-,Ю 11м/с
233909,2020-08-15,+22,752,малооблачно,-,Ю 8м/с,+14,755,пасмурно,-,Ю 8м/с
233909,2020-08-16,+17,755,малооблачно,-,В 7м/с,+13,756,пасмурно,-,В 7м/с
233909,2020-08-17,+14,758,малооблачно,-,С 4м/с,+13,759,пасмурно,-,С 4м/с
233909,2020-08-18,+15,754,пасмурно,-,В 7м/с,+14,749,пасмурно,-,В 7м/с
233909,2020-08-19,+12,749,пасмурно,-,СЗ 8м/с,+11,749,малооблачно,-,СЗ 8м/с
233909,2020-08-20,+16,752,пасмурно,-,З 8м/с,+16,752,ясно,-,З 8м/с
233909,2020-08-21,+17,753,ясно,-,С 6м/с,+11,755,ясно,-,С 6м/с
233909,2020-08-22,+19,753,малооблачно,-,Ю 6м/с,+16,753,пасмурно,-,Ю 6м/с
233909,2020-08-23,+16,755,малооблачно,-,СЗ 6м/с,+10,757,пасмурно,-,СЗ 6м/с
233909,2020-08-24,+18,759,ясно,-,Ю 5м/с,+15,760,пасмурно,-,Ю 5м/с
233909,2020-08-25,+15,754,пасмурно,-,В 9м/с,+14,752,пасмурно,-,В 9м/с
233909,2020-08-26,+15,755,пасмурно,-,СЗ 9м/с,+13,758,пасмурно,-,СЗ 9м/с
233909,2020-08-27,+15,759,пасмурно,-,ЮВ 4м/с,+14,760,пасмурно,-,ЮВ 4м/с
233909,2020-08-28,+13,762,пасмурно,-,С 6м/с,+12,764,пасмурно,-,С 6м/с
233909,2020-08-29,+15,766,ясно,-,С 8м/с,+13,768,ясно,-,С 8м/с
233909,2020-08-30,+15,768,ясно,-,В 2м/с,+14,768,ясно,-,В 2м/с
233909,2020-08-31,+17,762,ясно,-,С 13м/с,+16,761,пасмурно,-,С 13м/с
