id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233910,2016-03-01,-13,755,малооблачно,-,1м/с,-21,756,-,-,1м/с
233910,2016-03-07,-5,749,пасмурно,снег,З 6м/с,-10,751,облачно,снег,З 6м/с
233910,2016-03-08,-7,751,пасмурно,-,С 3м/с,-17,752,малооблачно,-,С 3м/с
233910,2016-03-09,-8,751,малооблачно,-,З 5м/с,-17,752,малооблачно,-,З 5м/с
233910,2016-03-10,-7,751,малооблачно,-,З 7м/с,-17,752,-,-,З 7м/с
233910,2016-03-11,-6,750,малооблачно,-,З 5м/с,-16,752,-,-,З 5м/с
233910,2016-03-14,-7,749,пасмурно,снег,З 6м/с,-15,752,-,-,З 6м/с
233910,2016-03-15,-8,751,малооблачно,-,З 5м/с,-17,752,-,-,З 5м/с
233910,2016-03-20,-4,755,пасмурно,снег,С 5м/с,-5,755,пасмурно,снег,С 5м/с
233910,2016-03-21,-3,751,облачно,-,С 7м/с,-5,749,-,снег,С 7м/с
233910,2016-03-23,0,760,пасмурно,снег,СВ 3м/с,-3,762,пасмурно,снег,СВ 3м/с
233910,2016-03-27,-3,755,пасмурно,-,СВ 3м/с,-6,756,пасмурно,-,СВ 3м/с
233910,2016-03-28,-1,755,облачно,-,В 5м/с,-6,757,-,-,В 5м/с
233910,2016-03-29,0,755,малооблачно,-,В 5м/с,-2,755,пасмурно,-,В 5м/с
233910,2016-03-30,-1,752,пасмурно,-,ЮВ 7м/с,-1,754,-,-,ЮВ 7м/с
233910,2016-03-31,+1,758,малооблачно,-,В 9м/с,-2,761,-,-,В 9м/с
