id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233911,2021-03-01,-14,759,малооблачно,-,З 5м/с,-24,761,ясно,-,З 5м/с
233911,2021-03-02,-16,762,малооблачно,-,З 3м/с,-28,763,ясно,-,З 3м/с
233911,2021-03-03,-15,759,ясно,-,З 5м/с,-23,758,ясно,-,З 5м/с
233911,2021-03-04,-13,754,пасмурно,снег,ЮЗ 2м/с,-15,756,пасмурно,-,ЮЗ 2м/с
233911,2021-03-05,-17,757,пасмурно,снег,СВ 2м/с,-26,760,малооблачно,-,СВ 2м/с
233911,2021-03-06,-17,758,пасмурно,-,З 5м/с,-18,758,малооблачно,-,З 5м/с
233911,2021-03-07,-11,757,ясно,-,З 5м/с,-20,757,ясно,-,З 5м/с
233911,2021-03-08,-7,755,ясно,-,З 2м/с,-12,754,малооблачно,-,З 2м/с
233911,2021-03-09,-8,751,пасмурно,снег,ЮЗ 2м/с,-8,755,пасмурно,снег,ЮЗ 2м/с
233911,2021-03-10,-3,758,малооблачно,-,ЮЗ 2м/с,-11,758,ясно,-,ЮЗ 2м/с
233911,2021-03-11,-2,757,пасмурно,-,З 7м/с,-11,760,малооблачно,-,З 7м/с
233911,2021-03-12,-1,757,ясно,-,З 5м/с,-7,754,ясно,-,З 5м/с
233911,2021-03-13,+4,750,пасмурно,-,ЮВ 1м/с,+1,752,пасмурно,-,ЮВ 1м/с
233911,2021-03-14,+9,750,пасмурно,-,З 3м/с,0,750,облачно,-,З 3м/с
233911,2021-03-15,+12,749,пасмурно,-,ЮВ 2м/с,+2,749,пасмурно,-,ЮВ 2м/с
233911,2021-03-16,-5,756,пасмурно,снег,СВ 4м/с,-8,758,пасмурно,-,СВ 4м/с
233911,2021-03-17,-5,760,пасмурно,-,С 6м/с,-9,761,пасмурно,-,С 6м/с
233911,2021-03-18,-3,761,пасмурно,-,С 5м/с,-8,761,пасмурно,-,С 5м/с
233911,2021-03-19,-2,763,малооблачно,-,СЗ 6м/с,-10,764,ясно,-,СЗ 6м/с
233911,2021-03-20,0,762,ясно,-,ЮЗ 2м/с,-8,761,ясно,-,ЮЗ 2м/с
233911,2021-03-21,-1,755,малооблачно,-,ЮВ 7м/с,-3,754,пасмурно,-,ЮВ 7м/с
233911,2021-03-22,-4,742,пасмурно,снег,С 6м/с,-6,741,пасмурно,снег,С 6м/с
233911,2021-03-23,+1,739,пасмурно,-,З 3м/с,-12,746,пасмурно,-,З 3м/с
233911,2021-03-24,-4,750,ясно,-,СЗ 8м/с,-12,753,ясно,-,СЗ 8м/с
233911,2021-03-25,-1,759,ясно,-,З 3м/с,-8,761,ясно,-,З 3м/с
233911,2021-03-26,-3,762,ясно,-,ЮВ 4м/с,-10,764,ясно,-,ЮВ 4м/с
233911,2021-03-27,-2,757,ясно,-,В 6м/с,-6,757,пасмурно,-,В 6м/с
233911,2021-03-28,+1,755,малооблачно,-,В 5м/с,-3,755,ясно,-,В 5м/с
233911,2021-03-29,+2,750,пасмурно,-,В 5м/с,0,748,пасмурно,снег,В 5м/с
233911,2021-03-30,+1,743,пасмурно,-,СЗ 5м/с,-2,746,пасмурно,-,СЗ 5м/с
233911,2021-03-31,0,757,пасмурно,снег,З 3м/с,-1,759,пасмурно,снег,З 3м/с
