id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
4835,2021-08-01,+18,755,малооблачно,-,З 4м/с,+18,754,ясно,-,З 4м/с
4835,2021-08-02,+17,764,ясно,-,ЮЗ 4м/с,+15,764,ясно,-,ЮЗ 4м/с
4835,2021-08-03,+16,764,малооблачно,-,ЮЗ 6м/с,+14,761,ясно,-,ЮЗ 6м/с
4835,2021-08-04,+15,757,малооблачно,-,З 6м/с,+15,755,ясно,-,З 6м/с
4835,2021-08-05,+15,758,пасмурно,-,Ю 2м/с,+14,758,пасмурно,-,Ю 2м/с
4835,2021-08-06,+17,758,ясно,-,ЮЗ 3м/с,+15,760,малооблачно,-,ЮЗ 3м/с
4835,2021-08-07,+17,768,малооблачно,-,З 5м/с,+16,767,ясно,-,З 5м/с
4835,2021-08-08,+18,766,ясно,-,З 4м/с,+17,764,ясно,-,З 4м/с
4835,2021-08-09,+16,764,ясно,-,ЮВ 8м/с,+15,765,ясно,-,ЮВ 8м/с
4835,2021-08-10,+16,766,ясно,-,ЮЗ 4м/с,+15,765,малооблачно,-,ЮЗ 4м/с
4835,2021-08-11,+15,761,малооблачно,-,ЮЗ 4м/с,+15,760,ясно,-,ЮЗ 4м/с
4835,2021-08-12,+17,758,ясно,-,ЮЗ 3м/с,+15,757,-,-,ЮЗ 3м/с
4835,2021-08-13,+14,759,пасмурно,-,ЮВ 5м/с,+14,758,пасмурно,-,ЮВ 5м/с
4835,2021-08-14,+15,758,пасмурно,-,Ю 2м/с,+14,758,пасмурно,-,Ю 2м/с
4835,2021-08-15,+15,758,пасмурно,-,С 1м/с,+14,758,пасмурно,-,С 1м/с
4835,2021-08-16,+15,758,пасмурно,-,Ю 2м/с,+14,756,пасмурно,-,Ю 2м/с
4835,2021-08-17,+15,753,пасмурно,-,Ю 2м/с,+14,752,пасмурно,-,Ю 2м/с
4835,2021-08-18,+18,755,малооблачно,-,ЮЗ 3м/с,+17,756,пасмурно,-,ЮЗ 3м/с
4835,2021-08-19,+16,758,пасмурно,-,ЮЗ 1м/с,+16,757,пасмурно,-,ЮЗ 1м/с
4835,2021-08-20,+17,759,пасмурно,-,ЮЗ 3м/с,+15,760,пасмурно,-,ЮЗ 3м/с
4835,2021-08-21,+15,762,пасмурно,-,ЮВ 4м/с,+16,762,пасмурно,-,ЮВ 4м/с
4835,2021-08-22,+17,761,пасмурно,-,ЮЗ 2м/с,+16,760,облачно,-,ЮЗ 2м/с
4835,2021-08-23,+16,758,пасмурно,-,ЮЗ 2м/с,+14,758,пасмурно,-,ЮЗ 2м/с
4835,2021-08-24,+16,759,пасмурно,-,ЮЗ 2м/с,+16,759,пасмурно,-,ЮЗ 2м/с
4835,2021-08-25,+16,760,пасмурно,-,ЮВ 5м/с,+16,759,пасмурно,-,ЮВ 5м/с
4835,2021-08-26,+16,756,пасмурно,-,ЮВ 3м/с,+16,755,пасмурно,-,ЮВ 3м/с
4835,2021-08-27,+20,752,облачно,-,СЗ 3м/с,+16,752,малооблачно,-,СЗ 3м/с
4835,2021-08-28,+18,752,малооблачно,-,Ю 3м/с,+16,752,ясно,-,Ю 3м/с
4835,2021-08-29,+20,754,малооблачно,-,СЗ 3м/с,+18,754,малооблачно,-,СЗ 3м/с
4835,2021-08-30,+17,755,ясно,-,Ю 4м/с,+16,755,облачно,-,Ю 4м/с
4835,2021-08-31,+17,755,малооблачно,-,Ю 5м/с,+16,755,малооблачно,-,Ю 5м/с
