id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233913,2021-08-01,+16,761,малооблачно,-,Ю 3м/с,+15,761,-,-,Ю 3м/с
233913,2021-08-02,+18,760,малооблачно,-,ЮВ 2м/с,+17,761,-,-,ЮВ 2м/с
233913,2021-08-04,+15,756,пасмурно,-,ЮВ 9м/с,+13,756,-,-,ЮВ 9м/с
233913,2021-08-05,+17,755,пасмурно,-,ЮВ 8м/с,+13,756,-,-,ЮВ 8м/с
233913,2021-08-06,+18,755,облачно,-,В 6м/с,+14,757,-,-,В 6м/с
233913,2021-08-07,+16,764,ясно,-,СВ 10м/с,+14,767,-,-,СВ 10м/с
233913,2021-08-08,+16,767,малооблачно,-,С 7м/с,+15,768,-,-,С 7м/с
233913,2021-08-09,+18,765,ясно,-,С 4м/с,+18,766,-,-,С 4м/с
233913,2021-08-10,+18,766,ясно,-,С 5м/с,+17,766,-,-,С 5м/с
233913,2021-08-11,+18,764,ясно,-,С 3м/с,+17,763,-,-,С 3м/с
233913,2021-08-12,+20,761,ясно,-,Ю 7м/с,+17,761,-,-,Ю 7м/с
233913,2021-08-13,+21,760,ясно,-,Ю 8м/с,+19,760,-,-,Ю 8м/с
233913,2021-08-14,+20,760,ясно,-,Ю 9м/с,+19,760,-,-,Ю 9м/с
233913,2021-08-15,+20,760,ясно,-,Ю 10м/с,+18,760,-,-,Ю 10м/с
233913,2021-08-16,+20,759,ясно,-,Ю 11м/с,+19,760,-,-,Ю 11м/с
233913,2021-08-17,+20,757,ясно,-,Ю 11м/с,+19,757,-,-,Ю 11м/с
233913,2021-08-18,+21,756,ясно,-,Ю 10м/с,+19,758,-,-,Ю 10м/с
233913,2021-08-19,+22,758,ясно,-,Ю 8м/с,+19,758,-,-,Ю 8м/с
233913,2021-08-20,+21,759,ясно,-,Ю 10м/с,+20,761,-,-,Ю 10м/с
233913,2021-08-21,+21,760,ясно,-,Ю 12м/с,+19,760,-,-,Ю 12м/с
233913,2021-08-22,+24,758,ясно,-,Ю 10м/с,+20,757,-,-,Ю 10м/с
233913,2021-08-23,+21,756,пасмурно,-,Ю 11м/с,+19,757,-,-,Ю 11м/с
233913,2021-08-24,+20,758,малооблачно,-,Ю 12м/с,+19,758,-,-,Ю 12м/с
233913,2021-08-25,+21,758,пасмурно,-,Ю 9м/с,+19,758,-,-,Ю 9м/с
233913,2021-08-26,+18,756,малооблачно,-,С 3м/с,+17,755,-,-,С 3м/с
233913,2021-08-27,+18,753,пасмурно,-,С 3м/с,+18,752,-,-,С 3м/с
233913,2021-08-28,+20,748,пасмурно,-,В 6м/с,+16,750,-,-,В 6м/с
233913,2021-08-29,+18,753,пасмурно,-,В 2м/с,+16,755,-,-,В 2м/с
233913,2021-08-30,+15,755,пасмурно,-,С 8м/с,+14,757,-,-,С 8м/с
233913,2021-08-31,+17,758,малооблачно,-,СЗ 5м/с,+12,758,-,-,СЗ 5м/с
