id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233893,2021-08-01,+18,755,облачно,-,СВ 3м/с,+17,755,пасмурно,-,СВ 3м/с
233893,2021-08-02,+27,753,ясно,-,В 1м/с,+23,753,ясно,-,В 1м/с
233893,2021-08-03,+28,753,малооблачно,-,С 1м/с,+22,753,облачно,-,С 1м/с
233893,2021-08-04,+22,749,пасмурно,-,СВ 1м/с,+19,749,пасмурно,-,СВ 1м/с
233893,2021-08-05,+25,750,облачно,-,Ш,+22,749,малооблачно,-,Ш
233893,2021-08-06,+23,748,пасмурно,-,СВ 1м/с,+21,749,пасмурно,-,СВ 1м/с
233893,2021-08-07,+20,754,пасмурно,-,СВ 3м/с,+18,755,пасмурно,-,СВ 3м/с
233893,2021-08-08,+14,758,пасмурно,-,СВ 7м/с,+14,760,пасмурно,-,СВ 7м/с
233893,2021-08-09,+18,758,пасмурно,-,СВ 3м/с,+16,758,пасмурно,-,СВ 3м/с
233893,2021-08-10,+23,758,малооблачно,-,С 1м/с,+19,760,ясно,-,С 1м/с
233893,2021-08-11,+23,760,ясно,-,Ш,+12,760,ясно,-,Ш
233893,2021-08-12,+25,758,ясно,-,З 1м/с,+13,758,ясно,-,З 1м/с
233893,2021-08-13,+26,757,ясно,-,З 1м/с,+13,758,ясно,-,З 1м/с
233893,2021-08-14,+25,757,ясно,-,С 1м/с,+15,757,ясно,-,С 1м/с
233893,2021-08-15,+26,758,малооблачно,-,ЮЗ 2м/с,+19,758,ясно,-,ЮЗ 2м/с
233893,2021-08-16,+26,758,ясно,-,ЮЗ 4м/с,+19,758,ясно,-,ЮЗ 4м/с
233893,2021-08-17,+27,756,ясно,-,Ю 5м/с,+21,757,ясно,-,Ю 5м/с
233893,2021-08-18,+28,755,ясно,-,ЮЗ 4м/с,+18,756,ясно,-,ЮЗ 4м/с
233893,2021-08-19,+28,756,ясно,-,Ю 5м/с,+19,757,ясно,-,Ю 5м/с
233893,2021-08-20,+31,757,ясно,-,ЮЗ 3м/с,+20,758,ясно,-,ЮЗ 3м/с
233893,2021-08-21,+25,755,облачно,-,СВ 2м/с,+21,755,ясно,-,СВ 2м/с
233893,2021-08-22,+26,749,пасмурно,-,В 2м/с,+21,749,пасмурно,-,В 2м/с
233893,2021-08-23,+28,750,малооблачно,-,ЮЗ 4м/с,+20,752,-,-,ЮЗ 4м/с
233893,2021-08-24,+24,752,пасмурно,-,С 1м/с,+20,750,пасмурно,гроза,С 1м/с
233893,2021-08-25,+28,754,ясно,-,С 2м/с,+20,754,ясно,-,С 2м/с
233893,2021-08-26,+25,752,малооблачно,-,З 2м/с,+21,752,пасмурно,-,З 2м/с
233893,2021-08-27,+25,749,малооблачно,-,СЗ 1м/с,+16,748,пасмурно,-,СЗ 1м/с
233893,2021-08-28,+22,746,облачно,-,ЮЗ 4м/с,+17,747,пасмурно,-,ЮЗ 4м/с
233893,2021-08-29,+23,750,пасмурно,-,ЮЗ 4м/с,+16,752,пасмурно,-,ЮЗ 4м/с
233893,2021-08-30,+20,752,облачно,-,СВ 1м/с,+17,754,пасмурно,-,СВ 1м/с
233893,2021-08-31,+22,755,малооблачно,-,ЮЗ 5м/с,+15,755,облачно,-,ЮЗ 5м/с
