id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233771,2021-07-01,+17,683,облачно,-,ЮВ 4м/с,+11,684,ясно,-,ЮВ 4м/с
233771,2021-07-02,+24,682,малооблачно,-,Ю 1м/с,+15,683,облачно,-,Ю 1м/с
233771,2021-07-03,+25,682,облачно,-,СЗ 1м/с,+16,683,пасмурно,-,СЗ 1м/с
233771,2021-07-04,+26,681,облачно,-,Ш,+19,681,облачно,-,Ш
233771,2021-07-05,+20,679,пасмурно,-,В 2м/с,+15,680,малооблачно,-,В 2м/с
233771,2021-07-06,+25,678,облачно,-,З 2м/с,+16,680,облачно,-,З 2м/с
233771,2021-07-07,+26,680,облачно,-,СЗ 4м/с,+16,681,облачно,гроза,СЗ 4м/с
233771,2021-07-08,+24,679,пасмурно,гроза,СЗ 1м/с,+15,680,пасмурно,-,СЗ 1м/с
233771,2021-07-09,+27,677,малооблачно,-,З 1м/с,+14,678,малооблачно,гроза,З 1м/с
233771,2021-07-10,+24,677,пасмурно,гроза,СВ 4м/с,+16,678,пасмурно,-,СВ 4м/с
233771,2021-07-11,+16,678,пасмурно,гроза,ЮВ 1м/с,+16,679,облачно,-,ЮВ 1м/с
233771,2021-07-12,+25,680,малооблачно,-,З 2м/с,+15,680,ясно,-,З 2м/с
233771,2021-07-13,+25,680,пасмурно,-,ЮЗ 3м/с,+20,681,пасмурно,-,ЮЗ 3м/с
233771,2021-07-14,+23,682,пасмурно,-,Ш,+18,683,пасмурно,-,Ш
233771,2021-07-16,+19,680,пасмурно,гроза,ЮЗ 2м/с,+17,681,пасмурно,гроза,ЮЗ 2м/с
233771,2021-07-17,+19,681,пасмурно,-,СЗ 2м/с,+15,682,пасмурно,-,СЗ 2м/с
233771,2021-07-18,+26,683,ясно,-,З 1м/с,+14,684,ясно,-,З 1м/с
233771,2021-07-19,+25,685,облачно,-,З 2м/с,+16,686,малооблачно,-,З 2м/с
233771,2021-07-20,+24,685,пасмурно,-,З 2м/с,+18,685,пасмурно,-,З 2м/с
233771,2021-07-21,+23,683,пасмурно,-,З 1м/с,+19,683,малооблачно,-,З 1м/с
233771,2021-07-22,+26,682,пасмурно,-,З 2м/с,+21,682,пасмурно,-,З 2м/с
233771,2021-07-23,+29,680,пасмурно,-,З 2м/с,+19,680,облачно,-,З 2м/с
233771,2021-07-24,+28,680,малооблачно,-,ЮЗ 4м/с,+22,680,пасмурно,-,ЮЗ 4м/с
233771,2021-07-25,+24,678,пасмурно,-,ЮЗ 2м/с,+16,680,пасмурно,гроза,ЮЗ 2м/с
233771,2021-07-26,+20,678,пасмурно,-,З 1м/с,+16,679,пасмурно,-,З 1м/с
233771,2021-07-27,+16,679,пасмурно,-,В 3м/с,+17,679,пасмурно,-,В 3м/с
233771,2021-07-28,+24,677,пасмурно,-,З 2м/с,+18,677,пасмурно,-,З 2м/с
233771,2021-07-29,+24,675,пасмурно,-,ЮЗ 2м/с,+16,676,пасмурно,-,ЮЗ 2м/с
233771,2021-07-30,+23,676,облачно,-,З 2м/с,+13,678,малооблачно,-,З 2м/с
233771,2021-07-31,+12,680,пасмурно,-,В 4м/с,+8,681,пасмурно,-,В 4м/с
