id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233836,2021-09-01,+25,743,малооблачно,-,СЗ 2м/с,+13,743,ясно,-,СЗ 2м/с
233836,2021-09-02,+13,743,пасмурно,гроза,СВ 2м/с,+11,744,ясно,-,СВ 2м/с
233836,2021-09-03,+24,744,малооблачно,-,СЗ 2м/с,+12,746,ясно,-,СЗ 2м/с
233836,2021-09-04,+24,749,малооблачно,-,СЗ 1м/с,+12,750,ясно,-,СЗ 1м/с
233836,2021-09-05,+26,750,облачно,-,З 1м/с,+13,752,ясно,-,З 1м/с
233836,2021-09-06,+27,749,облачно,-,З 1м/с,+14,749,ясно,-,З 1м/с
233836,2021-09-07,+24,745,ясно,-,Ш,+15,745,пасмурно,-,Ш
233836,2021-09-08,+23,742,малооблачно,-,ЮЗ 1м/с,+15,743,ясно,-,ЮЗ 1м/с
233836,2021-09-09,+23,742,малооблачно,-,Ю 2м/с,+13,743,ясно,-,Ю 2м/с
233836,2021-09-10,+21,742,малооблачно,-,Ю 1м/с,+17,742,пасмурно,-,Ю 1м/с
233836,2021-09-11,+16,740,пасмурно,гроза,С 1м/с,+12,740,пасмурно,-,С 1м/с
233836,2021-09-12,+15,740,пасмурно,-,С 3м/с,+12,743,малооблачно,-,С 3м/с
233836,2021-09-13,+19,748,ясно,-,СЗ 2м/с,+7,749,ясно,-,СЗ 2м/с
233836,2021-09-14,+19,749,ясно,-,СЗ 2м/с,+5,751,ясно,-,СЗ 2м/с
233836,2021-09-15,+21,749,ясно,-,Ю 2м/с,+7,749,ясно,-,Ю 2м/с
233836,2021-09-16,+19,745,пасмурно,-,Ю 1м/с,+12,743,пасмурно,-,Ю 1м/с
233836,2021-09-17,+20,744,малооблачно,-,Ю 2м/с,+8,744,ясно,-,Ю 2м/с
233836,2021-09-18,+16,743,пасмурно,-,Ш,+4,745,ясно,-,Ш
233836,2021-09-19,+13,746,малооблачно,-,ЮЗ 2м/с,+2,747,ясно,-,ЮЗ 2м/с
233836,2021-09-20,+19,747,ясно,-,ЮЗ 2м/с,+5,747,ясно,-,ЮЗ 2м/с
233836,2021-09-21,+13,743,пасмурно,-,С 1м/с,+12,740,малооблачно,-,С 1м/с
233836,2021-09-22,+14,737,пасмурно,-,С 1м/с,+12,740,малооблачно,-,С 1м/с
233836,2021-09-23,+17,746,пасмурно,-,СВ 1м/с,+8,749,ясно,-,СВ 1м/с
233836,2021-09-24,+18,753,малооблачно,-,С 2м/с,+5,755,ясно,-,С 2м/с
233836,2021-09-25,+21,753,ясно,-,В 1м/с,+6,753,ясно,-,В 1м/с
233836,2021-09-26,+22,749,ясно,-,ЮВ 1м/с,+6,750,ясно,-,ЮВ 1м/с
233836,2021-09-27,+21,746,пасмурно,-,Ю 1м/с,+11,746,малооблачно,-,Ю 1м/с
233836,2021-09-28,+23,743,малооблачно,-,Ю 1м/с,+9,744,ясно,-,Ю 1м/с
233836,2021-09-29,+25,739,облачно,-,ЮЗ 3м/с,+11,739,ясно,-,ЮЗ 3м/с
233836,2021-09-30,+17,739,малооблачно,-,ЮЗ 2м/с,+3,740,ясно,-,ЮЗ 2м/с
