id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233951,2020-04-01,+6,749,малооблачно,-,З 6м/с,+3,752,малооблачно,-,З 6м/с
233951,2020-04-03,-4,763,пасмурно,снег,С 6м/с,-2,767,пасмурно,-,С 6м/с
233951,2020-04-04,+2,770,ясно,-,ЮВ 1м/с,-5,770,ясно,-,ЮВ 1м/с
233951,2020-04-05,+3,764,ясно,-,В 3м/с,-2,764,ясно,-,В 3м/с
233951,2020-04-06,-1,767,пасмурно,-,СВ 2м/с,-1,768,пасмурно,снег,СВ 2м/с
233951,2020-04-07,+2,771,ясно,-,В 2м/с,-5,773,ясно,-,В 2м/с
233951,2020-04-08,+8,769,ясно,-,СВ 1м/с,+2,769,ясно,-,СВ 1м/с
233951,2020-04-09,+11,766,ясно,-,З 5м/с,+7,766,облачно,-,З 5м/с
233951,2020-04-10,+3,770,ясно,-,С 2м/с,-3,769,ясно,-,С 2м/с
233951,2020-04-11,+13,761,ясно,-,З 5м/с,+9,762,ясно,-,З 5м/с
233951,2020-04-12,+14,761,ясно,-,З 3м/с,+3,761,ясно,-,З 3м/с
233951,2020-04-13,+6,761,пасмурно,-,ЮЗ 3м/с,+3,762,малооблачно,-,ЮЗ 3м/с
233951,2020-04-14,+10,762,малооблачно,-,СЗ 2м/с,+2,764,малооблачно,-,СЗ 2м/с
233951,2020-04-15,+11,763,ясно,-,В 2м/с,+2,763,ясно,-,В 2м/с
233951,2020-04-16,+14,759,ясно,-,З 4м/с,+7,759,ясно,-,З 4м/с
233951,2020-04-17,+2,761,пасмурно,-,В 3м/с,-2,764,пасмурно,снег,В 3м/с
233951,2020-04-18,+2,766,облачно,-,В 2м/с,-2,767,малооблачно,-,В 2м/с
233951,2020-04-19,-5,765,пасмурно,снег,СВ 13м/с,-5,767,пасмурно,снег,СВ 13м/с
233951,2020-04-20,-3,770,пасмурно,снег,СВ 9м/с,-5,772,пасмурно,снег,СВ 9м/с
233951,2020-04-21,-2,769,облачно,-,В 3м/с,-3,768,пасмурно,-,В 3м/с
233951,2020-04-22,0,764,облачно,-,В 2м/с,-3,763,пасмурно,-,В 2м/с
233951,2020-04-23,+1,758,пасмурно,-,В 3м/с,-3,758,малооблачно,-,В 3м/с
233951,2020-04-24,+2,757,пасмурно,снег,В 1м/с,-1,759,пасмурно,снег,В 1м/с
233951,2020-04-25,+1,762,пасмурно,снег,СВ 1м/с,0,764,облачно,снег,СВ 1м/с
233951,2020-04-26,+2,763,облачно,-,В 2м/с,-2,762,малооблачно,-,В 2м/с
233951,2020-04-27,+3,755,малооблачно,-,СВ 2м/с,0,755,ясно,-,СВ 2м/с
233951,2020-04-28,+11,752,малооблачно,-,СЗ 1м/с,+4,753,ясно,-,СЗ 1м/с
233951,2020-04-29,+14,749,малооблачно,-,ЮЗ 4м/с,+1,749,ясно,-,ЮЗ 4м/с
233951,2020-04-30,+2,749,пасмурно,-,СВ 5м/с,0,753,облачно,снег,СВ 5м/с
