id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233756,2017-05-01,+10,754,малооблачно,-,СВ 2м/с,+4,757,малооблачно,-,СВ 2м/с
233756,2017-05-02,+17,752,пасмурно,-,Ю 1м/с,+7,751,малооблачно,-,Ю 1м/с
233756,2017-05-03,+12,757,малооблачно,-,Ю 2м/с,+6,758,облачно,-,Ю 2м/с
233756,2017-05-04,+21,749,пасмурно,-,В 1м/с,+6,750,пасмурно,-,В 1м/с
233756,2017-05-05,+24,746,ясно,-,З 3м/с,+9,749,ясно,-,З 3м/с
233756,2017-05-06,+4,739,пасмурно,-,С 2м/с,+2,741,пасмурно,-,С 2м/с
233756,2017-05-07,+10,739,пасмурно,-,СЗ 2м/с,+1,742,малооблачно,-,СЗ 2м/с
233756,2017-05-08,+8,745,пасмурно,-,СЗ 3м/с,+4,748,облачно,-,СЗ 3м/с
233756,2017-05-09,+15,751,малооблачно,-,Ш,+5,750,ясно,-,Ш
233756,2017-05-10,+16,749,облачно,-,СВ 3м/с,+10,752,ясно,-,СВ 3м/с
233756,2017-05-11,+17,752,малооблачно,-,ЮВ 3м/с,+6,755,ясно,-,ЮВ 3м/с
233756,2017-05-12,+15,756,ясно,-,ЮВ 4м/с,+5,758,ясно,-,ЮВ 4м/с
233756,2017-05-13,+12,758,пасмурно,-,Ю 4м/с,+7,760,облачно,-,Ю 4м/с
233756,2017-05-14,+17,758,малооблачно,-,Ю 3м/с,+3,759,малооблачно,-,Ю 3м/с
233756,2017-05-15,+20,752,малооблачно,-,Ю 3м/с,+5,752,ясно,-,Ю 3м/с
233756,2017-05-16,+23,746,ясно,-,ЮВ 2м/с,+10,746,малооблачно,-,ЮВ 2м/с
233756,2017-05-17,+20,747,ясно,-,В 4м/с,+9,749,малооблачно,-,В 4м/с
233756,2017-05-18,+24,744,пасмурно,-,З 3м/с,+15,748,пасмурно,-,З 3м/с
233756,2017-05-19,+22,736,ясно,-,Ю 2м/с,+13,742,пасмурно,-,Ю 2м/с
233756,2017-05-20,+13,753,облачно,-,ЮЗ 2м/с,+6,755,малооблачно,-,ЮЗ 2м/с
233756,2017-05-21,+16,751,облачно,-,З 5м/с,+3,755,малооблачно,-,З 5м/с
233756,2017-05-22,+20,752,пасмурно,-,З 5м/с,+7,753,облачно,-,З 5м/с
233756,2017-05-23,+22,749,пасмурно,-,Ю 3м/с,+11,750,малооблачно,-,Ю 3м/с
233756,2017-05-24,+11,752,пасмурно,-,С 1м/с,+8,754,пасмурно,-,С 1м/с
233756,2017-05-25,+9,755,пасмурно,-,СВ 2м/с,+6,755,ясно,-,СВ 2м/с
233756,2017-05-26,+25,750,ясно,-,Ю 2м/с,+9,752,ясно,-,Ю 2м/с
233756,2017-05-27,+27,750,ясно,-,Ю 4м/с,+10,751,ясно,-,Ю 4м/с
233756,2017-05-28,+26,745,ясно,-,Ю 3м/с,+10,745,ясно,-,Ю 3м/с
233756,2017-05-29,+26,743,малооблачно,-,ЮЗ 3м/с,+13,747,пасмурно,-,ЮЗ 3м/с
233756,2017-05-30,+16,746,облачно,-,Ю 2м/с,+6,746,облачно,-,Ю 2м/с
233756,2017-05-31,+11,749,пасмурно,-,Ю 1м/с,+7,752,ясно,-,Ю 1м/с
