id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233757,2016-09-01,+16,757,пасмурно,-,СЗ 1м/с,+15,758,пасмурно,-,СЗ 1м/с
233757,2016-09-02,+21,758,облачно,-,ЮЗ 1м/с,+17,760,пасмурно,-,ЮЗ 1м/с
233757,2016-09-03,+26,758,малооблачно,-,ЮЗ 1м/с,+16,760,малооблачно,-,ЮЗ 1м/с
233757,2016-09-04,+23,758,облачно,гроза,С 1м/с,+18,759,пасмурно,-,С 1м/с
233757,2016-09-05,+19,758,пасмурно,-,СВ 2м/с,+17,757,пасмурно,-,СВ 2м/с
233757,2016-09-06,+17,754,пасмурно,-,Ш,+15,754,пасмурно,-,Ш
233757,2016-09-07,+18,757,облачно,-,СВ 2м/с,+8,759,малооблачно,-,СВ 2м/с
233757,2016-09-08,+14,761,пасмурно,-,СВ 3м/с,-,-,-,-,-
233757,2016-09-09,+14,761,пасмурно,-,С 1м/с,+11,761,пасмурно,-,С 1м/с
233757,2016-09-10,+13,757,пасмурно,-,ЮВ 1м/с,+11,758,пасмурно,-,ЮВ 1м/с
233757,2016-09-11,+17,760,малооблачно,-,С 1м/с,+9,762,пасмурно,-,С 1м/с
233757,2016-09-12,+21,761,малооблачно,-,Ю 1м/с,+8,762,ясно,-,Ю 1м/с
233757,2016-09-13,+24,758,малооблачно,-,В 2м/с,+10,760,ясно,-,В 2м/с
233757,2016-09-14,+16,756,малооблачно,-,Ш,+13,757,пасмурно,-,Ш
233757,2016-09-15,+15,759,малооблачно,-,В 2м/с,+9,761,пасмурно,-,В 2м/с
233757,2016-09-16,+9,758,пасмурно,-,СВ 2м/с,+8,758,пасмурно,-,СВ 2м/с
233757,2016-09-17,+14,758,пасмурно,-,В 1м/с,+4,759,пасмурно,-,В 1м/с
233757,2016-09-18,+17,753,облачно,-,Ю 2м/с,+4,755,ясно,-,Ю 2м/с
233757,2016-09-19,+18,749,пасмурно,-,З 1м/с,+8,752,облачно,-,З 1м/с
233757,2016-09-20,+15,755,малооблачно,-,ЮЗ 1м/с,+7,760,-,-,ЮЗ 1м/с
233757,2016-09-21,+20,758,ясно,-,Ю 3м/с,+7,760,облачно,-,Ю 3м/с
233757,2016-09-22,+24,756,малооблачно,-,ЮЗ 3м/с,+8,757,ясно,-,ЮЗ 3м/с
233757,2016-09-23,+23,752,пасмурно,-,Ю 2м/с,+12,754,ясно,-,Ю 2м/с
233757,2016-09-24,+22,753,малооблачно,-,СВ 2м/с,+14,755,малооблачно,-,СВ 2м/с
233757,2016-09-25,+20,746,пасмурно,-,Ш,+14,746,малооблачно,-,Ш
233757,2016-09-26,+19,753,малооблачно,-,ЮЗ 2м/с,+7,755,пасмурно,-,ЮЗ 2м/с
233757,2016-09-27,+10,756,пасмурно,-,Ю 1м/с,+7,755,пасмурно,-,Ю 1м/с
233757,2016-09-28,+16,752,ясно,-,С 2м/с,+2,754,ясно,-,С 2м/с
233757,2016-09-29,+20,750,ясно,-,Ю 3м/с,+4,752,-,-,Ю 3м/с
233757,2016-09-30,+19,746,пасмурно,-,СЗ 1м/с,+5,749,ясно,-,СЗ 1м/с
