id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233875,2020-11-01,+4,752,пасмурно,-,С 1м/с,+2,752,ясно,-,С 1м/с
233875,2020-11-02,+5,749,ясно,-,З 4м/с,0,748,облачно,-,З 4м/с
233875,2020-11-03,0,742,облачно,-,СЗ 4м/с,-2,741,ясно,-,СЗ 4м/с
233875,2020-11-04,-4,741,малооблачно,-,З 7м/с,-4,743,ясно,-,З 7м/с
233875,2020-11-05,-1,747,облачно,-,СЗ 5м/с,-2,749,малооблачно,-,СЗ 5м/с
233875,2020-11-06,+1,750,малооблачно,-,СЗ 5м/с,-4,751,ясно,-,СЗ 5м/с
233875,2020-11-07,,,-,-,,-5,751,ясно,-,Ш
233875,2020-11-08,-2,751,малооблачно,-,Ш,-5,752,малооблачно,-,Ш
233875,2020-11-09,-7,754,малооблачно,-,СВ 1м/с,-9,755,пасмурно,-,СВ 1м/с
233875,2020-11-10,-7,757,ясно,-,З 5м/с,-10,761,малооблачно,-,З 5м/с
233875,2020-11-11,-4,759,малооблачно,-,СЗ 6м/с,-4,761,-,-,СЗ 6м/с
233875,2020-11-12,+2,757,облачно,-,ЮЗ 1м/с,-2,755,пасмурно,-,ЮЗ 1м/с
233875,2020-11-13,0,753,пасмурно,-,СЗ 3м/с,-1,757,пасмурно,-,СЗ 3м/с
233875,2020-11-14,-1,760,малооблачно,-,СЗ 4м/с,-1,758,пасмурно,-,СЗ 4м/с
233875,2020-11-15,0,754,пасмурно,снег,СЗ 2м/с,-3,755,малооблачно,-,СЗ 2м/с
233875,2020-11-16,-3,755,пасмурно,-,СЗ 3м/с,-6,757,пасмурно,-,СЗ 3м/с
233875,2020-11-17,-5,760,ясно,-,З 4м/с,-8,760,ясно,-,З 4м/с
233875,2020-11-18,-5,759,ясно,-,З 5м/с,-10,761,малооблачно,-,З 5м/с
233875,2020-11-19,-7,760,малооблачно,-,СЗ 2м/с,-11,759,пасмурно,-,СЗ 2м/с
233875,2020-11-20,-4,758,малооблачно,-,З 1м/с,-10,759,ясно,-,З 1м/с
233875,2020-11-21,-5,755,малооблачно,-,СЗ 2м/с,-6,752,ясно,-,СЗ 2м/с
233875,2020-11-22,-8,751,пасмурно,-,З 7м/с,-10,752,малооблачно,-,З 7м/с
233875,2020-11-24,-5,752,малооблачно,-,З 6м/с,-6,753,ясно,-,З 6м/с
233875,2020-11-25,-5,755,ясно,-,З 4м/с,-9,754,ясно,-,З 4м/с
233875,2020-11-26,-9,755,малооблачно,-,СЗ 4м/с,-12,755,малооблачно,-,СЗ 4м/с
233875,2020-11-27,-9,755,ясно,-,З 6м/с,-11,755,-,-,З 6м/с
233875,2020-11-28,-10,755,малооблачно,-,З 4м/с,-11,756,малооблачно,-,З 4м/с
233875,2020-11-29,-10,758,пасмурно,снег,З 3м/с,-12,758,облачно,-,З 3м/с
233875,2020-11-30,-11,759,малооблачно,-,З 3м/с,-14,760,малооблачно,-,З 3м/с
