id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233802,2020-10-01,+18,747,малооблачно,-,СЗ 3м/с,+7,747,ясно,-,СЗ 3м/с
233802,2020-10-02,+15,746,пасмурно,-,ЮВ 3м/с,+10,744,пасмурно,-,ЮВ 3м/с
233802,2020-10-03,+13,741,пасмурно,-,З 1м/с,+9,743,облачно,-,З 1м/с
233802,2020-10-04,+18,739,малооблачно,-,Ю 2м/с,+10,736,облачно,-,Ю 2м/с
233802,2020-10-05,+11,735,пасмурно,-,С 5м/с,+10,740,пасмурно,-,С 5м/с
233802,2020-10-06,+12,747,малооблачно,-,СЗ 2м/с,+7,749,малооблачно,-,СЗ 2м/с
233802,2020-10-07,+12,752,пасмурно,-,СЗ 2м/с,+5,754,малооблачно,-,СЗ 2м/с
233802,2020-10-08,+14,755,пасмурно,-,СЗ 2м/с,+4,756,ясно,-,СЗ 2м/с
233802,2020-10-09,+18,754,ясно,-,Ю 4м/с,+9,753,облачно,-,Ю 4м/с
233802,2020-10-10,+20,749,ясно,-,Ю 5м/с,+11,748,малооблачно,-,Ю 5м/с
233802,2020-10-11,+17,744,малооблачно,-,Ю 3м/с,+14,743,пасмурно,-,Ю 3м/с
233802,2020-10-12,+12,745,малооблачно,-,СЗ 3м/с,+2,746,ясно,-,СЗ 3м/с
233802,2020-10-13,+11,746,облачно,-,З 2м/с,+5,743,пасмурно,-,З 2м/с
233802,2020-10-14,+3,749,пасмурно,-,З 5м/с,0,750,пасмурно,-,З 5м/с
233802,2020-10-15,+7,747,облачно,-,ЮЗ 4м/с,+2,748,ясно,-,ЮЗ 4м/с
233802,2020-10-16,+10,748,малооблачно,-,З 1м/с,0,747,ясно,-,З 1м/с
233802,2020-10-17,+11,744,пасмурно,-,Ю 5м/с,+10,743,пасмурно,-,Ю 5м/с
233802,2020-10-18,+8,748,малооблачно,-,З 5м/с,0,750,ясно,-,З 5м/с
233802,2020-10-19,+10,748,пасмурно,-,ЮЗ 3м/с,+4,750,ясно,-,ЮЗ 3м/с
233802,2020-10-20,+14,752,ясно,-,ЮВ 3м/с,+7,751,ясно,-,ЮВ 3м/с
233802,2020-10-21,+16,745,малооблачно,-,ЮЗ 4м/с,+16,743,пасмурно,-,ЮЗ 4м/с
233802,2020-10-22,+11,751,пасмурно,-,З 2м/с,+4,746,пасмурно,-,З 2м/с
233802,2020-10-23,+3,740,пасмурно,-,СЗ 3м/с,+1,737,пасмурно,снег,СЗ 3м/с
233802,2020-10-24,0,731,пасмурно,снег,З 3м/с,+2,733,пасмурно,-,З 3м/с
233802,2020-10-25,+8,743,пасмурно,-,СЗ 2м/с,+3,746,пасмурно,-,СЗ 2м/с
233802,2020-10-26,+11,747,ясно,-,С 2м/с,+1,748,ясно,-,С 2м/с
233802,2020-10-27,+11,747,пасмурно,-,Ю 2м/с,+3,749,ясно,-,Ю 2м/с
233802,2020-10-28,+9,747,малооблачно,-,СЗ 2м/с,+4,748,пасмурно,-,СЗ 2м/с
233802,2020-10-29,+3,748,пасмурно,-,СЗ 2м/с,+3,750,пасмурно,-,СЗ 2м/с
233802,2020-10-30,+7,755,малооблачно,-,СЗ 2м/с,0,754,малооблачно,-,СЗ 2м/с
233802,2020-10-31,+8,746,малооблачно,-,ЮВ 4м/с,+9,745,облачно,-,ЮВ 4м/с
