id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233738,2021-04-01,+2,744,ясно,-,Ш,-7,745,ясно,-,Ш
233738,2021-04-02,+7,740,пасмурно,-,Ю 3м/с,-1,740,пасмурно,снег,Ю 3м/с
233738,2021-04-03,-5,740,пасмурно,-,СЗ 3м/с,-11,743,пасмурно,-,СЗ 3м/с
233738,2021-04-04,-4,742,ясно,-,СЗ 3м/с,-16,742,ясно,-,СЗ 3м/с
233738,2021-04-05,-4,743,ясно,-,Ш,-13,746,ясно,-,Ш
233738,2021-04-06,-5,751,ясно,-,Ю 3м/с,-10,752,ясно,-,Ю 3м/с
233738,2021-04-07,-4,752,ясно,-,Ш,-8,752,ясно,-,Ш
233738,2021-04-08,-1,749,малооблачно,-,Ш,-6,749,ясно,-,Ш
233738,2021-04-09,+6,743,ясно,-,ЮЗ 3м/с,+3,741,ясно,-,ЮЗ 3м/с
233738,2021-04-10,+10,737,пасмурно,-,З 5м/с,+3,737,ясно,-,З 5м/с
233738,2021-04-11,-4,743,пасмурно,-,Ш,-9,746,ясно,-,Ш
233738,2021-04-12,-4,745,облачно,-,Ш,-12,746,ясно,-,Ш
233738,2021-04-13,-2,742,облачно,-,Ю 3м/с,-8,741,ясно,-,Ю 3м/с
233738,2021-04-14,-1,736,ясно,-,СВ 3м/с,-5,735,ясно,-,СВ 3м/с
233738,2021-04-15,0,734,пасмурно,-,СЗ 3м/с,-6,735,ясно,-,СЗ 3м/с
233738,2021-04-16,+5,739,малооблачно,-,ЮВ 3м/с,+1,737,малооблачно,-,ЮВ 3м/с
233738,2021-04-17,+6,731,ясно,-,ЮВ 5м/с,+5,731,ясно,-,ЮВ 5м/с
233738,2021-04-18,+6,739,пасмурно,-,Ш,+3,739,малооблачно,-,Ш
233738,2021-04-19,+10,734,облачно,-,ЮВ 7м/с,+4,734,ясно,-,ЮВ 7м/с
233738,2021-04-20,+2,739,пасмурно,снег,З 5м/с,-2,740,пасмурно,-,З 5м/с
233738,2021-04-21,+5,743,ясно,-,Ш,-4,744,ясно,-,Ш
233738,2021-04-22,+7,743,пасмурно,-,Ш,+2,745,пасмурно,-,Ш
233738,2021-04-23,0,749,малооблачно,-,СЗ 3м/с,-3,746,ясно,-,СЗ 3м/с
233738,2021-04-24,+1,745,пасмурно,-,З 3м/с,-3,746,малооблачно,-,З 3м/с
233738,2021-04-25,+3,742,пасмурно,-,З 1м/с,0,742,пасмурно,-,З 1м/с
233738,2021-04-26,+10,735,ясно,-,З 3м/с,+6,735,ясно,-,З 3м/с
233738,2021-04-27,+12,736,пасмурно,-,В 3м/с,+8,737,пасмурно,-,В 3м/с
233738,2021-04-28,+7,740,пасмурно,-,Ш,+2,743,пасмурно,-,Ш
233738,2021-04-29,+10,744,ясно,-,Ю 3м/с,+3,745,ясно,-,Ю 3м/с
233738,2021-04-30,+10,744,ясно,-,Ш,+6,745,ясно,-,Ш
