id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233949,2016-03-01,-10,761,ясно,-,ЮВ 1м/с,-20,762,ясно,-,ЮВ 1м/с
233949,2016-03-02,-12,763,ясно,-,С 1м/с,-19,764,ясно,-,С 1м/с
233949,2016-03-03,-7,767,ясно,-,ЮЗ 5м/с,-11,768,ясно,-,ЮЗ 5м/с
233949,2016-03-04,-4,772,ясно,-,ЮЗ 5м/с,-9,773,ясно,-,ЮЗ 5м/с
233949,2016-03-05,-5,771,пасмурно,-,СВ 3м/с,-5,768,пасмурно,-,СВ 3м/с
233949,2016-03-06,-8,761,пасмурно,снег,СВ 9м/с,-8,762,пасмурно,снег,СВ 9м/с
233949,2016-03-07,-7,760,малооблачно,-,В 2м/с,-11,761,малооблачно,-,В 2м/с
233949,2016-03-08,-5,758,малооблачно,-,СЗ 1м/с,-14,759,ясно,-,СЗ 1м/с
233949,2016-03-09,-7,758,ясно,-,ЮЗ 5м/с,-13,760,ясно,-,ЮЗ 5м/с
233949,2016-03-10,-6,758,ясно,-,ЮЗ 5м/с,-11,758,ясно,-,ЮЗ 5м/с
233949,2016-03-11,-5,755,ясно,-,З 5м/с,-11,756,ясно,-,З 5м/с
233949,2016-03-12,-8,758,ясно,-,СВ 3м/с,-9,760,ясно,-,СВ 3м/с
233949,2016-03-13,-10,755,пасмурно,снег,СВ 10м/с,-10,758,пасмурно,снег,СВ 10м/с
233949,2016-03-14,-10,758,ясно,-,З 6м/с,-11,758,ясно,-,З 6м/с
233949,2016-03-15,-8,756,ясно,-,ЮЗ 6м/с,-14,757,ясно,-,ЮЗ 6м/с
233949,2016-03-16,-9,756,малооблачно,-,В 2м/с,-17,758,ясно,-,В 2м/с
233949,2016-03-17,-2,761,ясно,-,З 5м/с,-9,761,ясно,-,З 5м/с
233949,2016-03-18,-2,761,ясно,-,В 2м/с,-6,763,ясно,-,В 2м/с
233949,2016-03-19,-3,764,ясно,-,СВ 2м/с,-12,767,ясно,-,СВ 2м/с
233949,2016-03-20,-1,767,ясно,-,ЮЗ 4м/с,-5,766,ясно,-,ЮЗ 4м/с
233949,2016-03-21,+2,763,ясно,-,З 3м/с,-5,764,ясно,-,З 3м/с
233949,2016-03-22,0,767,малооблачно,-,З 2м/с,0,768,малооблачно,-,З 2м/с
233949,2016-03-23,+3,771,ясно,-,ЮЗ 2м/с,-2,771,ясно,-,ЮЗ 2м/с
233949,2016-03-24,-3,766,малооблачно,-,ЮЗ 8м/с,+3,766,малооблачно,-,ЮЗ 8м/с
233949,2016-03-25,+10,763,ясно,-,ЮЗ 2м/с,-,-,-,-,-
233949,2016-03-26,-3,760,пасмурно,снег,С 7м/с,-2,762,пасмурно,-,С 7м/с
233949,2016-03-27,0,762,ясно,-,В 2м/с,-4,761,ясно,-,В 2м/с
233949,2016-03-28,-4,761,ясно,-,СВ 3м/с,-5,762,ясно,-,СВ 3м/с
233949,2016-03-29,-5,762,пасмурно,-,СВ 6м/с,-7,763,малооблачно,-,СВ 6м/с
233949,2016-03-30,-5,762,пасмурно,снег,СВ 6м/с,-4,763,пасмурно,снег,СВ 6м/с
233949,2016-03-31,-2,764,малооблачно,-,СВ 4м/с,-3,765,малооблачно,-,СВ 4м/с
