id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233918,2020-09-01,+13,741,пасмурно,-,З 1м/с,+10,743,пасмурно,-,З 1м/с
233918,2020-09-02,+15,742,пасмурно,-,Ш,+11,743,пасмурно,-,Ш
233918,2020-09-03,+15,746,облачно,-,СЗ 2м/с,+7,747,ясно,-,СЗ 2м/с
233918,2020-09-04,+17,748,малооблачно,-,ЮЗ 1м/с,+10,748,ясно,-,ЮЗ 1м/с
233918,2020-09-05,+10,745,пасмурно,-,СЗ 1м/с,+8,743,пасмурно,-,СЗ 1м/с
233918,2020-09-06,+14,740,пасмурно,-,СЗ 1м/с,+11,740,пасмурно,-,СЗ 1м/с
233918,2020-09-07,+13,739,пасмурно,гроза,Ш,+6,740,ясно,-,Ш
233918,2020-09-08,+17,744,облачно,-,СВ 2м/с,+8,747,облачно,-,СВ 2м/с
233918,2020-09-09,+16,748,пасмурно,-,СВ 1м/с,+8,749,пасмурно,-,СВ 1м/с
233918,2020-09-10,+16,749,пасмурно,-,В 3м/с,+4,749,малооблачно,-,В 3м/с
233918,2020-09-11,+21,748,малооблачно,-,В 1м/с,+4,749,ясно,-,В 1м/с
233918,2020-09-12,+23,748,малооблачно,-,В 2м/с,+4,749,ясно,-,В 2м/с
233918,2020-09-13,+24,745,ясно,-,Ю 2м/с,+5,744,ясно,-,Ю 2м/с
233918,2020-09-14,+24,739,ясно,-,ЮЗ 2м/с,+13,739,облачно,-,ЮЗ 2м/с
233918,2020-09-15,+18,737,ясно,-,С 5м/с,+6,738,ясно,-,С 5м/с
233918,2020-09-16,+15,739,пасмурно,-,Ю 2м/с,+4,741,ясно,-,Ю 2м/с
233918,2020-09-17,+18,744,пасмурно,-,СВ 4м/с,+8,746,ясно,-,СВ 4м/с
233918,2020-09-18,+17,745,малооблачно,-,СВ 3м/с,+3,745,облачно,-,СВ 3м/с
233918,2020-09-19,+19,740,ясно,-,В 2м/с,+3,741,малооблачно,-,В 2м/с
233918,2020-09-21,+14,746,ясно,-,ЮЗ 3м/с,+1,748,ясно,-,ЮЗ 3м/с
233918,2020-09-23,+10,749,пасмурно,-,З 1м/с,+4,750,пасмурно,-,З 1м/с
233918,2020-09-24,+16,752,малооблачно,-,В 2м/с,0,754,малооблачно,-,В 2м/с
233918,2020-09-25,+17,754,ясно,-,В 2м/с,-1,755,ясно,-,В 2м/с
233918,2020-09-26,+15,752,ясно,-,ЮЗ 3м/с,0,751,малооблачно,-,ЮЗ 3м/с
233918,2020-09-27,+5,746,пасмурно,-,В 1м/с,+5,744,пасмурно,-,В 1м/с
233918,2020-09-28,+9,737,пасмурно,-,Ю 3м/с,+6,737,пасмурно,-,Ю 3м/с
233918,2020-09-29,+10,736,пасмурно,-,Ю 1м/с,+4,737,пасмурно,-,Ю 1м/с
233918,2020-09-30,+15,738,малооблачно,-,СЗ 3м/с,+1,740,ясно,-,СЗ 3м/с
