id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233919,2018-03-01,-14,753,ясно,-,С 2м/с,-16,752,ясно,-,С 2м/с
233919,2018-03-02,-16,756,ясно,-,С 3м/с,-19,757,ясно,-,С 3м/с
233919,2018-03-03,-14,752,ясно,-,С 6м/с,-13,751,малооблачно,-,С 6м/с
233919,2018-03-04,-10,750,облачно,снег,С 2м/с,-10,752,пасмурно,снег,С 2м/с
233919,2018-03-05,-12,754,малооблачно,-,С 4м/с,-14,755,облачно,-,С 4м/с
233919,2018-03-06,-12,755,ясно,-,С 4м/с,-13,755,ясно,-,С 4м/с
233919,2018-03-07,-11,755,малооблачно,-,С 3м/с,-12,756,малооблачно,-,С 3м/с
233919,2018-03-08,-12,764,ясно,-,С 3м/с,-13,767,ясно,-,С 3м/с
233919,2018-03-09,-13,774,пасмурно,снег,Ю 5м/с,-15,773,пасмурно,-,Ю 5м/с
233919,2018-03-10,-11,752,пасмурно,-,С 8м/с,-11,753,малооблачно,-,С 8м/с
233919,2018-03-11,-11,756,ясно,-,СЗ 2м/с,-11,756,ясно,-,СЗ 2м/с
233919,2018-03-12,-14,758,ясно,-,С 2м/с,-14,758,малооблачно,-,С 2м/с
233919,2018-03-13,-15,760,ясно,-,С 2м/с,-15,760,ясно,-,С 2м/с
233919,2018-03-14,-15,761,ясно,-,С 3м/с,-14,761,ясно,-,С 3м/с
233919,2018-03-15,-14,761,ясно,-,С 2м/с,-15,761,ясно,-,С 2м/с
233919,2018-03-16,-15,759,ясно,-,С 4м/с,-15,757,ясно,-,С 4м/с
233919,2018-03-17,-13,752,ясно,-,С 3м/с,-14,752,малооблачно,-,С 3м/с
233919,2018-03-18,-10,753,облачно,-,С 3м/с,-10,755,малооблачно,-,С 3м/с
233919,2018-03-19,-7,760,малооблачно,-,СЗ 2м/с,-8,761,малооблачно,-,СЗ 2м/с
233919,2018-03-20,-10,762,ясно,-,СВ 3м/с,-10,761,ясно,-,СВ 3м/с
233919,2018-03-21,-9,755,ясно,-,Ш,-8,755,малооблачно,-,Ш
233919,2018-03-22,-9,756,ясно,-,С 4м/с,-9,756,ясно,-,С 4м/с
233919,2018-03-23,-8,758,ясно,-,С 3м/с,-8,756,ясно,-,С 3м/с
233919,2018-03-24,-6,755,ясно,-,В 1м/с,-7,755,ясно,-,В 1м/с
233919,2018-03-25,-7,755,облачно,-,Ю 1м/с,-7,755,малооблачно,-,Ю 1м/с
233919,2018-03-26,-8,758,пасмурно,-,Ю 3м/с,-9,757,пасмурно,-,Ю 3м/с
233919,2018-03-27,-7,749,пасмурно,снег,ЮВ 11м/с,-6,746,пасмурно,снег,ЮВ 11м/с
233919,2018-03-28,-3,744,малооблачно,-,С 5м/с,-4,746,малооблачно,-,С 5м/с
233919,2018-03-29,-1,748,малооблачно,-,С 4м/с,-3,749,малооблачно,-,С 4м/с
233919,2018-03-30,-3,749,ясно,-,С 4м/с,-5,749,ясно,-,С 4м/с
233919,2018-03-31,-4,761,малооблачно,-,СЗ 3м/с,-5,763,малооблачно,-,СЗ 3м/с
