id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
4843,2021-10-01,+14,750,пасмурно,-,ЮЗ 4м/с,+9,753,ясно,-,ЮЗ 4м/с
4843,2021-10-02,+11,754,облачно,-,Ю 3м/с,+2,755,ясно,-,Ю 3м/с
4843,2021-10-03,+10,755,малооблачно,-,С 3м/с,+3,756,пасмурно,-,С 3м/с
4843,2021-10-04,+9,760,малооблачно,-,СЗ 3м/с,+5,762,ясно,-,СЗ 3м/с
4843,2021-10-05,+7,763,облачно,-,С 5м/с,0,763,ясно,-,С 5м/с
4843,2021-10-06,+8,760,пасмурно,-,СЗ 3м/с,+2,761,малооблачно,-,СЗ 3м/с
4843,2021-10-07,+6,759,облачно,-,Ш,+1,759,ясно,-,Ш
4843,2021-10-08,+9,757,облачно,-,С 1м/с,+1,759,облачно,-,С 1м/с
4843,2021-10-09,+10,762,пасмурно,-,ЮЗ 3м/с,+3,761,пасмурно,-,ЮЗ 3м/с
4843,2021-10-10,+9,746,пасмурно,-,С 3м/с,+8,740,пасмурно,-,С 3м/с
4843,2021-10-11,+8,752,пасмурно,-,СЗ 5м/с,+6,759,малооблачно,-,СЗ 5м/с
4843,2021-10-12,+11,764,малооблачно,-,Ю 4м/с,+4,764,облачно,-,Ю 4м/с
4843,2021-10-13,+13,761,пасмурно,-,Ю 1м/с,+6,759,пасмурно,-,Ю 1м/с
4843,2021-10-14,+3,755,пасмурно,-,СВ 2м/с,+2,755,пасмурно,-,СВ 2м/с
4843,2021-10-15,+1,760,пасмурно,-,СЗ 6м/с,0,762,ясно,-,СЗ 6м/с
4843,2021-10-16,-1,757,пасмурно,снег,В 2м/с,-1,754,пасмурно,снег,В 2м/с
4843,2021-10-17,0,748,пасмурно,снег,С 8м/с,-1,752,пасмурно,снег,С 8м/с
4843,2021-10-18,-1,760,пасмурно,-,ЮЗ 2м/с,-3,761,малооблачно,-,ЮЗ 2м/с
4843,2021-10-19,0,760,ясно,-,ЮЗ 3м/с,-6,761,ясно,-,ЮЗ 3м/с
4843,2021-10-20,+1,761,ясно,-,ЮЗ 2м/с,-5,761,ясно,-,ЮЗ 2м/с
4843,2021-10-21,+2,758,ясно,-,Ю 3м/с,-3,758,ясно,-,Ю 3м/с
4843,2021-10-24,+8,758,ясно,-,С 2м/с,-2,759,ясно,-,С 2м/с
4843,2021-10-25,+8,755,ясно,-,Ю 2м/с,+1,756,ясно,-,Ю 2м/с
4843,2021-10-26,+10,755,ясно,-,Ю 1м/с,+1,755,малооблачно,-,Ю 1м/с
4843,2021-10-27,+6,752,пасмурно,-,Ш,+5,755,облачно,-,Ш
4843,2021-10-28,+6,761,пасмурно,-,С 1м/с,-2,763,ясно,-,С 1м/с
4843,2021-10-29,+5,763,ясно,-,Ю 2м/с,-2,764,ясно,-,Ю 2м/с
4843,2021-10-30,+6,762,ясно,-,С 4м/с,0,767,пасмурно,-,С 4м/с
4843,2021-10-31,-1,767,малооблачно,-,СЗ 3м/с,-6,769,ясно,-,СЗ 3м/с
