id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233955,2017-11-01,+2,753,малооблачно,-,Ш,-6,755,ясно,-,Ш
233955,2017-11-02,+1,760,малооблачно,-,ЮЗ 2м/с,-1,761,облачно,-,ЮЗ 2м/с
233955,2017-11-03,-1,761,ясно,-,СЗ 3м/с,-6,761,ясно,-,СЗ 3м/с
233955,2017-11-04,-6,759,пасмурно,снег,З 3м/с,-10,760,малооблачно,-,З 3м/с
233955,2017-11-05,-4,754,ясно,-,З 4м/с,-3,753,пасмурно,-,З 4м/с
233955,2017-11-06,+4,753,малооблачно,-,З 2м/с,-1,755,ясно,-,З 2м/с
233955,2017-11-07,+3,758,малооблачно,-,ЮЗ 2м/с,-5,761,ясно,-,ЮЗ 2м/с
233955,2017-11-08,0,758,малооблачно,-,С 2м/с,-7,759,ясно,-,С 2м/с
233955,2017-11-09,-1,761,ясно,-,С 4м/с,-6,762,ясно,-,С 4м/с
233955,2017-11-10,-2,758,ясно,-,З 1м/с,-7,757,облачно,-,З 1м/с
233955,2017-11-11,-2,756,малооблачно,-,С 4м/с,-7,758,малооблачно,-,С 4м/с
233955,2017-11-12,-4,760,облачно,-,СЗ 5м/с,-7,762,ясно,-,СЗ 5м/с
233955,2017-11-13,-5,760,ясно,-,Ш,-9,759,ясно,-,Ш
233955,2017-11-14,-3,751,пасмурно,-,СВ 6м/с,-5,745,пасмурно,снег,СВ 6м/с
233955,2017-11-15,-7,749,пасмурно,снег,СЗ 4м/с,-,-,-,-,-
233955,2017-11-16,-9,759,малооблачно,-,З 2м/с,-13,762,ясно,-,З 2м/с
233955,2017-11-17,-13,763,ясно,-,З 2м/с,-21,764,ясно,-,З 2м/с
233955,2017-11-18,-16,759,ясно,-,С 1м/с,-18,758,ясно,-,С 1м/с
233955,2017-11-19,-15,756,облачно,-,З 4м/с,-17,756,ясно,-,З 4м/с
233955,2017-11-20,-18,753,ясно,-,ЮЗ 6м/с,-19,754,ясно,-,ЮЗ 6м/с
233955,2017-11-21,-13,758,ясно,-,ЮЗ 5м/с,-18,758,ясно,-,ЮЗ 5м/с
233955,2017-11-22,-14,752,ясно,-,Ш,-14,752,малооблачно,снег,Ш
233955,2017-11-23,-11,754,малооблачно,-,З 2м/с,-14,753,облачно,-,З 2м/с
233955,2017-11-24,-14,752,пасмурно,снег,З 4м/с,-15,754,пасмурно,-,З 4м/с
233955,2017-11-25,-18,755,ясно,-,ЮЗ 6м/с,-22,756,ясно,-,ЮЗ 6м/с
233955,2017-11-28,,,-,-,,-12,758,малооблачно,снег,Ш
233955,2017-11-29,-13,749,пасмурно,снег,З 5м/с,-11,752,пасмурно,снег,З 5м/с
233955,2017-11-30,-19,759,ясно,-,З 2м/с,-21,759,пасмурно,-,З 2м/с
