id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233920,2016-01-01,-20,760,малооблачно,-,С 4м/с,-21,759,малооблачно,-,С 4м/с
233920,2016-01-02,-22,753,малооблачно,-,С 4м/с,-23,751,ясно,-,С 4м/с
233920,2016-01-03,-25,749,малооблачно,-,С 3м/с,-24,749,малооблачно,-,С 3м/с
233920,2016-01-04,-24,749,малооблачно,-,С 4м/с,-24,750,ясно,-,С 4м/с
233920,2016-01-05,-23,750,ясно,-,С 6м/с,-24,749,ясно,-,С 6м/с
233920,2016-01-06,-23,746,ясно,-,С 4м/с,-23,746,ясно,-,С 4м/с
233920,2016-01-07,-20,747,малооблачно,-,С 3м/с,-19,748,малооблачно,-,С 3м/с
233920,2016-01-08,-21,749,малооблачно,-,С 2м/с,-20,749,малооблачно,-,С 2м/с
233920,2016-01-09,-18,750,малооблачно,-,С 3м/с,-19,752,малооблачно,-,С 3м/с
233920,2016-01-10,-20,758,ясно,-,С 3м/с,-19,758,малооблачно,-,С 3м/с
233920,2016-01-11,-18,753,ясно,-,С 4м/с,-15,750,малооблачно,-,С 4м/с
233920,2016-01-12,-15,747,малооблачно,-,С 3м/с,-17,750,облачно,-,С 3м/с
233920,2016-01-13,-13,758,облачно,-,СЗ 3м/с,-10,760,пасмурно,-,СЗ 3м/с
233920,2016-01-14,-14,765,ясно,-,С 3м/с,-14,767,малооблачно,-,С 3м/с
233920,2016-01-15,-9,766,облачно,-,С 1м/с,-12,764,малооблачно,-,С 1м/с
233920,2016-01-16,-12,765,ясно,-,В 3м/с,-18,767,малооблачно,-,В 3м/с
233920,2016-01-17,-20,769,малооблачно,-,С 4м/с,-20,769,ясно,-,С 4м/с
233920,2016-01-18,-20,771,ясно,-,С 4м/с,-21,773,малооблачно,-,С 4м/с
233920,2016-01-19,-21,775,ясно,-,С 3м/с,-22,774,ясно,-,С 3м/с
233920,2016-01-20,-17,771,ясно,-,С 6м/с,-19,771,ясно,-,С 6м/с
233920,2016-01-21,-16,773,ясно,-,С 3м/с,-17,772,ясно,-,С 3м/с
233920,2016-01-22,-14,769,ясно,-,С 5м/с,-15,767,ясно,-,С 5м/с
233920,2016-01-23,-17,760,ясно,-,С 3м/с,-19,759,ясно,-,С 3м/с
233920,2016-01-24,-22,755,ясно,-,С 4м/с,-24,754,малооблачно,-,С 4м/с
233920,2016-01-25,-24,752,облачно,снег,С 4м/с,-22,752,малооблачно,-,С 4м/с
233920,2016-01-26,-25,755,малооблачно,-,С 5м/с,-24,755,малооблачно,-,С 5м/с
233920,2016-01-27,-22,757,малооблачно,-,С 5м/с,-22,757,малооблачно,-,С 5м/с
233920,2016-01-28,-20,758,малооблачно,-,С 3м/с,-20,758,малооблачно,-,С 3м/с
233920,2016-01-29,-21,758,малооблачно,-,С 6м/с,-21,758,малооблачно,-,С 6м/с
233920,2016-01-30,-22,759,ясно,-,С 3м/с,-23,759,ясно,-,С 3м/с
233920,2016-01-31,-23,757,ясно,-,СЗ 2м/с,-24,757,ясно,-,СЗ 2м/с
