id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233877,2020-02-01,-13,761,ясно,-,СЗ 2м/с,-23,761,ясно,-,СЗ 2м/с
233877,2020-02-02,-11,761,пасмурно,снег,ЮЗ 4м/с,-13,761,пасмурно,снег,ЮЗ 4м/с
233877,2020-02-03,-12,761,малооблачно,-,ЮЗ 4м/с,-20,761,ясно,-,ЮЗ 4м/с
233877,2020-02-04,-15,762,ясно,-,ЮЗ 3м/с,-25,763,ясно,-,ЮЗ 3м/с
233877,2020-02-05,-15,764,ясно,-,З 2м/с,-20,764,ясно,-,З 2м/с
233877,2020-02-06,-15,763,ясно,-,Ю 7м/с,-16,763,ясно,-,Ю 7м/с
233877,2020-02-07,-14,762,малооблачно,-,С 1м/с,-21,764,ясно,-,С 1м/с
233877,2020-02-08,-17,767,ясно,-,СВ 1м/с,-25,767,ясно,-,СВ 1м/с
233877,2020-02-09,-19,765,ясно,-,СЗ 2м/с,-24,765,ясно,-,СЗ 2м/с
233877,2020-02-10,-17,765,ясно,-,СЗ 1м/с,-19,766,ясно,-,СЗ 1м/с
233877,2020-02-11,-9,761,пасмурно,-,ЮЗ 6м/с,-9,758,ясно,-,ЮЗ 6м/с
233877,2020-02-12,-7,752,ясно,-,СЗ 2м/с,-7,755,ясно,-,СЗ 2м/с
233877,2020-02-14,-6,761,ясно,-,ЮЗ 2м/с,-11,762,ясно,-,ЮЗ 2м/с
233877,2020-02-15,-9,764,малооблачно,-,ЮВ 1м/с,-17,766,ясно,-,ЮВ 1м/с
233877,2020-02-16,-11,766,ясно,-,З 1м/с,-17,765,ясно,-,З 1м/с
233877,2020-02-17,-7,757,ясно,-,СЗ 1м/с,-14,758,ясно,-,СЗ 1м/с
233877,2020-02-18,-6,758,ясно,-,Ш,-17,760,ясно,-,Ш
233877,2020-02-19,-6,761,ясно,-,З 2м/с,-10,763,пасмурно,снег,З 2м/с
233877,2020-02-20,-10,766,ясно,-,ЮЗ 4м/с,-10,767,ясно,-,ЮЗ 4м/с
233877,2020-02-21,-8,769,ясно,-,ЮЗ 4м/с,-16,767,ясно,-,ЮЗ 4м/с
233877,2020-02-22,-5,755,ясно,-,Ш,-14,753,ясно,-,Ш
233877,2020-02-23,-4,756,ясно,-,ЮЗ 2м/с,-11,757,ясно,-,ЮЗ 2м/с
233877,2020-02-24,-5,758,ясно,-,СЗ 3м/с,-14,760,ясно,-,СЗ 3м/с
233877,2020-02-25,-4,764,ясно,-,СЗ 2м/с,-10,765,ясно,-,СЗ 2м/с
233877,2020-02-26,-4,764,ясно,-,СЗ 2м/с,-12,765,ясно,-,СЗ 2м/с
233877,2020-02-27,-2,763,ясно,-,СЗ 2м/с,-7,764,ясно,-,СЗ 2м/с
233877,2020-02-28,-6,765,ясно,-,СВ 3м/с,-14,765,ясно,-,СВ 3м/с
233877,2020-02-29,0,762,ясно,-,Ш,-10,763,ясно,-,Ш
