id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233878,2018-02-01,-15,771,ясно,-,ЮЗ 4м/с,-26,773,ясно,-,ЮЗ 4м/с
233878,2018-02-02,-19,773,ясно,-,В 1м/с,-25,772,ясно,-,В 1м/с
233878,2018-02-03,-19,770,ясно,-,В 1м/с,-26,770,ясно,-,В 1м/с
233878,2018-02-04,-16,765,ясно,-,С 2м/с,-17,766,пасмурно,-,С 2м/с
233878,2018-02-05,-13,763,ясно,-,СЗ 1м/с,-20,764,ясно,-,СЗ 1м/с
233878,2018-02-06,-13,763,ясно,-,С 1м/с,-20,763,ясно,-,С 1м/с
233878,2018-02-07,-15,758,ясно,-,ЮЗ 6м/с,-18,757,ясно,-,ЮЗ 6м/с
233878,2018-02-08,-15,756,ясно,-,Ю 7м/с,-17,758,ясно,-,Ю 7м/с
233878,2018-02-10,-10,753,ясно,-,Ю 5м/с,-15,754,ясно,-,Ю 5м/с
233878,2018-02-11,-15,751,ясно,-,ЮЗ 3м/с,-19,752,пасмурно,снег,ЮЗ 3м/с
233878,2018-02-12,-19,752,ясно,-,ЮЗ 4м/с,-22,752,ясно,-,ЮЗ 4м/с
233878,2018-02-13,-18,750,ясно,-,Ю 7м/с,-18,751,малооблачно,снег,Ю 7м/с
233878,2018-02-14,-13,750,облачно,-,ЮЗ 3м/с,-18,751,ясно,-,ЮЗ 3м/с
233878,2018-02-15,-12,752,ясно,-,ЮЗ 4м/с,-14,752,ясно,-,ЮЗ 4м/с
233878,2018-02-16,-12,753,ясно,-,ЮЗ 3м/с,-21,754,ясно,-,ЮЗ 3м/с
233878,2018-02-18,-13,761,ясно,-,ЮЗ 4м/с,-18,760,ясно,-,ЮЗ 4м/с
233878,2018-02-19,-11,755,ясно,-,Ю 5м/с,-14,755,ясно,-,Ю 5м/с
233878,2018-02-20,-14,755,ясно,-,ЮЗ 3м/с,-17,755,ясно,-,ЮЗ 3м/с
233878,2018-02-21,-13,756,ясно,-,ЮЗ 4м/с,-16,758,ясно,-,ЮЗ 4м/с
233878,2018-02-22,-13,758,ясно,-,В 1м/с,-18,759,ясно,-,В 1м/с
233878,2018-02-23,-9,762,ясно,-,С 1м/с,-20,764,ясно,-,С 1м/с
233878,2018-02-24,-11,765,ясно,-,З 2м/с,-18,766,ясно,-,З 2м/с
233878,2018-02-25,-12,766,ясно,-,ЮЗ 2м/с,-17,767,ясно,-,ЮЗ 2м/с
233878,2018-02-26,-9,769,ясно,-,С 1м/с,-14,769,ясно,-,С 1м/с
233878,2018-02-27,-7,765,ясно,-,З 2м/с,-18,765,ясно,-,З 2м/с
233878,2018-02-28,-8,761,ясно,-,Ю 6м/с,-14,759,ясно,-,Ю 6м/с
