id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233921,2020-04-01,-4,751,пасмурно,снег,ЮВ 8м/с,-4,752,пасмурно,-,ЮВ 8м/с
233921,2020-04-02,-2,757,облачно,-,В 4м/с,-3,759,пасмурно,-,В 4м/с
233921,2020-04-03,-3,764,пасмурно,снег,С 3м/с,-3,765,малооблачно,-,С 3м/с
233921,2020-04-04,-1,767,ясно,-,СВ 2м/с,-2,766,ясно,-,СВ 2м/с
233921,2020-04-05,-4,765,ясно,-,ЮВ 3м/с,-2,764,облачно,-,ЮВ 3м/с
233921,2020-04-06,0,766,малооблачно,-,ЮЗ 1м/с,-2,767,малооблачно,-,ЮЗ 1м/с
233921,2020-04-07,-1,770,ясно,-,С 3м/с,-2,769,ясно,-,С 3м/с
233921,2020-04-08,+4,764,ясно,-,С 4м/с,+1,762,ясно,-,С 4м/с
233921,2020-04-09,+7,762,малооблачно,-,СВ 5м/с,+3,764,пасмурно,-,СВ 5м/с
233921,2020-04-10,+5,769,ясно,-,С 3м/с,+1,767,ясно,-,С 3м/с
233921,2020-04-11,+1,756,малооблачно,-,ЮЗ 3м/с,0,755,облачно,-,ЮЗ 3м/с
233921,2020-04-12,-1,761,пасмурно,-,ЮЗ 4м/с,-2,761,малооблачно,-,ЮЗ 4м/с
233921,2020-04-13,-1,760,пасмурно,-,ЮВ 5м/с,-2,760,малооблачно,-,ЮВ 5м/с
233921,2020-04-14,-1,762,пасмурно,-,ЮЗ 3м/с,-1,762,малооблачно,-,ЮЗ 3м/с
233921,2020-04-15,0,761,малооблачно,-,ЮЗ 3м/с,0,761,малооблачно,-,ЮЗ 3м/с
233921,2020-04-16,-1,755,пасмурно,-,ЮВ 8м/с,-2,756,пасмурно,-,ЮВ 8м/с
233921,2020-04-17,0,759,ясно,-,СЗ 5м/с,-2,760,ясно,-,СЗ 5м/с
233921,2020-04-18,-3,761,малооблачно,-,ЮЗ 2м/с,-5,762,пасмурно,снег,ЮЗ 2м/с
233921,2020-04-19,-5,769,ясно,-,С 5м/с,-5,770,ясно,-,С 5м/с
233921,2020-04-20,-4,773,ясно,-,С 5м/с,-4,773,ясно,-,С 5м/с
233921,2020-04-21,-3,773,малооблачно,-,ЮЗ 3м/с,-4,771,малооблачно,-,ЮЗ 3м/с
233921,2020-04-22,-2,767,малооблачно,-,Ю 3м/с,-2,765,ясно,-,Ю 3м/с
233921,2020-04-23,0,761,малооблачно,-,Ю 4м/с,0,759,малооблачно,-,Ю 4м/с
233921,2020-04-24,+4,759,облачно,-,СВ 3м/с,+1,760,пасмурно,-,СВ 3м/с
233921,2020-04-25,+3,762,облачно,-,ЮЗ 3м/с,+1,762,пасмурно,-,ЮЗ 3м/с
233921,2020-04-26,+3,762,ясно,-,Ю 2м/с,+2,761,ясно,-,Ю 2м/с
233921,2020-04-27,+3,755,ясно,-,Ю 3м/с,+1,754,ясно,-,Ю 3м/с
233921,2020-04-28,-2,752,пасмурно,-,ЮВ 3м/с,-3,752,пасмурно,-,ЮВ 3м/с
233921,2020-04-29,-1,752,пасмурно,-,Ю 3м/с,-2,752,пасмурно,-,Ю 3м/с
233921,2020-04-30,-2,754,пасмурно,снег,ЮВ 9м/с,-2,754,пасмурно,снег,ЮВ 9м/с
