id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233959,2019-10-01,+16,759,ясно,-,СВ 1м/с,+10,758,ясно,-,СВ 1м/с
233959,2019-10-02,+14,755,малооблачно,-,С 7м/с,+8,761,пасмурно,-,С 7м/с
233959,2019-10-03,+7,764,пасмурно,-,С 4м/с,+7,766,малооблачно,-,С 4м/с
233959,2019-10-04,+8,765,ясно,-,Ю 2м/с,+2,765,ясно,-,Ю 2м/с
233959,2019-10-05,+9,761,ясно,-,Ю 1м/с,+6,761,ясно,-,Ю 1м/с
233959,2019-10-06,+11,760,малооблачно,-,Ю 1м/с,+11,761,пасмурно,-,Ю 1м/с
233959,2019-10-07,+13,757,ясно,-,ЮЗ 1м/с,+11,757,ясно,-,ЮЗ 1м/с
233959,2019-10-08,+14,750,ясно,-,ЮВ 6м/с,+11,749,малооблачно,-,ЮВ 6м/с
233959,2019-10-09,+12,747,малооблачно,-,СЗ 6м/с,+9,751,ясно,-,СЗ 6м/с
233959,2019-10-10,+18,750,ясно,-,В 2м/с,+11,752,облачно,-,В 2м/с
233959,2019-10-11,+10,757,ясно,-,ЮЗ 6м/с,+5,760,пасмурно,-,ЮЗ 6м/с
233959,2019-10-12,+5,762,ясно,-,З 6м/с,+2,764,ясно,-,З 6м/с
233959,2019-10-13,+5,761,ясно,-,ЮЗ 5м/с,+4,761,ясно,-,ЮЗ 5м/с
233959,2019-10-14,+3,758,облачно,-,З 5м/с,+2,758,ясно,-,З 5м/с
233959,2019-10-15,+5,758,ясно,-,З 6м/с,+5,759,ясно,-,З 6м/с
233959,2019-10-16,+6,759,пасмурно,-,Ш,+4,762,облачно,-,Ш
233959,2019-10-17,+8,764,ясно,-,Ш,+6,764,ясно,-,Ш
233959,2019-10-18,+12,764,ясно,-,ЮЗ 5м/с,+10,764,ясно,-,ЮЗ 5м/с
233959,2019-10-19,+13,761,ясно,-,Ю 1м/с,+7,761,малооблачно,-,Ю 1м/с
233959,2019-10-20,+10,759,ясно,-,СВ 1м/с,+3,760,ясно,-,СВ 1м/с
233959,2019-10-21,+10,758,облачно,-,Ш,+11,758,пасмурно,-,Ш
233959,2019-10-22,+11,758,малооблачно,-,ЮЗ 3м/с,+7,759,ясно,-,ЮЗ 3м/с
233959,2019-10-23,+7,764,пасмурно,-,СЗ 5м/с,+4,768,малооблачно,-,СЗ 5м/с
233959,2019-10-24,+7,769,малооблачно,-,ЮВ 3м/с,+6,769,ясно,-,ЮВ 3м/с
233959,2019-10-25,+11,764,ясно,-,ЮВ 4м/с,+9,761,малооблачно,-,ЮВ 4м/с
233959,2019-10-26,+10,755,пасмурно,-,ЮВ 3м/с,+9,753,пасмурно,-,ЮВ 3м/с
233959,2019-10-27,+5,752,пасмурно,-,СЗ 3м/с,+4,754,пасмурно,-,СЗ 3м/с
233959,2019-10-28,+6,757,малооблачно,-,ЮЗ 3м/с,+2,758,ясно,-,ЮЗ 3м/с
233959,2019-10-29,+9,754,малооблачно,-,ЮВ 2м/с,+7,752,пасмурно,-,ЮВ 2м/с
233959,2019-10-30,+3,749,пасмурно,-,З 5м/с,+3,752,пасмурно,-,З 5м/с
233959,2019-10-31,+6,750,малооблачно,-,З 1м/с,+4,751,пасмурно,-,З 1м/с
