id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233739,2020-01-01,-25,725,пасмурно,снег,С 2м/с,-24,725,пасмурно,снег,С 2м/с
233739,2020-01-02,-24,729,пасмурно,снег,С 2м/с,-27,731,пасмурно,снег,С 2м/с
233739,2020-01-03,-29,734,малооблачно,-,ЮЗ 1м/с,-35,736,ясно,-,ЮЗ 1м/с
233739,2020-01-04,-35,734,ясно,-,ЮЗ 1м/с,-36,734,ясно,-,ЮЗ 1м/с
233739,2020-01-05,-34,740,малооблачно,-,СВ 1м/с,-38,742,ясно,-,СВ 1м/с
233739,2020-01-06,-35,743,малооблачно,-,СВ 1м/с,-36,741,ясно,-,СВ 1м/с
233739,2020-01-07,-26,734,пасмурно,снег,СВ 2м/с,-24,732,пасмурно,снег,СВ 2м/с
233739,2020-01-08,-14,730,облачно,-,С 1м/с,-14,731,ясно,-,С 1м/с
233739,2020-01-09,-17,731,пасмурно,-,ЮЗ 2м/с,-16,734,облачно,-,ЮЗ 2м/с
233739,2020-01-10,-14,732,пасмурно,-,ЮЗ 1м/с,-22,732,облачно,-,ЮЗ 1м/с
233739,2020-01-11,-21,730,малооблачно,-,З 1м/с,-23,728,пасмурно,-,З 1м/с
233739,2020-01-12,-23,725,ясно,-,ЮЗ 3м/с,-27,727,ясно,-,ЮЗ 3м/с
233739,2020-01-13,-29,734,ясно,-,ЮЗ 1м/с,-30,735,ясно,-,ЮЗ 1м/с
233739,2020-01-14,-28,735,облачно,-,З 2м/с,-28,735,облачно,-,З 2м/с
233739,2020-01-15,-25,733,малооблачно,-,ЮЗ 2м/с,-26,732,малооблачно,-,ЮЗ 2м/с
233739,2020-01-16,-19,730,малооблачно,-,Ш,-21,728,ясно,-,Ш
233739,2020-01-17,-18,728,ясно,-,СВ 1м/с,-22,729,ясно,-,СВ 1м/с
233739,2020-01-18,-26,730,малооблачно,-,С 1м/с,-29,731,ясно,-,С 1м/с
233739,2020-01-19,-24,730,облачно,-,ЮЗ 1м/с,-27,730,пасмурно,-,ЮЗ 1м/с
233739,2020-01-20,-25,729,пасмурно,-,ЮЗ 3м/с,-26,730,малооблачно,-,ЮЗ 3м/с
233739,2020-01-21,-25,729,ясно,-,ЮЗ 1м/с,-29,731,ясно,-,ЮЗ 1м/с
233739,2020-01-22,-27,732,ясно,-,З 2м/с,-33,733,ясно,-,З 2м/с
233739,2020-01-23,-32,734,малооблачно,-,СВ 1м/с,-37,735,ясно,-,СВ 1м/с
233739,2020-01-24,-32,739,малооблачно,-,ЮЗ 2м/с,-34,741,малооблачно,-,ЮЗ 2м/с
233739,2020-01-25,-33,740,ясно,-,Ю 2м/с,-41,738,пасмурно,-,Ю 2м/с
233739,2020-01-26,-35,737,ясно,-,ЮЗ 3м/с,-39,738,ясно,-,ЮЗ 3м/с
233739,2020-01-27,-34,737,пасмурно,-,СВ 1м/с,-32,738,пасмурно,-,СВ 1м/с
233739,2020-01-28,-21,741,пасмурно,-,Ю 2м/с,-25,742,ясно,-,Ю 2м/с
233739,2020-01-29,-22,745,ясно,-,С 1м/с,-31,744,ясно,-,С 1м/с
233739,2020-01-30,-29,737,ясно,-,С 2м/с,-32,737,ясно,-,С 2м/с
233739,2020-01-31,-28,738,ясно,-,Ш,-32,739,ясно,-,Ш
