id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233810,2021-06-01,+22,744,малооблачно,-,ЮВ 2м/с,+17,745,пасмурно,-,ЮВ 2м/с
233810,2021-06-02,+18,745,облачно,гроза,СВ 1м/с,+11,745,малооблачно,-,СВ 1м/с
233810,2021-06-03,+15,739,пасмурно,-,ЮЗ 1м/с,+14,737,пасмурно,-,ЮЗ 1м/с
233810,2021-06-04,+13,727,малооблачно,-,З 1м/с,+12,728,пасмурно,-,З 1м/с
233810,2021-06-05,+20,729,пасмурно,-,СЗ 2м/с,+11,733,малооблачно,-,СЗ 2м/с
233810,2021-06-06,+20,737,малооблачно,-,С 2м/с,+11,740,малооблачно,-,С 2м/с
233810,2021-06-07,+23,743,пасмурно,-,Ш,+16,743,малооблачно,-,Ш
233810,2021-06-08,+27,745,ясно,-,СЗ 2м/с,+17,746,ясно,-,СЗ 2м/с
233810,2021-06-09,+30,746,ясно,-,СЗ 2м/с,+18,746,ясно,-,СЗ 2м/с
233810,2021-06-10,+29,744,малооблачно,-,З 2м/с,+21,743,пасмурно,-,З 2м/с
233810,2021-06-11,+20,742,пасмурно,-,Ю 3м/с,+17,741,пасмурно,-,Ю 3м/с
233810,2021-06-12,+21,740,пасмурно,гроза,СВ 3м/с,+17,741,пасмурно,-,СВ 3м/с
233810,2021-06-13,+24,742,малооблачно,-,С 2м/с,+15,743,ясно,-,С 2м/с
233810,2021-06-14,+25,743,ясно,-,С 1м/с,+12,743,ясно,-,С 1м/с
233810,2021-06-15,+29,741,ясно,-,ЮВ 1м/с,+16,741,ясно,-,ЮВ 1м/с
233810,2021-06-16,+29,741,ясно,-,Ю 2м/с,+19,741,ясно,-,Ю 2м/с
233810,2021-06-17,+29,738,пасмурно,-,Ю 2м/с,+18,738,малооблачно,-,Ю 2м/с
233810,2021-06-18,+27,736,пасмурно,-,ЮЗ 1м/с,+19,738,пасмурно,-,ЮЗ 1м/с
233810,2021-06-19,+24,738,облачно,-,ЮЗ 1м/с,+19,739,малооблачно,-,ЮЗ 1м/с
233810,2021-06-20,+22,740,малооблачно,-,СЗ 2м/с,+12,741,ясно,-,СЗ 2м/с
233810,2021-06-21,+25,741,ясно,-,СЗ 3м/с,+14,743,ясно,-,СЗ 3м/с
233810,2021-06-22,+28,743,ясно,-,СЗ 2м/с,+17,743,облачно,-,СЗ 2м/с
233810,2021-06-23,+29,742,ясно,-,СЗ 2м/с,+17,743,ясно,-,СЗ 2м/с
233810,2021-06-24,+23,741,облачно,-,Ю 3м/с,+19,742,малооблачно,-,Ю 3м/с
233810,2021-06-25,+29,739,малооблачно,-,З 4м/с,+24,740,пасмурно,-,З 4м/с
233810,2021-06-26,+27,742,облачно,гроза,З 1м/с,+19,743,малооблачно,-,З 1м/с
233810,2021-06-27,+28,741,облачно,-,Ш,+21,742,ясно,-,Ш
233810,2021-06-28,+23,740,пасмурно,гроза,Ш,+19,740,малооблачно,-,Ш
233810,2021-06-29,+20,740,облачно,-,Ю 2м/с,+16,742,пасмурно,гроза,Ю 2м/с
233810,2021-06-30,+15,743,пасмурно,-,С 1м/с,+15,744,пасмурно,-,С 1м/с
