id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233818,2020-03-01,+3,742,малооблачно,-,Ю 1м/с,-8,743,пасмурно,-,Ю 1м/с
233818,2020-03-02,+2,743,малооблачно,-,СЗ 2м/с,-3,744,малооблачно,-,СЗ 2м/с
233818,2020-03-03,+1,745,облачно,-,СЗ 2м/с,-9,746,ясно,-,СЗ 2м/с
233818,2020-03-04,+4,741,малооблачно,-,Ш,-3,740,ясно,-,Ш
233818,2020-03-05,+2,737,ясно,-,С 4м/с,-8,740,ясно,-,С 4м/с
233818,2020-03-06,0,741,облачно,-,СЗ 2м/с,-8,742,ясно,-,СЗ 2м/с
233818,2020-03-07,+2,739,пасмурно,-,Ю 2м/с,0,738,пасмурно,-,Ю 2м/с
233818,2020-03-08,+3,737,пасмурно,-,ЮЗ 4м/с,-3,737,облачно,-,ЮЗ 4м/с
233818,2020-03-09,+2,738,ясно,-,ЮЗ 4м/с,-9,740,ясно,-,ЮЗ 4м/с
233818,2020-03-10,+3,736,ясно,-,ЮВ 1м/с,-2,732,пасмурно,-,ЮВ 1м/с
233818,2020-03-11,-2,728,ясно,-,С 4м/с,-11,731,ясно,-,С 4м/с
233818,2020-03-12,+1,730,пасмурно,-,ЮЗ 3м/с,-3,730,пасмурно,-,ЮЗ 3м/с
233818,2020-03-13,-8,733,пасмурно,-,ЮЗ 2м/с,-10,735,ясно,-,ЮЗ 2м/с
233818,2020-03-14,-5,731,пасмурно,снег,Ю 2м/с,-9,732,ясно,-,Ю 2м/с
233818,2020-03-15,-3,734,малооблачно,-,С 4м/с,-14,735,ясно,-,С 4м/с
233818,2020-03-16,0,731,малооблачно,-,З 4м/с,-3,732,пасмурно,-,З 4м/с
233818,2020-03-17,+4,728,ясно,-,Ю 3м/с,-7,729,ясно,-,Ю 3м/с
233818,2020-03-18,+5,728,пасмурно,-,ЮЗ 2м/с,0,728,пасмурно,-,ЮЗ 2м/с
233818,2020-03-19,+3,724,пасмурно,-,Ю 1м/с,+1,724,пасмурно,-,Ю 1м/с
233818,2020-03-20,+1,722,пасмурно,-,С 3м/с,-5,725,ясно,-,С 3м/с
233818,2020-03-21,+3,728,облачно,-,СЗ 4м/с,-5,730,ясно,-,СЗ 4м/с
233818,2020-03-22,+3,730,пасмурно,-,СВ 1м/с,-2,733,малооблачно,-,СВ 1м/с
233818,2020-03-23,+4,734,пасмурно,-,СЗ 2м/с,-4,736,ясно,-,СЗ 2м/с
233818,2020-03-24,+6,737,ясно,-,СЗ 2м/с,-5,738,ясно,-,СЗ 2м/с
233818,2020-03-25,+12,737,ясно,-,Ю 1м/с,-2,738,ясно,-,Ю 1м/с
233818,2020-03-26,+13,734,ясно,-,ЮЗ 2м/с,+5,737,пасмурно,-,ЮЗ 2м/с
233818,2020-03-27,-1,734,пасмурно,снег,З 3м/с,-6,734,ясно,-,З 3м/с
233818,2020-03-28,-3,734,пасмурно,-,З 4м/с,-7,737,малооблачно,-,З 4м/с
233818,2020-03-29,+8,735,ясно,-,ЮЗ 4м/с,-3,737,ясно,-,ЮЗ 4м/с
233818,2020-03-30,+11,735,ясно,-,ЮЗ 3м/с,0,737,облачно,-,ЮЗ 3м/с
233818,2020-03-31,+13,732,малооблачно,-,ЮЗ 4м/с,+3,734,пасмурно,-,ЮЗ 4м/с
