id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233962,2021-11-01,+1,769,ясно,-,Ю 1м/с,-3,768,ясно,-,Ю 1м/с
233962,2021-11-02,+4,765,ясно,-,ЮВ 2м/с,-1,765,ясно,-,ЮВ 2м/с
233962,2021-11-03,+6,762,ясно,-,Ш,+1,762,ясно,-,Ш
233962,2021-11-04,-2,761,облачно,-,СВ 3м/с,-4,763,ясно,-,СВ 3м/с
233962,2021-11-05,+2,764,ясно,-,Ш,0,764,ясно,-,Ш
233962,2021-11-06,+8,752,пасмурно,-,ЮВ 5м/с,-2,755,пасмурно,снег,ЮВ 5м/с
233962,2021-11-07,-3,764,ясно,-,З 5м/с,-5,766,ясно,-,З 5м/с
233962,2021-11-08,-2,767,ясно,-,З 2м/с,-8,768,ясно,-,З 2м/с
233962,2021-11-09,+2,758,пасмурно,-,В 3м/с,+3,755,пасмурно,-,В 3м/с
233962,2021-11-10,+2,744,пасмурно,-,С 2м/с,+4,734,пасмурно,-,С 2м/с
233962,2021-11-11,+3,742,пасмурно,-,С 1м/с,-1,743,пасмурно,снег,С 1м/с
233962,2021-11-12,0,744,пасмурно,-,ЮЗ 5м/с,-1,746,пасмурно,-,ЮЗ 5м/с
233962,2021-11-13,-2,748,ясно,-,ЮЗ 6м/с,-3,750,ясно,-,ЮЗ 6м/с
233962,2021-11-14,-1,752,ясно,-,ЮЗ 5м/с,-4,752,ясно,-,ЮЗ 5м/с
233962,2021-11-15,-4,754,пасмурно,-,З 5м/с,-7,755,ясно,-,З 5м/с
233962,2021-11-16,-5,755,ясно,-,СЗ 3м/с,-9,757,ясно,-,СЗ 3м/с
233962,2021-11-17,-4,757,ясно,-,З 4м/с,-6,758,ясно,-,З 4м/с
233962,2021-11-18,-5,755,облачно,-,С 3м/с,-5,755,пасмурно,снег,С 3м/с
233962,2021-11-19,-4,758,пасмурно,снег,С 3м/с,-6,761,пасмурно,-,С 3м/с
233962,2021-11-20,-5,765,пасмурно,-,З 3м/с,-7,767,пасмурно,-,З 3м/с
233962,2021-11-21,-7,768,ясно,-,З 2м/с,-10,769,ясно,-,З 2м/с
233962,2021-11-22,-7,764,пасмурно,-,СВ 3м/с,-2,758,пасмурно,-,СВ 3м/с
233962,2021-11-23,0,740,пасмурно,снег,СВ 8м/с,0,737,пасмурно,снег,СВ 8м/с
233962,2021-11-24,-8,748,ясно,-,ЮЗ 1м/с,-9,750,ясно,-,ЮЗ 1м/с
233962,2021-11-25,-4,752,малооблачно,-,З 2м/с,-5,752,пасмурно,снег,З 2м/с
233962,2021-11-26,0,758,пасмурно,-,С 6м/с,-1,761,пасмурно,-,С 6м/с
233962,2021-11-27,-5,764,ясно,-,З 4м/с,-7,765,ясно,-,З 4м/с
233962,2021-11-28,-6,764,малооблачно,-,З 2м/с,-10,762,ясно,-,З 2м/с
233962,2021-11-29,-6,760,пасмурно,снег,С 3м/с,-9,764,малооблачно,-,С 3м/с
233962,2021-11-30,-11,761,малооблачно,-,С 2м/с,-15,761,облачно,-,С 2м/с
