id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233845,2017-10-01,+12,751,малооблачно,-,Ш,+7,749,малооблачно,-,Ш
233845,2017-10-02,+7,754,облачно,-,СЗ 5м/с,+1,755,малооблачно,-,СЗ 5м/с
233845,2017-10-03,+7,757,пасмурно,-,С 6м/с,+6,759,пасмурно,-,С 6м/с
233845,2017-10-04,+7,758,облачно,-,З 3м/с,-3,760,ясно,-,З 3м/с
233845,2017-10-05,+8,760,малооблачно,-,СЗ 3м/с,-3,762,ясно,-,СЗ 3м/с
233845,2017-10-06,+10,765,малооблачно,-,СЗ 1м/с,+3,764,малооблачно,-,СЗ 1м/с
233845,2017-10-07,+5,762,пасмурно,-,З 1м/с,+4,764,облачно,-,З 1м/с
233845,2017-10-08,+6,767,пасмурно,-,З 1м/с,-2,768,ясно,-,З 1м/с
233845,2017-10-09,+8,764,малооблачно,-,СЗ 4м/с,-3,764,малооблачно,-,СЗ 4м/с
233845,2017-10-10,+4,764,малооблачно,-,СЗ 4м/с,+2,766,малооблачно,-,СЗ 4м/с
233845,2017-10-11,+8,765,ясно,-,СЗ 2м/с,-4,765,ясно,-,СЗ 2м/с
233845,2017-10-12,+7,760,малооблачно,-,С 1м/с,-3,760,малооблачно,-,С 1м/с
233845,2017-10-13,+6,759,облачно,-,З 1м/с,0,761,облачно,-,З 1м/с
233845,2017-10-14,+5,761,пасмурно,-,СЗ 2м/с,-4,762,ясно,-,СЗ 2м/с
233845,2017-10-15,+6,762,ясно,-,С 4м/с,-6,764,малооблачно,-,С 4м/с
233845,2017-10-16,+3,763,пасмурно,-,СЗ 3м/с,-5,764,малооблачно,-,СЗ 3м/с
233845,2017-10-17,+1,764,малооблачно,-,З 5м/с,-1,765,ясно,-,З 5м/с
233845,2017-10-18,+4,767,малооблачно,-,З 2м/с,-9,767,ясно,-,З 2м/с
233845,2017-10-19,+4,765,ясно,-,СЗ 1м/с,-8,766,ясно,-,СЗ 1м/с
233845,2017-10-20,+3,766,ясно,-,В 2м/с,-3,765,ясно,-,В 2м/с
233845,2017-10-21,+2,754,пасмурно,-,Ю 1м/с,-1,755,малооблачно,-,Ю 1м/с
233845,2017-10-22,-1,756,пасмурно,снег,ЮЗ 4м/с,+2,758,малооблачно,-,ЮЗ 4м/с
233845,2017-10-23,+5,756,ясно,-,СЗ 4м/с,-7,756,ясно,-,СЗ 4м/с
233845,2017-10-24,+7,753,малооблачно,-,З 2м/с,-1,752,малооблачно,-,З 2м/с
233845,2017-10-25,+3,755,облачно,-,З 3м/с,-1,758,ясно,-,З 3м/с
233845,2017-10-26,+3,760,малооблачно,-,З 4м/с,-8,761,ясно,-,З 4м/с
233845,2017-10-27,+5,764,ясно,-,В 1м/с,-9,764,ясно,-,В 1м/с
233845,2017-10-28,+5,756,малооблачно,-,В 1м/с,+13,752,малооблачно,-,В 1м/с
233845,2017-10-29,0,754,пасмурно,снег,З 1м/с,-4,755,ясно,-,З 1м/с
233845,2017-10-30,-3,753,малооблачно,-,З 5м/с,-6,753,облачно,-,З 5м/с
233845,2017-10-31,-2,753,ясно,-,З 4м/с,-14,754,ясно,-,З 4м/с
