id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
234001,2018-10-01,+15,744,ясно,-,СВ 6м/с,+9,745,ясно,-,СВ 6м/с
234001,2018-10-02,+15,746,малооблачно,-,Ю 5м/с,+10,746,малооблачно,-,Ю 5м/с
234001,2018-10-03,+17,755,малооблачно,-,З 7м/с,+11,758,облачно,-,З 7м/с
234001,2018-10-04,+21,762,ясно,-,ЮЗ 6м/с,+13,763,ясно,-,ЮЗ 6м/с
234001,2018-10-05,+22,759,ясно,-,З 5м/с,+12,758,ясно,-,З 5м/с
234001,2018-10-06,+22,754,ясно,-,В 2м/с,+14,752,малооблачно,-,В 2м/с
234001,2018-10-07,+16,750,малооблачно,-,ЮЗ 5м/с,+11,752,облачно,-,ЮЗ 5м/с
234001,2018-10-08,+15,752,малооблачно,-,ЮЗ 3м/с,+10,752,малооблачно,-,ЮЗ 3м/с
234001,2018-10-09,+9,752,малооблачно,-,З 4м/с,+6,755,малооблачно,-,З 4м/с
234001,2018-10-10,+12,757,ясно,-,ЮЗ 4м/с,+5,757,ясно,-,ЮЗ 4м/с
234001,2018-10-11,+12,754,ясно,-,ЮЗ 3м/с,+4,755,ясно,-,ЮЗ 3м/с
234001,2018-10-12,+13,756,ясно,-,З 2м/с,+7,758,ясно,-,З 2м/с
234001,2018-10-13,+19,757,ясно,-,ЮЗ 4м/с,+13,757,ясно,-,ЮЗ 4м/с
234001,2018-10-14,+18,754,ясно,-,ЮЗ 6м/с,+12,752,малооблачно,-,ЮЗ 6м/с
234001,2018-10-15,+8,755,малооблачно,-,З 7м/с,+4,755,облачно,-,З 7м/с
234001,2018-10-16,+4,754,пасмурно,-,С 3м/с,+4,756,облачно,-,С 3м/с
234001,2018-10-17,+2,755,облачно,-,СВ 6м/с,-2,758,малооблачно,-,СВ 6м/с
234001,2018-10-18,+9,759,ясно,-,ЮЗ 7м/с,+7,758,ясно,-,ЮЗ 7м/с
234001,2018-10-19,+12,756,ясно,-,ЮЗ 4м/с,+3,757,ясно,-,ЮЗ 4м/с
234001,2018-10-20,+13,755,ясно,-,ЮЗ 7м/с,+9,755,ясно,-,ЮЗ 7м/с
234001,2018-10-21,+11,760,ясно,-,СЗ 3м/с,+3,761,ясно,-,СЗ 3м/с
234001,2018-10-22,+17,758,ясно,-,Ю 2м/с,+6,758,ясно,-,Ю 2м/с
234001,2018-10-23,+17,754,малооблачно,-,Ю 4м/с,+13,752,малооблачно,-,Ю 4м/с
234001,2018-10-24,+9,749,облачно,-,З 6м/с,+7,752,пасмурно,-,З 6м/с
234001,2018-10-25,+10,754,ясно,-,З 8м/с,+5,757,ясно,-,З 8м/с
234001,2018-10-26,+10,752,облачно,-,В 2м/с,+5,749,малооблачно,-,В 2м/с
234001,2018-10-27,+4,735,пасмурно,-,З 6м/с,+3,737,пасмурно,-,З 6м/с
234001,2018-10-28,+2,746,малооблачно,-,ЮЗ 2м/с,0,749,облачно,-,ЮЗ 2м/с
234001,2018-10-29,+3,749,пасмурно,-,С 4м/с,+1,749,пасмурно,-,С 4м/с
234001,2018-10-30,+4,749,пасмурно,-,СЗ 2м/с,+3,751,малооблачно,-,СЗ 2м/с
234001,2018-10-31,+8,755,малооблачно,-,Ю 1м/с,+4,756,малооблачно,-,Ю 1м/с
