id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233902,2016-10-01,+12,758,пасмурно,-,Ю 8м/с,+10,758,пасмурно,-,Ю 8м/с
233902,2016-10-02,+11,749,пасмурно,-,СЗ 7м/с,+10,752,пасмурно,-,СЗ 7м/с
233902,2016-10-03,+9,756,малооблачно,-,СЗ 5м/с,+4,756,пасмурно,-,СЗ 5м/с
233902,2016-10-04,+5,755,пасмурно,-,С 11м/с,+4,758,пасмурно,-,С 11м/с
233902,2016-10-05,+5,758,пасмурно,-,ЮЗ 6м/с,+4,756,пасмурно,-,ЮЗ 6м/с
233902,2016-10-06,+5,752,пасмурно,-,З 11м/с,+4,753,малооблачно,-,З 11м/с
233902,2016-10-07,+6,755,пасмурно,-,СЗ 10м/с,+4,755,облачно,-,СЗ 10м/с
233902,2016-10-08,+6,754,малооблачно,-,СЗ 6м/с,+5,754,ясно,-,СЗ 6м/с
233902,2016-10-09,+6,751,облачно,-,СЗ 5м/с,+4,752,пасмурно,-,СЗ 5м/с
233902,2016-10-10,+5,752,пасмурно,-,З 6м/с,+4,754,облачно,-,З 6м/с
233902,2016-10-11,+5,755,пасмурно,-,С 5м/с,+1,757,пасмурно,-,С 5м/с
233902,2016-10-12,+4,758,малооблачно,-,СЗ 7м/с,+1,758,малооблачно,-,СЗ 7м/с
233902,2016-10-13,+4,759,ясно,-,С 3м/с,+1,761,малооблачно,-,С 3м/с
233902,2016-10-14,+4,761,пасмурно,-,ЮЗ 3м/с,-3,761,малооблачно,-,ЮЗ 3м/с
233902,2016-10-15,+5,758,пасмурно,-,С 8м/с,+4,761,ясно,-,С 8м/с
233902,2016-10-16,+5,764,малооблачно,-,Ю 5м/с,-1,764,облачно,-,Ю 5м/с
233902,2016-10-17,+4,755,пасмурно,-,СЗ 2м/с,+9,751,пасмурно,-,СЗ 2м/с
233902,2016-10-18,+6,754,облачно,-,З 7м/с,+3,755,малооблачно,-,З 7м/с
233902,2016-10-19,+3,754,малооблачно,-,З 8м/с,0,754,малооблачно,-,З 8м/с
233902,2016-10-20,+1,753,облачно,-,З 11м/с,-1,754,пасмурно,-,З 11м/с
233902,2016-10-21,+1,760,пасмурно,-,СЗ 17м/с,+1,763,пасмурно,-,СЗ 17м/с
233902,2016-10-22,0,758,облачно,-,СЗ 7м/с,-2,756,малооблачно,-,СЗ 7м/с
233902,2016-10-23,-2,750,облачно,-,З 9м/с,-3,749,малооблачно,-,З 9м/с
233902,2016-10-24,-1,749,облачно,-,СЗ 11м/с,-,-,-,-,-
233902,2016-10-25,+2,752,ясно,-,ЮЗ 5м/с,0,750,ясно,-,ЮЗ 5м/с
233902,2016-10-26,0,749,малооблачно,-,СЗ 10м/с,-2,751,малооблачно,-,СЗ 10м/с
233902,2016-10-27,-2,752,малооблачно,-,СЗ 11м/с,-3,752,ясно,-,СЗ 11м/с
233902,2016-10-28,-2,752,пасмурно,-,З 8м/с,-3,752,пасмурно,-,З 8м/с
233902,2016-10-29,-5,752,пасмурно,-,З 8м/с,-7,755,пасмурно,-,З 8м/с
233902,2016-10-30,-6,756,облачно,-,СЗ 8м/с,-7,757,малооблачно,-,СЗ 8м/с
233902,2016-10-31,-6,758,облачно,-,З 5м/с,-7,759,малооблачно,-,З 5м/с
