id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233797,2020-11-01,+8,747,облачно,-,ЮВ 3м/с,+4,749,пасмурно,-,ЮВ 3м/с
233797,2020-11-02,+3,748,облачно,-,Ю 1м/с,-1,748,ясно,-,Ю 1м/с
233797,2020-11-03,-4,744,пасмурно,снег,ЮЗ 2м/с,-6,744,пасмурно,снег,ЮЗ 2м/с
233797,2020-11-04,-3,746,пасмурно,-,ЮЗ 5м/с,-3,748,ясно,-,ЮЗ 5м/с
233797,2020-11-05,+3,750,ясно,-,ЮЗ 4м/с,0,752,пасмурно,-,ЮЗ 4м/с
233797,2020-11-06,-2,746,пасмурно,снег,С 1м/с,-2,747,пасмурно,-,С 1м/с
233797,2020-11-07,-1,747,пасмурно,-,ЮЗ 2м/с,-2,749,пасмурно,снег,ЮЗ 2м/с
233797,2020-11-08,-1,747,малооблачно,-,СЗ 2м/с,-3,749,пасмурно,-,СЗ 2м/с
233797,2020-11-09,-6,752,пасмурно,-,З 3м/с,-10,754,ясно,-,З 3м/с
233797,2020-11-10,-8,757,малооблачно,-,З 2м/с,-18,760,ясно,-,З 2м/с
233797,2020-11-11,-1,761,ясно,-,ЮВ 3м/с,-3,761,ясно,-,ЮВ 3м/с
233797,2020-11-12,+8,753,ясно,-,Ю 3м/с,+6,752,пасмурно,-,Ю 3м/с
233797,2020-11-13,-3,754,пасмурно,снег,ЮЗ 2м/с,-1,757,пасмурно,-,ЮЗ 2м/с
233797,2020-11-14,+4,761,ясно,-,Ю 2м/с,-1,759,ясно,-,Ю 2м/с
233797,2020-11-15,+6,752,ясно,-,ЮЗ 2м/с,+1,753,пасмурно,-,ЮЗ 2м/с
233797,2020-11-16,-2,758,ясно,-,З 4м/с,-4,760,ясно,-,З 4м/с
233797,2020-11-17,-3,760,пасмурно,-,ЮЗ 1м/с,-7,759,ясно,-,ЮЗ 1м/с
233797,2020-11-18,-2,759,ясно,-,З 4м/с,-8,760,ясно,-,З 4м/с
233797,2020-11-19,-5,753,пасмурно,-,С 3м/с,-6,750,пасмурно,-,С 3м/с
233797,2020-11-20,-3,752,ясно,-,С 2м/с,-7,755,пасмурно,-,С 2м/с
233797,2020-11-21,-4,755,пасмурно,-,ЮВ 3м/с,-6,755,пасмурно,-,ЮВ 3м/с
233797,2020-11-22,-8,754,малооблачно,-,З 5м/с,-11,755,ясно,-,З 5м/с
233797,2020-11-23,-8,751,пасмурно,снег,Ю 2м/с,-9,752,пасмурно,снег,Ю 2м/с
233797,2020-11-24,-2,755,ясно,-,Ю 4м/с,-6,757,ясно,-,Ю 4м/с
233797,2020-11-25,-1,755,малооблачно,-,ЮЗ 2м/с,-4,755,пасмурно,-,ЮЗ 2м/с
233797,2020-11-26,-7,757,пасмурно,-,ЮЗ 3м/с,-10,758,ясно,-,ЮЗ 3м/с
233797,2020-11-27,-7,755,ясно,-,ЮЗ 4м/с,-11,755,ясно,-,ЮЗ 4м/с
233797,2020-11-28,-8,755,ясно,-,ЮЗ 3м/с,-11,755,ясно,-,ЮЗ 3м/с
233797,2020-11-29,-8,756,малооблачно,-,ЮЗ 3м/с,-11,758,пасмурно,-,ЮЗ 3м/с
233797,2020-11-30,-9,758,пасмурно,-,ЮЗ 3м/с,-11,759,пасмурно,снег,ЮЗ 3м/с
