id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233924,2019-02-01,-14,750,малооблачно,-,С 4м/с,-10,746,малооблачно,-,С 4м/с
233924,2019-02-02,-7,746,малооблачно,-,СВ 3м/с,-12,747,малооблачно,-,СВ 3м/с
233924,2019-02-03,-11,748,пасмурно,-,С 3м/с,-12,749,облачно,-,С 3м/с
233924,2019-02-04,-14,751,пасмурно,-,С 3м/с,-15,752,пасмурно,снег,С 3м/с
233924,2019-02-05,-19,753,малооблачно,-,С 4м/с,-21,755,ясно,-,С 4м/с
233924,2019-02-06,-21,755,ясно,-,С 3м/с,-22,755,ясно,-,С 3м/с
233924,2019-02-07,-20,752,ясно,-,С 4м/с,-19,752,пасмурно,-,С 4м/с
233924,2019-02-08,-17,753,малооблачно,-,С 3м/с,-17,754,облачно,-,С 3м/с
233924,2019-02-09,-18,754,малооблачно,-,С 4м/с,-20,754,малооблачно,-,С 4м/с
233924,2019-02-10,-19,758,ясно,-,С 2м/с,-21,760,ясно,-,С 2м/с
233924,2019-02-11,-22,761,ясно,-,С 4м/с,-23,761,ясно,-,С 4м/с
233924,2019-02-12,-22,758,ясно,-,С 5м/с,-24,758,ясно,-,С 5м/с
233924,2019-02-13,-22,762,малооблачно,-,С 4м/с,-23,764,ясно,-,С 4м/с
233924,2019-02-14,-24,761,ясно,-,С 4м/с,-25,758,ясно,-,С 4м/с
233924,2019-02-15,-18,749,ясно,-,С 6м/с,-21,747,ясно,-,С 6м/с
233924,2019-02-16,-19,744,ясно,-,С 3м/с,-21,743,ясно,-,С 3м/с
233924,2019-02-17,-19,745,ясно,-,С 4м/с,-20,747,ясно,-,С 4м/с
233924,2019-02-18,-17,752,облачно,-,С 3м/с,-17,754,облачно,-,С 3м/с
233924,2019-02-19,-15,759,ясно,-,С 4м/с,-17,760,ясно,-,С 4м/с
233924,2019-02-20,-18,761,ясно,-,С 3м/с,-19,761,малооблачно,-,С 3м/с
233924,2019-02-21,-17,762,ясно,-,С 3м/с,-18,761,ясно,-,С 3м/с
233924,2019-02-22,-16,758,ясно,-,С 3м/с,-18,756,ясно,-,С 3м/с
233924,2019-02-23,-17,753,малооблачно,-,С 4м/с,-19,753,ясно,-,С 4м/с
233924,2019-02-24,-15,754,ясно,-,С 3м/с,-17,753,ясно,-,С 3м/с
233924,2019-02-25,-14,753,ясно,-,С 4м/с,-16,755,ясно,-,С 4м/с
233924,2019-02-26,-14,755,ясно,-,С 4м/с,-17,751,ясно,-,С 4м/с
233924,2019-02-27,-13,745,малооблачно,-,С 4м/с,-14,745,малооблачно,-,С 4м/с
233924,2019-02-28,-12,751,малооблачно,-,С 2м/с,-13,753,малооблачно,-,С 2м/с
