id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233740,2017-04-01,+5,725,малооблачно,-,СВ 1м/с,-2,725,ясно,-,СВ 1м/с
233740,2017-04-02,+1,726,пасмурно,-,Ю 2м/с,-3,728,пасмурно,-,Ю 2м/с
233740,2017-04-03,+6,727,малооблачно,-,Ю 3м/с,+1,728,облачно,-,Ю 3м/с
233740,2017-04-04,-2,728,пасмурно,-,С 5м/с,-6,731,ясно,-,С 5м/с
233740,2017-04-05,-1,729,пасмурно,-,С 3м/с,-5,730,ясно,-,С 3м/с
233740,2017-04-06,+1,728,ясно,-,СЗ 1м/с,-8,728,ясно,-,СЗ 1м/с
233740,2017-04-07,+3,729,малооблачно,-,Ю 2м/с,-3,728,ясно,-,Ю 2м/с
233740,2017-04-08,+5,724,облачно,-,Ю 1м/с,-1,725,малооблачно,-,Ю 1м/с
233740,2017-04-09,+4,725,пасмурно,-,Ю 2м/с,0,725,облачно,-,Ю 2м/с
233740,2017-04-10,-3,722,пасмурно,-,Ю 5м/с,-6,722,пасмурно,-,Ю 5м/с
233740,2017-04-11,-5,719,пасмурно,снег,С 5м/с,-7,719,пасмурно,снег,С 5м/с
233740,2017-04-12,-2,717,облачно,-,Ю 2м/с,-7,719,облачно,-,Ю 2м/с
233740,2017-04-13,0,719,ясно,-,Ю 1м/с,-4,719,ясно,-,Ю 1м/с
233740,2017-04-14,+3,716,ясно,-,Ю 1м/с,-5,716,ясно,-,Ю 1м/с
233740,2017-04-15,+4,719,пасмурно,-,С 3м/с,+1,722,малооблачно,-,С 3м/с
233740,2017-04-16,+4,725,пасмурно,-,С 3м/с,+1,726,малооблачно,-,С 3м/с
233740,2017-04-17,+3,727,малооблачно,-,СЗ 2м/с,-3,728,малооблачно,-,СЗ 2м/с
233740,2017-04-18,+5,729,малооблачно,-,С 1м/с,0,730,пасмурно,-,С 1м/с
233740,2017-04-19,+4,732,пасмурно,-,Ю 4м/с,-1,734,малооблачно,-,Ю 4м/с
233740,2017-04-20,+7,731,ясно,-,ЮВ 1м/с,+2,731,ясно,-,ЮВ 1м/с
233740,2017-04-21,+8,730,пасмурно,-,Ю 3м/с,+3,731,малооблачно,-,Ю 3м/с
233740,2017-04-22,+9,733,малооблачно,-,ЮВ 2м/с,+5,734,облачно,-,ЮВ 2м/с
233740,2017-04-23,+6,735,пасмурно,-,С 2м/с,+3,736,пасмурно,-,С 2м/с
233740,2017-04-24,+8,737,ясно,-,С 2м/с,+4,737,ясно,-,С 2м/с
233740,2017-04-25,+10,734,малооблачно,-,СВ 2м/с,+4,732,малооблачно,-,СВ 2м/с
233740,2017-04-26,+9,727,малооблачно,-,С 3м/с,+4,726,ясно,-,С 3м/с
233740,2017-04-27,+9,721,малооблачно,-,Ю 2м/с,+5,721,малооблачно,-,Ю 2м/с
233740,2017-04-28,+8,719,облачно,-,Ю 2м/с,+2,719,малооблачно,-,Ю 2м/с
233740,2017-04-29,+10,720,облачно,-,СВ 2м/с,+5,723,малооблачно,-,СВ 2м/с
233740,2017-04-30,+12,727,малооблачно,-,ЮЗ 2м/с,+5,726,малооблачно,-,ЮЗ 2м/с
