id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233908,2018-09-01,+16,759,пасмурно,-,С 4м/с,+12,759,пасмурно,-,С 4м/с
233908,2018-09-02,,,-,-,,+10,761,малооблачно,-,Ш
233908,2018-09-03,,,-,-,,+15,760,малооблачно,-,Ш
233908,2018-09-04,+17,758,малооблачно,-,Ю 4м/с,+15,757,пасмурно,-,Ю 4м/с
233908,2018-09-05,+12,744,пасмурно,-,В 12м/с,-,-,-,-,-
233908,2018-09-06,+18,740,облачно,-,Ю 4м/с,+16,743,облачно,-,Ю 4м/с
233908,2018-09-07,+17,748,малооблачно,-,Ю 6м/с,+17,748,пасмурно,-,Ю 6м/с
233908,2018-09-08,+18,746,малооблачно,-,З 6м/с,+11,749,малооблачно,-,З 6м/с
233908,2018-09-09,+12,754,облачно,-,ЮЗ 6м/с,+5,757,пасмурно,-,ЮЗ 6м/с
233908,2018-09-10,+12,761,пасмурно,-,Ю 4м/с,+3,762,малооблачно,-,Ю 4м/с
233908,2018-09-11,+18,761,малооблачно,-,ЮЗ 4м/с,+8,761,малооблачно,-,ЮЗ 4м/с
233908,2018-09-12,+17,761,облачно,-,В 4м/с,+13,761,малооблачно,-,В 4м/с
233908,2018-09-13,+18,757,малооблачно,-,Ю 4м/с,+15,757,пасмурно,-,Ю 4м/с
233908,2018-09-14,,,-,-,,+10,758,пасмурно,-,Ш
233908,2018-09-15,+15,757,малооблачно,-,Ю 4м/с,+15,753,облачно,-,Ю 4м/с
233908,2018-09-16,+16,749,малооблачно,-,З 4м/с,+9,749,пасмурно,-,З 4м/с
233908,2018-09-17,+12,749,малооблачно,-,В 2м/с,+8,749,малооблачно,-,В 2м/с
233908,2018-09-20,,,-,-,,+10,757,пасмурно,-,Ш
233908,2018-09-21,+15,761,облачно,-,З 4м/с,+5,763,малооблачно,-,З 4м/с
233908,2018-09-22,+14,763,малооблачно,-,В 2м/с,+4,764,пасмурно,-,В 2м/с
233908,2018-09-23,+13,761,пасмурно,-,В 2м/с,+6,760,пасмурно,-,В 2м/с
233908,2018-09-24,+12,757,пасмурно,-,С 2м/с,+8,758,ясно,-,С 2м/с
233908,2018-09-25,+12,759,облачно,-,С 4м/с,+6,762,малооблачно,-,С 4м/с
233908,2018-09-26,+14,762,ясно,-,В 4м/с,+5,763,ясно,-,В 4м/с
233908,2018-09-27,+16,764,ясно,-,Ю 4м/с,+9,764,ясно,-,Ю 4м/с
233908,2018-09-28,+16,760,ясно,-,Ю 4м/с,+14,759,ясно,-,Ю 4м/с
233908,2018-09-29,+14,757,облачно,-,В 2м/с,+8,758,пасмурно,-,В 2м/с
233908,2018-09-30,,,-,-,,+7,752,пасмурно,-,Ш
