id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233861,2016-07-01,+18,749,пасмурно,-,СВ 2м/с,+16,749,малооблачно,-,СВ 2м/с
233861,2016-07-02,+18,749,пасмурно,-,СВ 1м/с,+16,749,облачно,-,СВ 1м/с
233861,2016-07-03,+17,752,пасмурно,-,С 2м/с,+16,754,облачно,-,С 2м/с
233861,2016-07-04,+25,756,ясно,-,С 2м/с,+20,756,ясно,-,С 2м/с
233861,2016-07-05,+30,753,малооблачно,-,ЮЗ 4м/с,+25,753,ясно,-,ЮЗ 4м/с
233861,2016-07-06,+25,749,малооблачно,-,З 3м/с,+23,748,малооблачно,-,З 3м/с
233861,2016-07-07,+23,744,пасмурно,гроза,СВ 3м/с,+18,746,малооблачно,-,СВ 3м/с
233861,2016-07-08,+24,748,малооблачно,-,СЗ 2м/с,+19,748,ясно,-,СЗ 2м/с
233861,2016-07-09,+23,748,малооблачно,-,СВ 3м/с,+19,748,малооблачно,-,СВ 3м/с
233861,2016-07-10,+25,746,ясно,-,В 3м/с,+18,747,пасмурно,-,В 3м/с
233861,2016-07-11,+25,744,облачно,-,В 1м/с,+21,743,малооблачно,-,В 1м/с
233861,2016-07-12,+29,742,малооблачно,-,З 4м/с,+25,743,малооблачно,-,З 4м/с
233861,2016-07-13,+19,746,пасмурно,-,С 1м/с,+18,746,пасмурно,-,С 1м/с
233861,2016-07-14,+14,751,пасмурно,-,СВ 3м/с,+12,753,пасмурно,-,СВ 3м/с
233861,2016-07-15,+15,753,пасмурно,-,Ш,+14,753,пасмурно,-,Ш
233861,2016-07-16,+21,752,малооблачно,-,СЗ 2м/с,+17,752,ясно,-,СЗ 2м/с
233861,2016-07-17,+23,751,облачно,-,СВ 3м/с,+17,752,малооблачно,-,СВ 3м/с
233861,2016-07-18,+24,751,малооблачно,-,СВ 2м/с,+19,752,ясно,-,СВ 2м/с
233861,2016-07-19,+27,752,ясно,-,СВ 2м/с,+20,753,ясно,-,СВ 2м/с
233861,2016-07-20,+29,753,ясно,-,СВ 2м/с,+21,754,малооблачно,-,СВ 2м/с
233861,2016-07-21,+28,751,малооблачно,-,СВ 1м/с,+22,751,малооблачно,-,СВ 1м/с
233861,2016-07-22,+28,751,малооблачно,-,В 3м/с,+21,752,пасмурно,-,В 3м/с
233861,2016-07-23,+28,752,ясно,-,СВ 2м/с,+21,752,малооблачно,-,СВ 2м/с
233861,2016-07-24,+29,750,малооблачно,-,СВ 2м/с,+22,752,пасмурно,-,СВ 2м/с
233861,2016-07-25,+25,752,облачно,-,СЗ 1м/с,+22,752,малооблачно,-,СЗ 1м/с
233861,2016-07-26,+26,749,ясно,-,С 3м/с,+21,749,облачно,-,С 3м/с
233861,2016-07-27,+21,749,малооблачно,-,ЮВ 3м/с,+18,749,пасмурно,-,ЮВ 3м/с
233861,2016-07-28,+24,749,малооблачно,-,СЗ 1м/с,+20,749,малооблачно,-,СЗ 1м/с
233861,2016-07-29,+26,749,облачно,-,С 1м/с,+22,749,малооблачно,-,С 1м/с
233861,2016-07-30,+23,749,малооблачно,-,Ш,+21,751,пасмурно,-,Ш
233861,2016-07-31,+21,752,пасмурно,-,СЗ 1м/с,+17,754,пасмурно,-,СЗ 1м/с
