id города,Дата,Температура день,давление день,облачность день,явления день,ветер день,Температура вечер,давление вечер,облачность вечер,явления вечер,ветер вечер
233926,2020-06-01,+6,759,малооблачно,-,Ю 5м/с,+5,759,ясно,-,Ю 5м/с
233926,2020-06-02,+8,759,малооблачно,-,ЮЗ 3м/с,+6,758,пасмурно,-,ЮЗ 3м/с
233926,2020-06-03,+9,760,малооблачно,-,ЮЗ 5м/с,+9,760,ясно,-,ЮЗ 5м/с
233926,2020-06-04,+11,760,ясно,-,Ю 4м/с,+10,760,ясно,-,Ю 4м/с
233926,2020-06-05,+9,762,пасмурно,-,Ю 4м/с,+7,761,пасмурно,-,Ю 4м/с
233926,2020-06-06,+9,762,пасмурно,-,ЮВ 6м/с,+8,761,пасмурно,-,ЮВ 6м/с
233926,2020-06-07,+9,763,пасмурно,-,Ю 3м/с,+9,763,облачно,-,Ю 3м/с
233926,2020-06-08,+10,763,пасмурно,-,З 2м/с,+11,763,облачно,-,З 2м/с
233926,2020-06-09,+9,760,пасмурно,-,Ю 7м/с,+8,759,пасмурно,-,Ю 7м/с
233926,2020-06-10,+8,754,пасмурно,-,ЮВ 11м/с,+8,754,пасмурно,-,ЮВ 11м/с
233926,2020-06-11,+7,752,пасмурно,-,В 6м/с,+6,753,пасмурно,-,В 6м/с
233926,2020-06-12,+6,755,пасмурно,-,ЮВ 6м/с,+7,756,пасмурно,-,ЮВ 6м/с
233926,2020-06-13,+9,758,пасмурно,-,ЮЗ 2м/с,+9,756,малооблачно,-,ЮЗ 2м/с
233926,2020-06-14,+12,756,малооблачно,-,З 4м/с,+12,756,малооблачно,-,З 4м/с
233926,2020-06-15,+9,758,облачно,-,Ю 3м/с,+9,758,ясно,-,Ю 3м/с
233926,2020-06-16,+13,758,ясно,-,ЮВ 7м/с,+10,760,ясно,-,ЮВ 7м/с
233926,2020-06-18,+8,764,пасмурно,-,Ю 3м/с,+9,763,пасмурно,-,Ю 3м/с
233926,2020-06-19,+11,764,малооблачно,-,ЮЗ 4м/с,+9,763,пасмурно,-,ЮЗ 4м/с
233926,2020-06-20,+9,763,пасмурно,-,Ю 2м/с,+9,764,пасмурно,-,Ю 2м/с
233926,2020-06-21,+10,767,пасмурно,-,ЮЗ 1м/с,+11,765,облачно,-,ЮЗ 1м/с
233926,2020-06-22,+12,764,малооблачно,-,ЮЗ 5м/с,+10,763,малооблачно,-,ЮЗ 5м/с
233926,2020-06-23,+8,766,пасмурно,-,ЮЗ 3м/с,+8,766,пасмурно,-,ЮЗ 3м/с
233926,2020-06-24,+7,764,пасмурно,-,ЮЗ 4м/с,+7,763,пасмурно,-,ЮЗ 4м/с
233926,2020-06-25,+7,762,пасмурно,-,ЮЗ 3м/с,+7,761,пасмурно,-,ЮЗ 3м/с
233926,2020-06-26,+9,760,малооблачно,-,ЮЗ 2м/с,+7,759,пасмурно,-,ЮЗ 2м/с
233926,2020-06-27,+10,759,пасмурно,-,ЮЗ 3м/с,+10,758,малооблачно,-,ЮЗ 3м/с
233926,2020-06-28,+8,758,пасмурно,-,ЮЗ 3м/с,+10,758,ясно,-,ЮЗ 3м/с
233926,2020-06-29,+9,758,пасмурно,-,ЮЗ 3м/с,+8,757,-,-,ЮЗ 3м/с
233926,2020-06-30,+9,754,пасмурно,-,Ю 1м/с,+10,757,пасмурно,-,Ю 1м/с
